date,open,high,low,close,volume
2020-05-03 18:30:00,220.0,220.0,203.0,208.0,73127540.0
2020-05-04 18:30:00,213.0,213.5,200.0,200.0,115212950.0
2020-05-05 18:30:00,201.0,213.0,195.0,210.5,131497000.0
2020-05-06 18:30:00,210.0,217.0,205.0,206.0,77702040.0
2020-05-07 18:30:00,213.0,213.0,201.5,202.5,69664050.0
2020-05-10 18:30:00,207.0,209.0,199.5,201.5,76550330.0
2020-05-11 18:30:00,199.0,208.0,198.0,207.0,103365280.0
2020-05-12 18:30:00,222.0,224.0,214.5,216.0,94413050.0
2020-05-13 18:30:00,216.0,226.0,210.0,211.0,143076140.0
2020-05-14 18:30:00,212.0,214.0,205.5,209.0,80268470.0
2020-05-17 18:30:00,209.0,209.0,192.5,194.0,108206560.0
2020-05-18 18:30:00,196.0,200.0,192.0,196.5,94137220.0
2020-05-19 18:30:00,197.0,206.0,193.5,204.0,163185760.0
2020-05-20 18:30:00,206.0,208.0,197.5,199.0,98804300.0
2020-05-21 18:30:00,197.5,201.0,186.5,189.5,161951520.0
2020-05-25 18:30:00,192.0,193.5,182.0,183.0,98695450.0
2020-05-26 18:30:00,183.0,194.5,178.0,194.0,173357830.0
2020-05-27 18:30:00,195.5,198.0,193.0,195.0,90517860.0
2020-05-28 18:30:00,191.5,198.0,189.0,195.0,103620570.0
2020-05-31 18:30:00,200.0,223.0,200.0,216.0,189166130.0
2020-06-01 18:30:00,216.5,237.5,216.0,234.5,234427680.0
2020-06-02 18:30:00,242.0,250.0,240.0,241.0,187055000.0
2020-06-03 18:30:00,241.5,245.0,228.0,231.0,163153820.0
2020-06-04 18:30:00,234.5,241.0,227.5,239.0,158500810.0
2020-06-07 18:30:00,250.5,255.0,247.5,251.0,149926180.0
2020-06-08 18:30:00,253.5,253.5,241.5,244.0,123732120.0
2020-06-09 18:30:00,244.0,247.0,240.0,243.5,89615430.0
2020-06-10 18:30:00,241.0,246.0,232.0,234.0,100428340.0
2020-06-11 18:30:00,220.0,247.0,220.0,245.0,168027570.0
2020-06-14 18:30:00,242.0,243.0,233.0,235.0,120703720.0
2020-06-15 18:30:00,245.0,245.5,228.5,236.5,129143880.0
2020-06-16 18:30:00,235.0,242.5,233.0,239.5,96503000.0
2020-06-17 18:30:00,237.5,254.0,237.0,252.5,127388300.0
2020-06-18 18:30:00,256.0,271.5,256.0,270.0,186040040.0
2020-06-21 18:30:00,274.0,286.0,273.0,284.0,139393670.0
2020-06-22 18:30:00,290.0,311.0,283.0,302.5,161870200.0
2020-06-23 18:30:00,312.5,312.5,291.0,293.5,201102770.0
2020-06-24 18:30:00,288.0,304.5,285.0,300.5,159821550.0
2020-06-25 18:30:00,304.0,306.0,287.0,290.0,125735210.0
2020-06-28 18:30:00,283.5,289.5,277.0,286.0,116140030.0
2020-06-29 18:30:00,291.0,294.0,281.5,283.0,97030860.0
2020-06-30 18:30:00,283.0,297.0,280.5,295.5,127052750.0
2020-07-01 18:30:00,298.0,301.5,292.5,296.5,116197670.0
2020-07-02 18:30:00,298.0,299.0,292.0,293.0,85437990.0
2020-07-05 18:30:00,297.0,313.5,295.5,311.0,114376020.0
2020-07-06 18:30:00,315.0,342.0,312.5,335.0,228764650.0
2020-07-07 18:30:00,335.0,341.0,318.0,321.0,191265080.0
2020-07-08 18:30:00,323.5,338.0,319.5,333.0,187581480.0
2020-07-09 18:30:00,327.5,339.5,327.0,331.5,161504250.0
2020-07-12 18:30:00,336.0,338.0,321.5,323.5,131364820.0
2020-07-13 18:30:00,322.0,322.0,312.0,319.0,124044660.0
2020-07-14 18:30:00,323.0,330.0,312.0,315.0,109803420.0
2020-07-15 18:30:00,318.0,321.5,310.0,320.5,99999640.0
2020-07-16 18:30:00,321.0,332.0,320.5,330.0,84256450.0
2020-07-19 18:30:00,334.5,345.5,332.0,344.0,105563340.0
2020-07-20 18:30:00,350.0,352.0,322.0,329.0,259601050.0
2020-07-21 18:30:00,332.0,334.0,319.0,325.0,170701710.0
2020-07-22 18:30:00,325.0,332.0,321.5,330.0,87187080.0
2020-07-23 18:30:00,324.5,329.0,322.0,325.0,66378880.0
2020-07-26 18:30:00,326.0,328.0,315.0,317.0,70899070.0
2020-07-27 18:30:00,317.5,326.0,316.0,324.0,82118580.0
2020-07-28 18:30:00,324.5,333.0,324.0,328.5,80702840.0
2020-07-29 18:30:00,329.5,332.5,320.5,322.0,65083890.0
2020-07-30 18:30:00,323.5,327.0,318.0,325.0,72354010.0
2020-08-02 18:30:00,324.5,324.5,317.0,317.5,44641710.0
2020-08-03 18:30:00,320.0,326.0,314.0,323.5,66791730.0
2020-08-04 18:30:00,325.5,333.0,325.0,326.0,69853830.0
2020-08-05 18:30:00,329.0,338.0,325.5,334.5,81729210.0
2020-08-06 18:30:00,333.0,348.0,331.0,346.5,101513450.0
2020-08-09 18:30:00,349.5,356.0,341.0,344.0,71293520.0
2020-08-10 18:30:00,346.0,349.5,340.5,346.0,55718950.0
2020-08-11 18:30:00,342.5,345.0,336.0,342.0,56625420.0
2020-08-12 18:30:00,345.0,347.0,340.0,342.0,46633830.0
2020-08-13 18:30:00,342.5,345.0,330.5,333.0,55320040.0
