,date,open,high,low,close,volume
0,2020-08-12 00:00:00+05:30,74.35,74.95,73.65,74.05,10482298
1,2020-08-13 00:00:00+05:30,74.4,75.3,74.3,74.45,7316685
2,2020-08-14 00:00:00+05:30,74.55,74.8,72.9,73.05,11637195
3,2020-08-17 00:00:00+05:30,73.45,75.65,73.35,75.15,13612342
4,2020-08-18 00:00:00+05:30,75.6,77.6,75.0,76.45,28330266
5,2020-08-19 00:00:00+05:30,76.6,77.45,74.95,75.4,12081506
6,2020-08-20 00:00:00+05:30,74.85,78.9,73.85,77.85,37457741
7,2020-08-21 00:00:00+05:30,78.6,79.05,76.45,76.8,17027759
8,2020-08-24 00:00:00+05:30,77.05,77.55,76.4,77.0,9798867
9,2020-08-25 00:00:00+05:30,77.15,78.2,76.0,76.3,22481154
10,2020-08-26 00:00:00+05:30,76.95,77.8,76.5,77.15,15968479
11,2020-08-27 00:00:00+05:30,77.5,77.65,75.85,75.95,16309200
12,2020-08-28 00:00:00+05:30,76.15,77.5,75.85,76.15,14667141
13,2020-08-31 00:00:00+05:30,76.75,81.0,76.65,77.65,93193563
14,2020-09-01 00:00:00+05:30,78.45,78.5,73.95,75.2,38005572
15,2020-09-02 00:00:00+05:30,76.9,77.45,75.35,76.1,31155170
16,2020-09-03 00:00:00+05:30,76.3,77.05,74.65,74.9,19976183
17,2020-09-04 00:00:00+05:30,74.4,74.95,73.3,73.85,12855872
18,2020-09-07 00:00:00+05:30,74.15,74.25,72.0,72.45,16574103
19,2020-09-08 00:00:00+05:30,72.55,72.6,70.15,70.55,17905760
20,2020-09-09 00:00:00+05:30,70.1,70.1,67.2,68.9,28166431
21,2020-09-10 00:00:00+05:30,69.65,70.5,68.85,69.8,18646453
22,2020-09-11 00:00:00+05:30,69.6,69.85,68.8,69.45,11511957
23,2020-09-14 00:00:00+05:30,70.0,70.85,69.4,69.8,11990117
24,2020-09-15 00:00:00+05:30,69.9,70.45,69.4,69.95,8883209
25,2020-09-16 00:00:00+05:30,70.35,70.55,68.75,69.25,10285753
26,2020-09-17 00:00:00+05:30,69.25,70.4,69.05,69.3,16070908
27,2020-09-18 00:00:00+05:30,69.95,70.9,69.15,70.4,25692290
28,2020-09-21 00:00:00+05:30,70.15,70.25,67.2,67.45,13686791
29,2020-09-22 00:00:00+05:30,67.3,67.6,65.15,65.9,18043170
30,2020-09-23 00:00:00+05:30,66.05,66.45,63.9,64.15,17014241
31,2020-09-24 00:00:00+05:30,62.6,63.85,62.1,63.15,32950980
32,2020-09-25 00:00:00+05:30,64.4,65.65,62.7,65.3,20235948
33,2020-09-28 00:00:00+05:30,65.85,69.85,65.65,68.1,28336618
34,2020-09-29 00:00:00+05:30,68.7,68.9,65.3,65.55,20798564
35,2020-09-30 00:00:00+05:30,65.8,66.75,64.1,65.65,20069463
36,2020-10-01 00:00:00+05:30,64.0,65.8,63.15,65.55,20869336
37,2020-10-05 00:00:00+05:30,65.4,66.05,64.8,65.6,12608190
38,2020-10-06 00:00:00+05:30,66.3,66.5,65.4,65.75,10028722
39,2020-10-07 00:00:00+05:30,65.7,69.5,65.5,66.8,50074521
40,2020-10-08 00:00:00+05:30,67.2,67.3,64.65,64.85,21348290
41,2020-10-09 00:00:00+05:30,65.4,66.9,64.65,66.6,25747434
42,2020-10-12 00:00:00+05:30,66.6,66.9,65.2,65.55,10564969
43,2020-10-13 00:00:00+05:30,65.5,66.1,65.2,65.5,9070869
44,2020-10-14 00:00:00+05:30,64.9,65.2,63.15,63.5,24828155
45,2020-10-15 00:00:00+05:30,63.5,64.9,62.25,62.6,17334497
46,2020-10-16 00:00:00+05:30,63.15,64.05,62.55,63.75,18591533
47,2020-10-19 00:00:00+05:30,63.85,66.75,63.85,65.7,25987839
48,2020-10-20 00:00:00+05:30,65.9,66.1,63.75,63.9,18530440
49,2020-10-21 00:00:00+05:30,64.4,65.0,63.5,64.25,19590729
50,2020-10-22 00:00:00+05:30,63.9,65.5,63.8,65.25,26356513
51,2020-10-23 00:00:00+05:30,65.6,66.0,65.0,65.4,13180165
52,2020-10-26 00:00:00+05:30,65.9,65.9,64.15,64.6,14225064
53,2020-10-27 00:00:00+05:30,64.5,64.85,63.0,63.35,17088935
54,2020-10-28 00:00:00+05:30,63.75,63.9,62.65,62.85,15025734
55,2020-10-29 00:00:00+05:30,62.6,62.85,60.75,61.05,29901827
56,2020-10-30 00:00:00+05:30,61.6,62.45,60.85,61.5,25857851
57,2020-11-02 00:00:00+05:30,62.0,62.6,60.85,62.25,12847852
58,2020-11-03 00:00:00+05:30,62.55,63.25,62.25,62.8,10809489
59,2020-11-04 00:00:00+05:30,62.8,63.4,62.2,62.95,12479581
60,2020-11-05 00:00:00+05:30,63.4,64.5,62.75,64.1,17947631
61,2020-11-06 00:00:00+05:30,64.2,64.6,63.7,64.4,10496588
62,2020-11-09 00:00:00+05:30,65.05,65.05,64.25,64.85,8473527
63,2020-11-10 00:00:00+05:30,65.45,67.3,64.9,67.05,33795453
64,2020-11-11 00:00:00+05:30,67.7,68.9,66.85,68.55,23531793
65,2020-11-12 00:00:00+05:30,68.7,69.1,67.05,67.8,16446681
66,2020-11-13 00:00:00+05:30,67.5,68.7,66.35,68.35,16264536
67,2020-11-14 00:00:00+05:30,70.15,70.15,68.7,68.85,5387569
68,2020-11-17 00:00:00+05:30,68.9,69.45,67.3,67.6,18852045
69,2020-11-18 00:00:00+05:30,67.9,68.3,67.2,68.2,14032869
70,2020-11-19 00:00:00+05:30,67.75,70.35,67.7,68.35,27903903
71,2020-11-20 00:00:00+05:30,68.65,68.9,67.0,67.9,14790440
72,2020-11-23 00:00:00+05:30,68.25,73.75,68.05,72.5,44111534
73,2020-11-24 00:00:00+05:30,72.7,74.0,71.45,72.15,31379070
74,2020-11-25 00:00:00+05:30,73.15,77.5,73.1,76.55,87040163
75,2020-11-26 00:00:00+05:30,76.9,77.25,75.3,76.0,30469713
76,2020-11-27 00:00:00+05:30,76.55,76.9,73.95,74.4,44245938
77,2020-12-01 00:00:00+05:30,74.4,77.7,73.0,77.3,42923229
78,2020-12-02 00:00:00+05:30,77.25,80.6,76.7,80.45,52652362
79,2020-12-03 00:00:00+05:30,80.9,84.35,80.55,84.05,53618786
80,2020-12-04 00:00:00+05:30,85.05,86.25,82.65,85.15,44126894
81,2020-12-07 00:00:00+05:30,86.4,89.05,86.0,86.75,46638129
82,2020-12-08 00:00:00+05:30,88.15,88.6,85.35,86.0,34326971
83,2020-12-09 00:00:00+05:30,86.7,88.0,86.15,86.45,25763702
84,2020-12-10 00:00:00+05:30,86.25,87.35,84.05,86.85,25329334
85,2020-12-11 00:00:00+05:30,87.75,98.9,87.75,91.75,146821189
86,2020-12-14 00:00:00+05:30,93.1,97.15,92.35,96.2,75021883
87,2020-12-15 00:00:00+05:30,97.1,97.1,94.0,95.2,33553433
88,2020-12-16 00:00:00+05:30,96.6,98.2,95.35,97.5,34618175
89,2020-12-17 00:00:00+05:30,99.6,100.1,95.4,96.2,41881430
90,2020-12-18 00:00:00+05:30,96.2,96.95,93.0,93.8,36480527
91,2020-12-21 00:00:00+05:30,93.75,93.75,84.3,85.15,58724337
92,2020-12-22 00:00:00+05:30,84.4,87.45,82.1,85.8,58602960
93,2020-12-23 00:00:00+05:30,85.75,86.55,83.7,86.05,29216106
94,2020-12-24 00:00:00+05:30,87.65,90.5,87.3,88.3,46351620
95,2020-12-28 00:00:00+05:30,89.05,90.2,88.45,88.85,17759262
96,2020-12-29 00:00:00+05:30,89.25,89.7,87.2,88.3,17678810
97,2020-12-30 00:00:00+05:30,88.65,89.55,87.9,88.4,15960705
98,2020-12-31 00:00:00+05:30,88.45,90.55,87.7,88.2,43701316
99,2021-01-01 00:00:00+05:30,88.85,89.5,88.15,88.35,15130377
100,2021-01-04 00:00:00+05:30,89.1,92.2,88.8,91.9,39545073
101,2021-01-05 00:00:00+05:30,91.45,91.45,89.4,90.0,26998014
102,2021-01-06 00:00:00+05:30,93.75,94.1,91.2,91.9,50306161
103,2021-01-07 00:00:00+05:30,92.85,93.85,92.05,92.75,25285200
104,2021-01-08 00:00:00+05:30,93.75,96.0,93.4,95.35,36022114
105,2021-01-11 00:00:00+05:30,96.2,97.5,92.9,97.15,36301647
106,2021-01-12 00:00:00+05:30,96.7,99.0,95.45,98.05,28353142
107,2021-01-13 00:00:00+05:30,99.45,102.25,98.65,99.75,42401579
108,2021-01-14 00:00:00+05:30,101.4,101.85,98.75,99.55,24455634
109,2021-01-15 00:00:00+05:30,99.75,100.55,95.35,96.1,28185982
110,2021-01-18 00:00:00+05:30,96.1,96.55,91.0,91.6,33623461
111,2021-01-19 00:00:00+05:30,92.65,93.8,92.4,92.95,26085121
112,2021-01-20 00:00:00+05:30,93.8,94.6,92.75,93.7,18486566
113,2021-01-21 00:00:00+05:30,93.85,94.95,88.95,89.75,26939349
114,2021-01-22 00:00:00+05:30,89.65,90.5,87.65,87.9,27311961
115,2021-01-25 00:00:00+05:30,88.2,88.85,85.3,86.6,28522112
116,2021-01-27 00:00:00+05:30,86.65,86.95,84.25,85.0,34022621
117,2021-01-28 00:00:00+05:30,84.35,86.65,84.15,85.9,26810222
118,2021-01-29 00:00:00+05:30,86.0,88.1,83.15,83.7,33858273
119,2021-02-01 00:00:00+05:30,84.35,86.45,83.85,86.1,24228098
120,2021-02-02 00:00:00+05:30,87.65,89.0,86.45,88.0,22141489
121,2021-02-03 00:00:00+05:30,89.65,90.35,88.15,88.5,25912911
122,2021-02-04 00:00:00+05:30,89.3,93.45,89.05,92.55,49670027
123,2021-02-05 00:00:00+05:30,93.75,94.75,91.75,92.55,30514219
124,2021-02-08 00:00:00+05:30,94.3,95.5,93.9,94.45,29096831
125,2021-02-09 00:00:00+05:30,94.6,97.95,94.6,95.7,39638657
126,2021-02-10 00:00:00+05:30,96.7,97.1,93.45,94.8,21467230
127,2021-02-11 00:00:00+05:30,94.8,95.1,93.75,94.25,11287104
128,2021-02-12 00:00:00+05:30,93.75,94.2,91.5,91.95,18187705
129,2021-02-15 00:00:00+05:30,91.95,94.05,90.6,93.3,26118576
130,2021-02-16 00:00:00+05:30,94.05,99.35,94.05,98.35,76236798
131,2021-02-17 00:00:00+05:30,96.7,98.1,95.5,96.9,21014091
132,2021-02-18 00:00:00+05:30,98.3,109.45,97.95,104.95,110000964
133,2021-02-19 00:00:00+05:30,104.95,106.35,98.45,99.6,48225988
134,2021-02-22 00:00:00+05:30,100.35,102.9,99.8,100.75,36592043
135,2021-02-23 00:00:00+05:30,104.0,108.45,103.7,106.35,90860972
136,2021-02-24 00:00:00+05:30,108.05,109.3,105.15,107.65,26071364
137,2021-02-25 00:00:00+05:30,109.95,114.2,109.3,112.85,62038881
138,2021-02-26 00:00:00+05:30,109.45,112.2,104.3,105.15,55154985
139,2021-03-01 00:00:00+05:30,108.35,111.5,107.55,110.95,41672980
140,2021-03-02 00:00:00+05:30,109.85,110.55,106.85,107.55,36303917
141,2021-03-03 00:00:00+05:30,108.1,109.75,107.25,108.05,19434630
142,2021-03-04 00:00:00+05:30,108.0,110.9,106.45,106.8,38272786
143,2021-03-05 00:00:00+05:30,110.15,112.05,107.55,108.95,57756103
144,2021-03-08 00:00:00+05:30,112.75,115.95,111.1,112.05,63866178
145,2021-03-09 00:00:00+05:30,113.15,113.3,108.25,110.65,26817643
146,2021-03-10 00:00:00+05:30,110.8,110.9,107.65,108.45,23841269
147,2021-03-12 00:00:00+05:30,110.65,111.25,108.05,109.05,20691698
148,2021-03-15 00:00:00+05:30,109.95,110.75,106.9,108.4,19679958
149,2021-03-16 00:00:00+05:30,107.85,110.2,107.5,109.05,20680669
150,2021-03-17 00:00:00+05:30,108.8,108.85,103.05,103.6,31017863
151,2021-03-18 00:00:00+05:30,104.25,106.35,101.9,104.45,26710696
152,2021-03-19 00:00:00+05:30,100.7,107.3,98.95,104.75,50386785
153,2021-03-22 00:00:00+05:30,104.75,105.4,102.9,103.85,15825065
