,date,open,high,low,close,volume
0,2025-06-12 11:40:00+05:30,657.05,657.3,656.05,656.9,57271
1,2025-06-12 11:45:00+05:30,656.95,657.05,655.9,656.8,22716
2,2025-06-12 11:50:00+05:30,656.8,657.4,656.55,656.75,27358
3,2025-06-12 11:55:00+05:30,656.75,656.9,655.7,655.75,22002
4,2025-06-12 12:00:00+05:30,655.95,656.7,655.4,656.0,31874
5,2025-06-12 12:05:00+05:30,656.0,656.45,654.75,654.9,67692
6,2025-06-12 12:10:00+05:30,654.9,656.35,654.65,656.0,114154
7,2025-06-12 12:15:00+05:30,656.05,656.35,655.65,656.2,68109
8,2025-06-12 12:20:00+05:30,656.3,657.4,656.15,657.1,54051
9,2025-06-12 12:25:00+05:30,657.1,657.4,656.1,657.25,34150
10,2025-06-12 12:30:00+05:30,657.25,657.5,657.15,657.5,30013
11,2025-06-12 12:35:00+05:30,657.9,657.9,657.1,657.15,37300
12,2025-06-12 12:40:00+05:30,657.15,658.2,657.15,658.1,30860
13,2025-06-12 12:45:00+05:30,657.75,658.95,657.65,658.55,41213
14,2025-06-12 12:50:00+05:30,658.6,659.0,658.15,658.45,32191
15,2025-06-12 12:55:00+05:30,658.45,658.6,657.7,657.85,46171
16,2025-06-12 13:00:00+05:30,657.85,658.1,655.95,656.05,49975
17,2025-06-12 13:05:00+05:30,656.05,656.5,655.8,656.0,38018
18,2025-06-12 13:10:00+05:30,656.0,656.2,654.5,654.95,53233
19,2025-06-12 13:15:00+05:30,654.9,655.05,654.2,654.65,28537
20,2025-06-12 13:20:00+05:30,654.65,654.95,653.95,653.95,41489
21,2025-06-12 13:25:00+05:30,653.95,654.45,651.15,652.4,81295
22,2025-06-12 13:30:00+05:30,652.3,652.4,650.6,651.4,68834
23,2025-06-12 13:35:00+05:30,651.65,651.85,650.15,650.25,73350
24,2025-06-12 13:40:00+05:30,650.25,650.75,649.8,650.25,77584
25,2025-06-12 13:45:00+05:30,650.25,652.35,650.1,651.45,197459
26,2025-06-12 13:50:00+05:30,651.45,651.8,650.7,651.2,50122
27,2025-06-12 13:55:00+05:30,651.2,652.2,650.95,651.15,77793
28,2025-06-12 14:00:00+05:30,651.3,651.5,650.5,650.65,67376
29,2025-06-12 14:05:00+05:30,650.65,650.85,649.1,649.25,104166
30,2025-06-12 14:10:00+05:30,649.25,650.5,648.2,650.2,124188
31,2025-06-12 14:15:00+05:30,650.35,650.9,649.7,650.3,78206
32,2025-06-12 14:20:00+05:30,650.0,650.85,649.7,650.7,68799
33,2025-06-12 14:25:00+05:30,650.7,650.9,649.5,650.9,89163
34,2025-06-12 14:30:00+05:30,650.95,652.0,650.8,652.0,123349
35,2025-06-12 14:35:00+05:30,652.0,652.45,650.8,651.2,104775
36,2025-06-12 14:40:00+05:30,651.2,652.15,651.05,651.1,48275
37,2025-06-12 14:45:00+05:30,651.1,651.85,650.6,651.75,56685
38,2025-06-12 14:50:00+05:30,651.7,651.8,650.7,651.0,67286
39,2025-06-12 14:55:00+05:30,651.05,651.75,650.7,651.7,120597
40,2025-06-12 15:00:00+05:30,651.7,652.55,651.1,651.35,215350
41,2025-06-12 15:05:00+05:30,651.45,651.6,650.75,651.1,157267
42,2025-06-12 15:10:00+05:30,651.1,651.8,650.95,651.65,169836
43,2025-06-12 15:15:00+05:30,651.7,651.8,650.95,651.0,134510
44,2025-06-12 15:20:00+05:30,651.0,651.1,650.2,650.3,209766
45,2025-06-12 15:25:00+05:30,650.3,651.5,650.2,651.0,140078
46,2025-06-13 09:15:00+05:30,635.0,645.0,635.0,642.45,356721
47,2025-06-13 09:20:00+05:30,643.2,644.45,641.95,644.3,210637
48,2025-06-13 09:25:00+05:30,644.3,646.55,644.3,645.8,135508
49,2025-06-13 09:30:00+05:30,645.8,645.85,643.3,643.8,112933
50,2025-06-13 09:35:00+05:30,643.8,648.0,643.6,646.85,84174
51,2025-06-13 09:40:00+05:30,646.8,646.8,644.8,645.85,67032
52,2025-06-13 09:45:00+05:30,645.8,646.1,643.75,645.3,71539
53,2025-06-13 09:50:00+05:30,645.45,647.7,645.3,647.05,85221
54,2025-06-13 09:55:00+05:30,647.1,647.4,646.0,646.85,53373
55,2025-06-13 10:00:00+05:30,647.2,647.55,645.75,645.9,39380
56,2025-06-13 10:05:00+05:30,645.9,646.45,644.2,644.45,40288
57,2025-06-13 10:10:00+05:30,644.4,645.9,644.2,645.1,32773
58,2025-06-13 10:15:00+05:30,645.35,645.9,644.75,645.4,31233
59,2025-06-13 10:20:00+05:30,645.4,645.4,644.3,644.85,22470
60,2025-06-13 10:25:00+05:30,644.85,646.2,644.65,645.55,50830
61,2025-06-13 10:30:00+05:30,645.55,645.75,644.9,645.35,13075
62,2025-06-13 10:35:00+05:30,645.45,645.85,645.05,645.45,31778
63,2025-06-13 10:40:00+05:30,645.45,645.6,644.45,645.6,39213
64,2025-06-13 10:45:00+05:30,645.85,645.85,644.7,644.75,19098
