,date,open,high,low,close,volume
0,2025-02-13 09:15:00+05:30,954.0,979.4,953.25,976.85,341238
1,2025-02-13 10:15:00+05:30,976.85,980.0,974.1,977.4,139621
2,2025-02-13 11:15:00+05:30,977.4,984.0,975.4,981.05,200300
3,2025-02-13 12:15:00+05:30,981.35,984.0,974.0,977.9,180376
4,2025-02-13 13:15:00+05:30,978.1,978.95,970.0,972.35,209566
5,2025-02-13 14:15:00+05:30,972.15,973.0,968.05,969.55,200691
6,2025-02-13 15:15:00+05:30,969.95,971.0,968.55,970.4,93626
7,2025-02-14 09:15:00+05:30,972.9,983.7,970.55,971.65,558656
8,2025-02-14 10:15:00+05:30,971.5,974.3,965.05,968.6,346066
9,2025-02-14 11:15:00+05:30,968.6,974.85,965.9,970.65,469916
10,2025-02-14 12:15:00+05:30,970.7,971.4,960.85,961.3,165393
11,2025-02-14 13:15:00+05:30,961.3,963.85,954.25,955.1,215708
12,2025-02-14 14:15:00+05:30,955.2,968.05,955.1,965.1,344034
13,2025-02-14 15:15:00+05:30,965.1,965.35,961.5,962.85,174829
14,2025-02-17 09:15:00+05:30,964.6,970.9,954.1,958.55,321993
15,2025-02-17 10:15:00+05:30,958.8,969.8,958.0,962.0,175749
16,2025-02-17 11:15:00+05:30,961.95,966.85,959.55,961.8,120722
17,2025-02-17 12:15:00+05:30,961.8,968.4,960.35,965.2,148727
18,2025-02-17 13:15:00+05:30,965.15,968.85,964.15,966.85,148640
19,2025-02-17 14:15:00+05:30,967.55,974.55,966.6,974.2,208579
20,2025-02-17 15:15:00+05:30,974.35,975.0,972.4,973.8,129037
21,2025-02-18 09:15:00+05:30,975.0,975.0,962.8,971.9,249282
22,2025-02-18 10:15:00+05:30,970.1,973.85,967.15,969.5,159646
23,2025-02-18 11:15:00+05:30,970.0,971.8,967.0,969.35,305054
24,2025-02-18 12:15:00+05:30,969.9,972.5,967.6,972.15,155418
25,2025-02-18 13:15:00+05:30,972.2,981.0,972.05,980.0,353852
26,2025-02-18 14:15:00+05:30,980.2,981.2,978.5,979.25,322933
27,2025-02-18 15:15:00+05:30,979.35,979.35,976.8,978.95,161326
28,2025-02-19 09:15:00+05:30,975.6,985.0,975.6,984.35,410332
29,2025-02-19 10:15:00+05:30,984.35,989.9,977.5,979.9,318569
30,2025-02-19 11:15:00+05:30,979.9,980.6,977.9,978.95,116338
31,2025-02-19 12:15:00+05:30,978.95,979.7,971.75,972.55,77069
32,2025-02-19 13:15:00+05:30,972.95,977.4,971.1,975.75,132225
33,2025-02-19 14:15:00+05:30,975.75,977.8,971.25,977.5,306796
34,2025-02-19 15:15:00+05:30,977.25,978.0,974.35,976.85,109159
35,2025-02-20 09:15:00+05:30,977.0,984.6,975.0,979.9,283649
36,2025-02-20 10:15:00+05:30,979.9,984.3,979.7,984.3,151568
37,2025-02-20 11:15:00+05:30,984.3,984.85,981.3,982.45,78907
38,2025-02-20 12:15:00+05:30,982.45,984.7,979.25,980.5,86883
39,2025-02-20 13:15:00+05:30,980.5,987.65,980.5,985.45,250590
40,2025-02-20 14:15:00+05:30,985.45,985.5,980.35,981.75,198776
41,2025-02-20 15:15:00+05:30,981.75,983.0,979.85,980.0,321562
42,2025-02-21 09:15:00+05:30,979.1,988.95,976.45,977.4,226724
43,2025-02-21 10:15:00+05:30,977.4,983.25,975.55,983.2,153744
44,2025-02-21 11:15:00+05:30,983.2,989.95,980.0,984.25,132600
45,2025-02-21 12:15:00+05:30,984.25,990.95,983.7,984.85,238827
46,2025-02-21 13:15:00+05:30,984.85,985.95,979.15,981.8,259985
47,2025-02-21 14:15:00+05:30,981.8,983.65,979.45,983.45,159193
48,2025-02-21 15:15:00+05:30,983.45,983.5,979.0,980.4,157959
49,2025-02-24 09:15:00+05:30,971.0,984.9,970.05,974.1,269801
50,2025-02-24 10:15:00+05:30,974.1,975.7,967.8,970.65,466117
51,2025-02-24 11:15:00+05:30,970.65,972.85,963.0,964.75,207236
52,2025-02-24 12:15:00+05:30,964.75,965.6,961.55,964.55,141444
53,2025-02-24 13:15:00+05:30,964.55,964.55,958.1,958.6,162193
54,2025-02-24 14:15:00+05:30,958.6,968.1,957.75,966.6,357314
55,2025-02-24 15:15:00+05:30,966.65,968.25,966.4,968.2,176966
56,2025-02-25 09:15:00+05:30,967.0,973.45,961.3,966.0,230317
57,2025-02-25 10:15:00+05:30,966.0,969.15,964.95,965.95,93477
58,2025-02-25 11:15:00+05:30,965.95,965.95,960.6,961.0,93280
59,2025-02-25 12:15:00+05:30,961.0,963.1,959.25,961.6,85895
60,2025-02-25 13:15:00+05:30,961.65,961.7,958.0,958.35,206314
61,2025-02-25 14:15:00+05:30,958.35,961.4,958.2,959.8,165798
62,2025-02-25 15:15:00+05:30,959.8,962.3,957.5,958.0,130206
63,2025-02-27 09:15:00+05:30,958.75,981.0,958.7,969.0,674556
64,2025-02-27 10:15:00+05:30,969.0,972.9,968.6,969.2,191107
65,2025-02-27 11:15:00+05:30,968.95,970.15,964.0,965.6,122205
66,2025-02-27 12:15:00+05:30,965.6,969.5,962.05,967.4,133183
