,date,open,high,low,close,volume
0,2025-05-13 14:00:00+05:30,11653,11668,11648,11667,7985
1,2025-05-13 14:15:00+05:30,11662,11666,11639,11653,14428
2,2025-05-13 14:30:00+05:30,11653,11685,11646,11676,9959
3,2025-05-13 14:45:00+05:30,11668,11692,11660,11683,24087
4,2025-05-13 15:00:00+05:30,11684,11690,11650,11658,36948
5,2025-05-13 15:15:00+05:30,11658,11674,11650,11650,29877
6,2025-05-14 09:15:00+05:30,11676,11741,11653,11729,9125
7,2025-05-14 09:30:00+05:30,11729,11729,11665,11699,8303
8,2025-05-14 09:45:00+05:30,11699,11704,11665,11693,6050
9,2025-05-14 10:00:00+05:30,11690,11732,11690,11732,4572
10,2025-05-14 10:15:00+05:30,11727,11740,11713,11719,2975
11,2025-05-14 10:30:00+05:30,11719,11724,11694,11716,3046
12,2025-05-14 10:45:00+05:30,11715,11718,11685,11686,3536
13,2025-05-14 11:00:00+05:30,11685,11700,11685,11692,1431
14,2025-05-14 11:15:00+05:30,11695,11724,11692,11707,2300
15,2025-05-14 11:30:00+05:30,11706,11723,11691,11692,2153
16,2025-05-14 11:45:00+05:30,11692,11698,11647,11654,5304
17,2025-05-14 12:00:00+05:30,11657,11680,11647,11674,2796
18,2025-05-14 12:15:00+05:30,11674,11710,11674,11703,3321
19,2025-05-14 12:30:00+05:30,11706,11737,11703,11717,14290
20,2025-05-14 12:45:00+05:30,11713,11717,11642,11668,6894
21,2025-05-14 13:00:00+05:30,11663,11693,11663,11682,3028
22,2025-05-14 13:15:00+05:30,11682,11686,11662,11678,4343
23,2025-05-14 13:30:00+05:30,11672,11681,11667,11673,3647
24,2025-05-14 13:45:00+05:30,11670,11677,11648,11650,4537
25,2025-05-14 14:00:00+05:30,11649,11658,11646,11650,4454
26,2025-05-14 14:15:00+05:30,11656,11670,11641,11643,13812
27,2025-05-14 14:30:00+05:30,11643,11665,11624,11648,7466
28,2025-05-14 14:45:00+05:30,11648,11704,11644,11682,23589
29,2025-05-14 15:00:00+05:30,11681,11690,11658,11674,21859
30,2025-05-14 15:15:00+05:30,11672,11695,11661,11692,16238
31,2025-05-15 09:15:00+05:30,11672,11721,11643,11706,22826
32,2025-05-15 09:30:00+05:30,11712,11743,11666,11669,21968
33,2025-05-15 09:45:00+05:30,11669,11726,11658,11689,18982
34,2025-05-15 10:00:00+05:30,11689,11700,11664,11698,8647
35,2025-05-15 10:15:00+05:30,11693,11712,11670,11675,6448
36,2025-05-15 10:30:00+05:30,11675,11810,11672,11790,20406
37,2025-05-15 10:45:00+05:30,11785,11825,11758,11823,11610
38,2025-05-15 11:00:00+05:30,11824,11834,11706,11713,9486
39,2025-05-15 11:15:00+05:30,11714,11753,11710,11732,6525
40,2025-05-15 11:30:00+05:30,11732,11737,11714,11719,5209
41,2025-05-15 11:45:00+05:30,11716,11740,11707,11716,5047
42,2025-05-15 12:00:00+05:30,11714,11748,11705,11733,4390
43,2025-05-15 12:15:00+05:30,11733,11765,11701,11701,6931
44,2025-05-15 12:30:00+05:30,11701,11725,11700,11702,6090
45,2025-05-15 12:45:00+05:30,11702,11724,11698,11714,4418
46,2025-05-15 13:00:00+05:30,11712,11834,11712,11832,22312
47,2025-05-15 13:15:00+05:30,11831,11844,11807,11831,16431
48,2025-05-15 13:30:00+05:30,11834,11900,11831,11885,26417
49,2025-05-15 13:45:00+05:30,11890,11924,11886,11903,17546
50,2025-05-15 14:00:00+05:30,11903,11914,11880,11899,12624
51,2025-05-15 14:15:00+05:30,11899,11927,11888,11914,12706
52,2025-05-15 14:30:00+05:30,11913,11931,11897,11929,17838
53,2025-05-15 14:45:00+05:30,11929,11932,11881,11899,26048
54,2025-05-15 15:00:00+05:30,11900,11905,11875,11890,34866
55,2025-05-15 15:15:00+05:30,11891,11907,11868,11898,24544
56,2025-05-16 09:15:00+05:30,11950,11990,11889,11980,19784
57,2025-05-16 09:30:00+05:30,11980,11980,11941,11970,8071
58,2025-05-16 09:45:00+05:30,11971,11988,11915,11929,12722
59,2025-05-16 10:00:00+05:30,11929,11955,11915,11938,8630
60,2025-05-16 10:15:00+05:30,11939,11950,11911,11930,7814
61,2025-05-16 10:30:00+05:30,11930,11938,11910,11921,6537
62,2025-05-16 10:45:00+05:30,11917,11933,11910,11915,4219
63,2025-05-16 11:00:00+05:30,11918,11918,11857,11873,17934
64,2025-05-16 11:15:00+05:30,11876,11888,11870,11878,5338
65,2025-05-16 11:30:00+05:30,11878,11899,11876,11894,4948
66,2025-05-16 11:45:00+05:30,11894,11894,11880,11893,4102
67,2025-05-16 12:00:00+05:30,11893,11903,11888,11900,3658
68,2025-05-16 12:15:00+05:30,11897,11897,11890,11895,2954
69,2025-05-16 12:30:00+05:30,11894,11905,11884,11898,6283
70,2025-05-16 12:45:00+05:30,11896,11910,11890,11896,5471
71,2025-05-16 13:00:00+05:30,11897,11909,11894,11908,4122
