,date,open,high,low,close,volume
0,2025-07-14 09:15:00+05:30,858.8,860.55,857.7,857.7,17431
1,2025-07-14 09:16:00+05:30,857.65,859.4,857.45,858.85,26742
2,2025-07-14 09:17:00+05:30,858.8,859.7,858.8,859.35,17202
3,2025-07-14 09:18:00+05:30,860.1,862.0,860.1,860.35,26952
4,2025-07-14 09:19:00+05:30,860.4,863.5,860.4,863.5,44488
5,2025-07-14 09:20:00+05:30,864.2,868.45,864.0,868.45,88714
6,2025-07-14 09:21:00+05:30,867.55,869.9,867.4,869.45,67713
7,2025-07-14 09:22:00+05:30,869.15,869.15,866.9,868.4,74859
8,2025-07-14 09:23:00+05:30,868.4,868.7,867.0,867.2,21940
9,2025-07-14 09:24:00+05:30,867.55,868.45,867.1,867.65,26319
10,2025-07-14 09:25:00+05:30,867.65,867.95,864.2,864.65,47060
11,2025-07-14 09:26:00+05:30,864.65,864.75,862.55,863.15,26331
12,2025-07-14 09:27:00+05:30,863.0,863.4,862.3,862.7,19051
13,2025-07-14 09:28:00+05:30,862.25,862.85,862.2,862.75,19418
14,2025-07-14 09:29:00+05:30,863.0,863.5,861.4,861.65,21536
15,2025-07-14 09:30:00+05:30,861.7,862.0,861.25,861.25,24339
16,2025-07-14 09:31:00+05:30,861.3,863.3,861.3,863.3,15507
17,2025-07-14 09:32:00+05:30,864.0,864.5,863.5,864.4,26579
18,2025-07-14 09:33:00+05:30,864.05,864.3,863.9,863.95,7783
19,2025-07-14 09:34:00+05:30,863.9,863.9,862.85,862.85,6776
20,2025-07-14 09:35:00+05:30,862.55,862.55,862.0,862.45,8730
21,2025-07-14 09:36:00+05:30,862.3,862.6,861.1,862.6,7534
22,2025-07-14 09:37:00+05:30,862.6,863.05,862.25,862.7,4516
23,2025-07-14 09:38:00+05:30,863.05,864.9,862.6,864.9,16718
24,2025-07-14 09:39:00+05:30,864.9,865.85,864.75,865.85,19403
25,2025-07-14 09:40:00+05:30,865.55,866.0,865.45,866.0,13369
26,2025-07-14 09:41:00+05:30,866.2,866.9,866.15,866.85,7728
27,2025-07-14 09:42:00+05:30,866.85,867.55,866.85,867.35,16333
28,2025-07-14 09:43:00+05:30,866.9,868.65,866.9,868.4,21684
29,2025-07-14 09:44:00+05:30,868.55,871.7,868.55,870.75,86702
30,2025-07-14 09:45:00+05:30,870.7,871.85,870.7,871.0,38828
31,2025-07-14 09:46:00+05:30,871.25,872.0,871.0,871.9,35646
32,2025-07-14 09:47:00+05:30,871.9,873.5,871.6,872.8,85011
33,2025-07-14 09:48:00+05:30,872.75,873.0,871.0,871.05,50013
34,2025-07-14 09:49:00+05:30,870.35,871.75,870.35,871.05,18180
35,2025-07-14 09:50:00+05:30,871.0,871.0,870.05,870.7,36062
36,2025-07-14 09:51:00+05:30,870.7,870.7,870.05,870.45,8907
37,2025-07-14 09:52:00+05:30,870.7,870.7,870.2,870.2,8239
38,2025-07-14 09:53:00+05:30,870.3,870.35,869.7,870.1,15601
39,2025-07-14 09:54:00+05:30,870.1,870.5,869.75,869.8,11291
40,2025-07-14 09:55:00+05:30,869.8,870.15,868.95,870.0,26287
41,2025-07-14 09:56:00+05:30,870.1,871.75,870.1,871.25,20819
42,2025-07-14 09:57:00+05:30,871.25,871.25,869.6,869.6,36626
43,2025-07-14 09:58:00+05:30,869.75,869.75,867.55,868.25,20987
44,2025-07-14 09:59:00+05:30,868.25,868.25,867.7,867.8,10910
45,2025-07-14 10:00:00+05:30,867.8,869.7,867.8,869.25,18337
46,2025-07-14 10:01:00+05:30,869.0,869.45,868.35,868.55,7511
47,2025-07-14 10:02:00+05:30,868.5,868.6,868.0,868.25,4918
48,2025-07-14 10:03:00+05:30,868.2,868.3,867.8,868.3,6571
49,2025-07-14 10:04:00+05:30,868.35,868.35,867.25,867.3,12294
50,2025-07-14 10:05:00+05:30,867.3,867.55,867.1,867.1,6747
51,2025-07-14 10:06:00+05:30,867.35,867.8,866.8,867.8,9299
52,2025-07-14 10:07:00+05:30,867.8,868.35,867.6,868.0,11034
53,2025-07-14 10:08:00+05:30,867.75,868.4,867.65,867.65,5526
54,2025-07-14 10:09:00+05:30,867.7,868.25,867.65,867.65,4516
55,2025-07-14 10:10:00+05:30,867.9,868.0,867.7,867.85,7011
56,2025-07-14 10:11:00+05:30,867.3,867.9,867.3,867.7,6069
57,2025-07-14 10:12:00+05:30,867.7,868.7,867.65,868.45,7095
58,2025-07-14 10:13:00+05:30,868.5,868.55,868.1,868.2,2869
59,2025-07-14 10:14:00+05:30,868.45,868.85,867.4,867.4,8150
60,2025-07-14 10:15:00+05:30,867.4,867.45,866.9,867.15,31738
61,2025-07-14 10:16:00+05:30,867.15,867.95,867.15,867.85,5709
62,2025-07-14 10:17:00+05:30,867.85,868.0,867.75,867.9,2930
63,2025-07-14 10:18:00+05:30,867.9,868.0,867.65,868.0,4605
64,2025-07-14 10:19:00+05:30,867.95,868.05,867.3,867.3,16067
65,2025-07-14 10:20:00+05:30,867.4,869.3,867.2,869.1,11876
66,2025-07-14 10:21:00+05:30,869.2,870.75,868.9,869.9,26846
67,2025-07-14 10:22:00+05:30,870.0,870.0,869.0,869.15,11210
68,2025-07-14 10:23:00+05:30,869.15,869.2,868.75,868.85,3635
69,2025-07-14 10:24:00+05:30,868.75,868.85,867.75,868.3,9106
70,2025-07-14 10:25:00+05:30,868.3,868.45,868.05,868.05,6595
71,2025-07-14 10:26:00+05:30,868.0,868.15,867.65,867.7,3639
72,2025-07-14 10:27:00+05:30,867.7,867.95,867.5,867.6,4205
73,2025-07-14 10:28:00+05:30,867.5,868.65,867.5,867.75,15250
74,2025-07-14 10:29:00+05:30,867.6,868.5,867.6,868.5,6634
75,2025-07-14 10:30:00+05:30,868.5,868.9,868.3,868.3,6496
76,2025-07-14 10:31:00+05:30,868.35,868.8,867.9,867.95,3973
77,2025-07-14 10:32:00+05:30,867.95,868.5,867.8,868.0,3688
78,2025-07-14 10:33:00+05:30,868.05,868.45,867.65,868.0,2478
79,2025-07-14 10:34:00+05:30,868.0,868.3,867.8,868.1,3111
80,2025-07-14 10:35:00+05:30,868.5,869.05,868.5,868.85,6310
81,2025-07-14 10:36:00+05:30,868.85,868.85,868.2,868.7,4187
82,2025-07-14 10:37:00+05:30,868.7,869.2,868.55,868.8,3346
83,2025-07-14 10:38:00+05:30,868.8,868.95,868.45,868.45,2798
84,2025-07-14 10:39:00+05:30,868.45,868.5,868.2,868.25,3765
85,2025-07-14 10:40:00+05:30,868.3,868.3,867.85,867.95,3246
86,2025-07-14 10:41:00+05:30,868.0,868.5,867.15,867.15,24885
87,2025-07-14 10:42:00+05:30,867.55,868.0,867.55,867.8,5308
88,2025-07-14 10:43:00+05:30,867.8,868.35,867.7,868.1,5769
89,2025-07-14 10:44:00+05:30,868.15,868.15,867.4,868.0,6012
90,2025-07-14 10:45:00+05:30,868.05,868.65,868.05,868.35,3943
91,2025-07-14 10:46:00+05:30,868.35,868.35,867.8,867.9,5269
92,2025-07-14 10:47:00+05:30,867.75,868.2,867.5,867.95,4281
93,2025-07-14 10:48:00+05:30,867.95,868.2,867.45,867.45,3579
94,2025-07-14 10:49:00+05:30,867.4,868.2,867.4,867.8,5155
95,2025-07-14 10:50:00+05:30,867.85,868.2,867.75,867.75,3118
96,2025-07-14 10:51:00+05:30,867.95,868.0,867.55,867.55,3642
97,2025-07-14 10:52:00+05:30,867.55,867.65,867.5,867.6,3548
98,2025-07-14 10:53:00+05:30,867.65,867.65,866.2,866.7,11932
99,2025-07-14 10:54:00+05:30,866.7,867.15,866.55,866.75,12948
100,2025-07-14 10:55:00+05:30,866.5,867.65,866.5,867.4,5028
101,2025-07-14 10:56:00+05:30,867.4,867.6,867.25,867.25,4762
102,2025-07-14 10:57:00+05:30,867.2,867.2,866.05,866.2,7348
103,2025-07-14 10:58:00+05:30,866.0,866.3,865.75,865.75,14342
104,2025-07-14 10:59:00+05:30,865.75,866.35,865.6,866.0,4781
105,2025-07-14 11:00:00+05:30,866.3,866.9,866.0,866.9,7326
106,2025-07-14 11:01:00+05:30,866.65,867.15,866.65,867.1,4476
107,2025-07-14 11:02:00+05:30,866.9,867.35,866.75,867.35,3608
108,2025-07-14 11:03:00+05:30,867.35,867.35,866.75,866.75,2804
109,2025-07-14 11:04:00+05:30,866.8,866.9,866.55,866.6,2384
110,2025-07-14 11:05:00+05:30,866.6,866.6,866.0,866.05,2998
111,2025-07-14 11:06:00+05:30,866.05,866.15,866.0,866.1,3141
112,2025-07-14 11:07:00+05:30,866.1,866.1,865.8,865.8,5490
113,2025-07-14 11:08:00+05:30,865.7,866.5,865.7,866.2,4334
114,2025-07-14 11:09:00+05:30,866.2,866.5,866.0,866.5,6731
115,2025-07-14 11:10:00+05:30,866.5,866.9,866.4,866.7,3017
116,2025-07-14 11:11:00+05:30,866.8,867.05,865.5,865.5,8394
117,2025-07-14 11:12:00+05:30,865.6,866.0,865.6,865.6,4269
118,2025-07-14 11:13:00+05:30,865.8,865.8,865.5,865.65,3780
119,2025-07-14 11:14:00+05:30,865.65,865.65,864.95,864.95,34010
120,2025-07-14 11:15:00+05:30,864.95,865.15,864.7,864.7,12461
121,2025-07-14 11:16:00+05:30,864.7,864.8,864.4,864.4,6521
122,2025-07-14 11:17:00+05:30,864.25,864.65,864.2,864.35,6740
123,2025-07-14 11:18:00+05:30,864.5,864.8,864.5,864.55,4422
