,date,open,high,low,close,volume
0,2025-06-12 09:15:00+05:30,4410.3,4425.0,4396.6,4403.4,15261
1,2025-06-12 09:20:00+05:30,4403.4,4403.4,4375.0,4388.6,14135
2,2025-06-12 09:25:00+05:30,4387.0,4394.8,4381.1,4394.7,7573
3,2025-06-12 09:30:00+05:30,4394.3,4403.5,4393.4,4401.8,7396
4,2025-06-12 09:35:00+05:30,4401.8,4403.4,4392.1,4395.2,6398
5,2025-06-12 09:40:00+05:30,4393.4,4400.0,4390.0,4391.8,5316
6,2025-06-12 09:45:00+05:30,4391.8,4394.8,4387.2,4393.7,5269
7,2025-06-12 09:50:00+05:30,4393.7,4401.6,4390.6,4390.6,3272
8,2025-06-12 09:55:00+05:30,4390.6,4392.7,4383.5,4390.5,4681
9,2025-06-12 10:00:00+05:30,4390.5,4390.9,4382.0,4384.5,4321
10,2025-06-12 10:05:00+05:30,4384.8,4398.6,4382.1,4396.8,7006
11,2025-06-12 10:10:00+05:30,4396.8,4397.8,4386.0,4391.2,3240
12,2025-06-12 10:15:00+05:30,4391.2,4397.0,4391.2,4393.7,3270
13,2025-06-12 10:20:00+05:30,4392.7,4394.4,4388.0,4393.4,2912
14,2025-06-12 10:25:00+05:30,4392.8,4394.1,4389.5,4390.8,2545
15,2025-06-12 10:30:00+05:30,4390.8,4400.0,4390.0,4398.3,3297
16,2025-06-12 10:35:00+05:30,4398.3,4401.5,4395.1,4400.0,4067
17,2025-06-12 10:40:00+05:30,4400.0,4404.0,4385.8,4385.8,5107
18,2025-06-12 10:45:00+05:30,4385.8,4389.0,4385.0,4387.0,3965
19,2025-06-12 10:50:00+05:30,4387.0,4397.0,4385.5,4391.0,6894
20,2025-06-12 10:55:00+05:30,4391.0,4391.5,4388.0,4388.9,11548
21,2025-06-12 11:00:00+05:30,4388.0,4390.0,4385.0,4386.6,3863
22,2025-06-12 11:05:00+05:30,4386.6,4388.0,4385.0,4386.8,2029
23,2025-06-12 11:10:00+05:30,4386.8,4388.0,4385.0,4385.3,9477
24,2025-06-12 11:15:00+05:30,4385.3,4394.9,4385.0,4392.8,3551
25,2025-06-12 11:20:00+05:30,4392.8,4398.5,4386.0,4396.0,2989
26,2025-06-12 11:25:00+05:30,4396.0,4399.0,4392.0,4392.0,2620
27,2025-06-12 11:30:00+05:30,4392.0,4393.1,4386.2,4387.7,3188
28,2025-06-12 11:35:00+05:30,4387.7,4388.7,4385.0,4385.0,6642
29,2025-06-12 11:40:00+05:30,4385.0,4387.3,4367.4,4368.4,33964
30,2025-06-12 11:45:00+05:30,4368.4,4373.1,4367.0,4370.8,5874
31,2025-06-12 11:50:00+05:30,4370.8,4373.2,4364.4,4368.9,5366
32,2025-06-12 11:55:00+05:30,4368.9,4369.6,4356.0,4356.0,6953
33,2025-06-12 12:00:00+05:30,4356.0,4363.2,4351.1,4360.4,7807
34,2025-06-12 12:05:00+05:30,4360.4,4375.7,4355.3,4372.0,12837
35,2025-06-12 12:10:00+05:30,4371.0,4380.2,4370.0,4380.2,8013
36,2025-06-12 12:15:00+05:30,4380.2,4386.8,4379.0,4385.0,18626
37,2025-06-12 12:20:00+05:30,4385.0,4388.5,4383.8,4386.3,5172
38,2025-06-12 12:25:00+05:30,4386.3,4386.3,4381.3,4383.9,9500
39,2025-06-12 12:30:00+05:30,4383.8,4391.9,4383.8,4386.1,8605
40,2025-06-12 12:35:00+05:30,4386.4,4388.4,4383.2,4385.0,9110
41,2025-06-12 12:40:00+05:30,4385.0,4390.9,4385.0,4390.8,2849
42,2025-06-12 12:45:00+05:30,4390.0,4407.4,4389.5,4404.5,9128
43,2025-06-12 12:50:00+05:30,4404.3,4408.0,4402.9,4406.0,6835
44,2025-06-12 12:55:00+05:30,4406.0,4410.6,4404.4,4406.2,20978
45,2025-06-12 13:00:00+05:30,4406.2,4407.0,4386.2,4389.4,7902
46,2025-06-12 13:05:00+05:30,4388.2,4398.6,4388.1,4398.3,5544
47,2025-06-12 13:10:00+05:30,4398.7,4404.7,4397.3,4400.3,5247
48,2025-06-12 13:15:00+05:30,4400.3,4400.3,4395.5,4395.5,4916
49,2025-06-12 13:20:00+05:30,4395.5,4404.0,4394.0,4402.3,7290
50,2025-06-12 13:25:00+05:30,4401.8,4408.1,4400.0,4400.0,40711
51,2025-06-12 13:30:00+05:30,4400.0,4400.2,4386.5,4392.5,37853
52,2025-06-12 13:35:00+05:30,4393.2,4393.8,4375.0,4375.1,9755
53,2025-06-12 13:40:00+05:30,4375.1,4384.8,4370.0,4378.2,9836
54,2025-06-12 13:45:00+05:30,4380.0,4384.6,4373.0,4377.0,36849
55,2025-06-12 13:50:00+05:30,4377.0,4385.9,4375.1,4382.8,15814
56,2025-06-12 13:55:00+05:30,4382.8,4386.8,4375.0,4380.7,19295
