,date,open,high,low,close,volume
0,2025-04-15 09:15:00+05:30,11749,11749,11581,11640,28024
1,2025-04-15 09:45:00+05:30,11630,11664,11607,11657,19299
2,2025-04-15 10:15:00+05:30,11657,11670,11633,11656,22822
3,2025-04-15 10:45:00+05:30,11655,11683,11651,11660,21646
4,2025-04-15 11:15:00+05:30,11654,11704,11650,11691,26024
5,2025-04-15 11:45:00+05:30,11697,11745,11670,11736,24098
6,2025-04-15 12:15:00+05:30,11737,11744,11722,11735,18854
7,2025-04-15 12:45:00+05:30,11734,11742,11728,11738,16576
8,2025-04-15 13:15:00+05:30,11738,11747,11708,11722,37503
9,2025-04-15 13:45:00+05:30,11722,11729,11705,11721,26150
10,2025-04-15 14:15:00+05:30,11721,11730,11698,11703,16538
11,2025-04-15 14:45:00+05:30,11703,11721,11696,11720,47672
12,2025-04-15 15:15:00+05:30,11722,11737,11701,11710,38422
13,2025-04-16 09:15:00+05:30,11667,11788,11667,11771,29409
14,2025-04-16 09:45:00+05:30,11774,11827,11770,11821,26285
15,2025-04-16 10:15:00+05:30,11818,11824,11750,11794,47952
16,2025-04-16 10:45:00+05:30,11791,11797,11750,11764,15031
17,2025-04-16 11:15:00+05:30,11757,11775,11752,11756,26814
18,2025-04-16 11:45:00+05:30,11757,11771,11740,11761,14357
19,2025-04-16 12:15:00+05:30,11761,11767,11747,11764,10945
20,2025-04-16 12:45:00+05:30,11764,11769,11709,11732,14281
21,2025-04-16 13:15:00+05:30,11732,11732,11673,11697,10801
22,2025-04-16 13:45:00+05:30,11698,11759,11685,11737,16444
23,2025-04-16 14:15:00+05:30,11735,11736,11707,11717,8818
24,2025-04-16 14:45:00+05:30,11717,11739,11714,11727,27754
25,2025-04-16 15:15:00+05:30,11723,11748,11714,11741,18333
26,2025-04-17 09:15:00+05:30,11667,11695,11600,11676,34629
27,2025-04-17 09:45:00+05:30,11679,11711,11658,11666,15093
28,2025-04-17 10:15:00+05:30,11665,11718,11655,11708,9789
29,2025-04-17 10:45:00+05:30,11706,11737,11681,11737,17935
30,2025-04-17 11:15:00+05:30,11736,11815,11733,11801,25556
31,2025-04-17 11:45:00+05:30,11801,11825,11783,11815,23736
32,2025-04-17 12:15:00+05:30,11817,11865,11806,11865,23222
33,2025-04-17 12:45:00+05:30,11863,11899,11851,11872,17928
34,2025-04-17 13:15:00+05:30,11872,11883,11832,11864,25474
35,2025-04-17 13:45:00+05:30,11864,11882,11855,11863,15750
36,2025-04-17 14:15:00+05:30,11862,11879,11847,11871,18855
37,2025-04-17 14:45:00+05:30,11871,11922,11865,11918,42117
38,2025-04-17 15:15:00+05:30,11917,11919,11881,11900,18926
39,2025-04-21 09:15:00+05:30,11816,12110,11781,12050,56149
40,2025-04-21 09:45:00+05:30,12050,12068,12011,12041,15052
41,2025-04-21 10:15:00+05:30,12037,12062,12025,12038,9167
42,2025-04-21 10:45:00+05:30,12034,12041,11984,12000,11151
43,2025-04-21 11:15:00+05:30,12000,12023,11964,11975,34524
44,2025-04-21 11:45:00+05:30,11977,11980,11953,11967,13756
45,2025-04-21 12:15:00+05:30,11967,11988,11954,11966,15126
46,2025-04-21 12:45:00+05:30,11964,11980,11961,11971,11278
47,2025-04-21 13:15:00+05:30,11971,11976,11935,11941,14030
48,2025-04-21 13:45:00+05:30,11944,11954,11920,11941,11832
49,2025-04-21 14:15:00+05:30,11942,11950,11927,11934,7892
50,2025-04-21 14:45:00+05:30,11945,11949,11919,11931,17473
51,2025-04-21 15:15:00+05:30,11930,11949,11920,11931,12359
52,2025-04-22 09:15:00+05:30,11934,11964,11850,11941,22979
53,2025-04-22 09:45:00+05:30,11940,12009,11927,11975,22207
54,2025-04-22 10:15:00+05:30,11974,11975,11936,11972,9940
55,2025-04-22 10:45:00+05:30,11972,12005,11959,11987,16953
56,2025-04-22 11:15:00+05:30,11989,12016,11983,11995,15413
57,2025-04-22 11:45:00+05:30,11999,12000,11991,12000,18887
58,2025-04-22 12:15:00+05:30,12000,12007,11988,12000,18915
59,2025-04-22 12:45:00+05:30,12000,12017,11976,11990,82378
60,2025-04-22 13:15:00+05:30,11993,12000,11971,12000,21594
61,2025-04-22 13:45:00+05:30,12000,12001,11985,11999,24374
62,2025-04-22 14:15:00+05:30,12000,12002,11935,11938,32558
63,2025-04-22 14:45:00+05:30,11937,11975,11919,11951,36218
64,2025-04-22 15:15:00+05:30,11946,11980,11923,11923,11659
65,2025-04-23 09:15:00+05:30,12040,12040,11926,11947,28463
66,2025-04-23 09:45:00+05:30,11949,11959,11872,11874,17360
67,2025-04-23 10:15:00+05:30,11870,11892,11826,11880,19760
68,2025-04-23 10:45:00+05:30,11879,11900,11867,11899,10560
69,2025-04-23 11:15:00+05:30,11899,11917,11873,11917,9160
70,2025-04-23 11:45:00+05:30,11922,11944,11863,11880,18418
71,2025-04-23 12:15:00+05:30,11880,11915,11866,11891,17647
72,2025-04-23 12:45:00+05:30,11890,11960,11886,11925,47619
73,2025-04-23 13:15:00+05:30,11925,11932,11903,11907,14857
74,2025-04-23 13:45:00+05:30,11906,11943,11906,11915,13418
75,2025-04-23 14:15:00+05:30,11914,11921,11880,11885,14860
76,2025-04-23 14:45:00+05:30,11887,11980,11884,11975,30895
77,2025-04-23 15:15:00+05:30,11974,11974,11866,11867,23875
78,2025-04-24 09:15:00+05:30,11877,12040,11870,11972,27068
79,2025-04-24 09:45:00+05:30,11972,12005,11960,11984,14334
80,2025-04-24 10:15:00+05:30,11988,12057,11982,12040,21107
81,2025-04-24 10:45:00+05:30,12040,12045,11998,12001,6581
82,2025-04-24 11:15:00+05:30,12004,12060,11991,12040,19804
83,2025-04-24 11:45:00+05:30,12040,12166,12027,12163,30363
84,2025-04-24 12:15:00+05:30,12163,12188,12095,12110,47249
85,2025-04-24 12:45:00+05:30,12108,12123,12086,12089,16021
86,2025-04-24 13:15:00+05:30,12089,12145,12089,12141,19491
87,2025-04-24 13:45:00+05:30,12137,12143,12120,12139,17105
88,2025-04-24 14:15:00+05:30,12140,12155,12120,12135,24093
89,2025-04-24 14:45:00+05:30,12135,12175,12111,12162,55725
90,2025-04-24 15:15:00+05:30,12165,12185,12145,12175,39955
91,2025-04-25 09:15:00+05:30,12149,12244,12104,12158,40936
92,2025-04-25 09:45:00+05:30,12158,12158,11981,12040,27136
93,2025-04-25 10:15:00+05:30,12040,12052,11922,11963,15349
94,2025-04-25 10:45:00+05:30,11963,11982,11919,11936,10899
95,2025-04-25 11:15:00+05:30,11936,11946,11860,11908,13163
96,2025-04-25 11:45:00+05:30,11907,11968,11875,11963,13436
97,2025-04-25 12:15:00+05:30,11962,12072,11961,12050,20497
98,2025-04-25 12:45:00+05:30,12050,12140,12041,12125,15047
99,2025-04-25 13:15:00+05:30,12123,12184,12120,12168,59124
100,2025-04-25 13:45:00+05:30,12168,12219,12137,12161,23639
101,2025-04-25 14:15:00+05:30,12157,12244,12157,12244,39270
102,2025-04-25 14:45:00+05:30,12244,12304,12229,12252,97284
103,2025-04-25 15:15:00+05:30,12252,12255,12185,12190,35991
104,2025-04-28 09:15:00+05:30,12232,12284,12140,12248,127128
105,2025-04-28 09:45:00+05:30,12250,12339,12244,12318,24773
106,2025-04-28 10:15:00+05:30,12318,12336,12250,12284,15393
107,2025-04-28 10:45:00+05:30,12284,12299,12250,12255,11515
108,2025-04-28 11:15:00+05:30,12255,12270,12206,12220,10144
109,2025-04-28 11:45:00+05:30,12220,12239,12168,12200,27148
110,2025-04-28 12:15:00+05:30,12200,12230,12194,12222,16330
111,2025-04-28 12:45:00+05:30,12225,12230,12183,12210,17021
112,2025-04-28 13:15:00+05:30,12213,12218,12174,12197,19215
113,2025-04-28 13:45:00+05:30,12197,12200,12119,12173,35458
114,2025-04-28 14:15:00+05:30,12173,12177,12140,12140,14176
115,2025-04-28 14:45:00+05:30,12140,12175,12001,12100,113057
116,2025-04-28 15:15:00+05:30,12100,12169,12095,12128,83208
117,2025-04-29 09:15:00+05:30,12201,12222,11925,11932,97389
118,2025-04-29 09:45:00+05:30,11929,11996,11920,11968,31678
119,2025-04-29 10:15:00+05:30,11968,11969,11885,11906,47551
120,2025-04-29 10:45:00+05:30,11909,11930,11895,11920,27470
121,2025-04-29 11:15:00+05:30,11918,11928,11890,11905,19611
122,2025-04-29 11:45:00+05:30,11900,11903,11835,11868,26564
123,2025-04-29 12:15:00+05:30,11870,11873,11800,11810,26003
124,2025-04-29 12:45:00+05:30,11810,11874,11805,11874,24043
125,2025-04-29 13:15:00+05:30,11874,11900,11860,11865,55360
126,2025-04-29 13:45:00+05:30,11865,11867,11831,11849,27597
127,2025-04-29 14:15:00+05:30,11849,11892,11845,11883,25771
128,2025-04-29 14:45:00+05:30,11883,11896,11834,11881,57923
129,2025-04-29 15:15:00+05:30,11881,11886,11843,11850,46869
130,2025-04-30 09:15:00+05:30,11869,11925,11705,11735,57944
131,2025-04-30 09:45:00+05:30,11740,11783,11726,11753,84444
132,2025-04-30 10:15:00+05:30,11753,11754,11691,11710,29647
133,2025-04-30 10:45:00+05:30,11711,11732,11688,11690,17560
134,2025-04-30 11:15:00+05:30,11693,11710,11680,11696,21835
135,2025-04-30 11:45:00+05:30,11696,11750,11686,11726,28905
136,2025-04-30 12:15:00+05:30,11726,11750,11700,11705,20748
137,2025-04-30 12:45:00+05:30,11702,11721,11680,11683,17301
138,2025-04-30 13:15:00+05:30,11683,11695,11651,11655,22569
139,2025-04-30 13:45:00+05:30,11653,11695,11650,11686,17672
140,2025-04-30 14:15:00+05:30,11686,11696,11597,11635,53576
141,2025-04-30 14:45:00+05:30,11637,11692,11633,11663,129031
142,2025-04-30 15:15:00+05:30,11661,11664,11500,11635,127788
143,2025-05-02 09:15:00+05:30,11641,11742,11619,11717,30411
144,2025-05-02 09:45:00+05:30,11723,11750,11689,11715,36017
145,2025-05-02 10:15:00+05:30,11718,11720,11651,11678,15491
146,2025-05-02 10:45:00+05:30,11678,11683,11625,11652,7358
147,2025-05-02 11:15:00+05:30,11652,11657,11573,11573,11957
148,2025-05-02 11:45:00+05:30,11575,11592,11556,11567,7465
149,2025-05-02 12:15:00+05:30,11567,11578,11528,11538,15529
150,2025-05-02 12:45:00+05:30,11538,11550,11481,11527,25925
151,2025-05-02 13:15:00+05:30,11527,11617,11526,11611,13872
152,2025-05-02 13:45:00+05:30,11616,11653,11611,11638,12825
153,2025-05-02 14:15:00+05:30,11638,11650,11600,11626,13809
154,2025-05-02 14:45:00+05:30,11626,11674,11615,11645,33525
155,2025-05-02 15:15:00+05:30,11646,11658,11638,11650,30732
156,2025-05-05 09:15:00+05:30,11702,11728,11660,11684,12177
157,2025-05-05 09:45:00+05:30,11684,11720,11670,11679,6526
158,2025-05-05 10:15:00+05:30,11679,11712,11662,11700,19969
159,2025-05-05 10:45:00+05:30,11700,11711,11683,11694,6681
160,2025-05-05 11:15:00+05:30,11694,11703,11681,11694,6404
161,2025-05-05 11:45:00+05:30,11697,11704,11664,11699,8465
162,2025-05-05 12:15:00+05:30,11699,11720,11677,11703,15433
163,2025-05-05 12:45:00+05:30,11704,11715,11688,11699,16396
164,2025-05-05 13:15:00+05:30,11699,11705,11690,11700,8103
165,2025-05-05 13:45:00+05:30,11696,11704,11690,11691,9862
166,2025-05-05 14:15:00+05:30,11690,11700,11680,11684,8461
167,2025-05-05 14:45:00+05:30,11683,11694,11652,11660,14148
168,2025-05-05 15:15:00+05:30,11663,11685,11653,11664,12349
169,2025-05-06 09:15:00+05:30,11699,11729,11577,11648,19082
170,2025-05-06 09:45:00+05:30,11647,11656,11609,11631,7010
171,2025-05-06 10:15:00+05:30,11633,11651,11615,11648,3958
172,2025-05-06 10:45:00+05:30,11651,11663,11570,11571,13530
173,2025-05-06 11:15:00+05:30,11571,11598,11544,11559,14980
174,2025-05-06 11:45:00+05:30,11559,11601,11553,11600,8459
175,2025-05-06 12:15:00+05:30,11599,11604,11582,11591,4843
176,2025-05-06 12:45:00+05:30,11590,11604,11579,11599,10528
177,2025-05-06 13:15:00+05:30,11599,11650,11590,11649,13772
178,2025-05-06 13:45:00+05:30,11649,11690,11632,11657,15007
179,2025-05-06 14:15:00+05:30,11657,11716,11643,11700,71204
180,2025-05-06 14:45:00+05:30,11701,11725,11677,11697,60291
181,2025-05-06 15:15:00+05:30,11697,11699,11644,11660,29935
