,date,open,high,low,close,volume
0,2025-06-12 12:15:00+05:30,833.55,833.9,832.95,833.65,11279
1,2025-06-12 12:20:00+05:30,833.65,836.15,833.35,835.75,65451
2,2025-06-12 12:25:00+05:30,835.75,836.0,833.7,834.3,21160
3,2025-06-12 12:30:00+05:30,834.3,835.0,833.85,834.85,25167
4,2025-06-12 12:35:00+05:30,834.85,835.05,834.25,834.9,15655
5,2025-06-12 12:40:00+05:30,834.55,834.95,834.55,834.8,9810
6,2025-06-12 12:45:00+05:30,834.8,834.9,834.0,834.9,7353
7,2025-06-12 12:50:00+05:30,834.95,837.5,834.95,837.05,92523
8,2025-06-12 12:55:00+05:30,837.05,837.2,835.4,836.0,23383
9,2025-06-12 13:00:00+05:30,836.0,836.1,834.6,835.75,17060
10,2025-06-12 13:05:00+05:30,835.7,836.4,835.25,836.4,17190
11,2025-06-12 13:10:00+05:30,836.4,836.75,836.05,836.5,12218
12,2025-06-12 13:15:00+05:30,836.5,836.55,835.6,835.85,14866
13,2025-06-12 13:20:00+05:30,835.85,835.85,834.7,835.0,17866
14,2025-06-12 13:25:00+05:30,835.0,835.3,833.4,833.55,32164
15,2025-06-12 13:30:00+05:30,833.5,834.2,832.1,833.3,22079
16,2025-06-12 13:35:00+05:30,833.3,833.4,832.35,832.5,40820
17,2025-06-12 13:40:00+05:30,832.55,832.8,831.6,831.7,20450
18,2025-06-12 13:45:00+05:30,831.5,831.5,830.2,830.2,34157
19,2025-06-12 13:50:00+05:30,830.4,831.75,829.2,831.25,43991
20,2025-06-12 13:55:00+05:30,831.0,833.1,831.0,831.65,27673
21,2025-06-12 14:00:00+05:30,832.15,832.15,830.1,830.5,22221
22,2025-06-12 14:05:00+05:30,830.8,831.15,829.6,829.85,19791
23,2025-06-12 14:10:00+05:30,829.35,831.55,829.3,831.4,32436
24,2025-06-12 14:15:00+05:30,831.15,833.5,831.0,832.9,23392
25,2025-06-12 14:20:00+05:30,833.3,833.55,832.45,832.65,39461
26,2025-06-12 14:25:00+05:30,832.65,832.9,831.65,832.4,20096
27,2025-06-12 14:30:00+05:30,832.2,835.4,832.2,835.0,53269
28,2025-06-12 14:35:00+05:30,835.1,835.15,833.1,833.1,30733
29,2025-06-12 14:40:00+05:30,833.2,833.7,832.35,833.0,40476
30,2025-06-12 14:45:00+05:30,832.65,833.75,832.4,832.8,29150
31,2025-06-12 14:50:00+05:30,832.8,833.2,831.4,831.85,39878
32,2025-06-12 14:55:00+05:30,831.9,833.1,831.5,832.95,53417
33,2025-06-12 15:00:00+05:30,833.0,833.95,831.2,831.5,58237
34,2025-06-12 15:05:00+05:30,831.45,831.45,830.5,831.05,89096
35,2025-06-12 15:10:00+05:30,831.0,831.4,829.85,830.85,95301
36,2025-06-12 15:15:00+05:30,830.7,830.85,828.05,829.25,144570
37,2025-06-12 15:20:00+05:30,829.2,829.6,827.95,829.6,62626
38,2025-06-12 15:25:00+05:30,829.6,829.85,826.0,827.0,73528
39,2025-06-13 09:15:00+05:30,819.0,823.3,813.05,819.9,220804
40,2025-06-13 09:20:00+05:30,819.9,820.75,817.2,820.75,99105
41,2025-06-13 09:25:00+05:30,821.25,824.25,820.35,822.75,73888
42,2025-06-13 09:30:00+05:30,822.5,822.75,816.35,816.85,82023
43,2025-06-13 09:35:00+05:30,817.05,819.85,815.95,819.85,79856
44,2025-06-13 09:40:00+05:30,819.85,822.75,819.0,822.6,81342
45,2025-06-13 09:45:00+05:30,822.75,822.9,820.85,822.1,121492
46,2025-06-13 09:50:00+05:30,821.85,825.3,821.85,824.0,69408
47,2025-06-13 09:55:00+05:30,824.0,825.8,824.0,824.5,34654
48,2025-06-13 10:00:00+05:30,824.8,824.8,821.6,822.3,39981
49,2025-06-13 10:05:00+05:30,822.3,823.0,820.85,820.85,23947
50,2025-06-13 10:10:00+05:30,820.75,821.05,820.1,820.8,28629
51,2025-06-13 10:15:00+05:30,820.55,820.75,817.55,820.3,93824
52,2025-06-13 10:20:00+05:30,820.2,822.8,820.05,822.5,51863
53,2025-06-13 10:25:00+05:30,822.25,823.8,822.25,823.8,36674
54,2025-06-13 10:30:00+05:30,823.65,825.2,823.35,825.05,47575
55,2025-06-13 10:35:00+05:30,824.85,825.85,824.0,825.2,42357
56,2025-06-13 10:40:00+05:30,825.05,825.15,824.5,824.55,17230
57,2025-06-13 10:45:00+05:30,824.4,826.0,824.4,825.65,34277
58,2025-06-13 10:50:00+05:30,825.65,826.8,825.55,826.4,30676
59,2025-06-13 10:55:00+05:30,826.4,826.45,825.15,825.55,15197
60,2025-06-13 11:00:00+05:30,825.6,825.9,824.0,824.65,39509
61,2025-06-13 11:05:00+05:30,824.6,824.85,822.0,822.4,28013
62,2025-06-13 11:10:00+05:30,822.4,822.4,820.0,821.45,49379
63,2025-06-13 11:15:00+05:30,821.45,821.95,818.45,821.2,57499
64,2025-06-13 11:20:00+05:30,820.85,821.2,820.15,820.4,19170
65,2025-06-13 11:25:00+05:30,820.4,820.65,820.0,820.65,23519
66,2025-06-13 11:30:00+05:30,820.65,821.5,820.2,821.05,19506
67,2025-06-13 11:35:00+05:30,821.05,821.55,820.45,821.35,23151
68,2025-06-13 11:40:00+05:30,821.45,821.45,820.0,820.2,22002
69,2025-06-13 11:45:00+05:30,820.25,820.55,817.7,817.7,52175
70,2025-06-13 11:50:00+05:30,818.0,818.4,817.25,818.0,36448
71,2025-06-13 11:55:00+05:30,817.8,818.35,817.25,817.8,16086
72,2025-06-13 12:00:00+05:30,817.8,818.75,816.3,818.55,39946
73,2025-06-13 12:05:00+05:30,818.55,819.0,817.55,819.0,28858
74,2025-06-13 12:10:00+05:30,819.0,819.65,817.55,817.6,20499
