,date,open,high,low,close,volume
0,2025-04-15 09:15:00+05:30,234.0,234.0,230.1,231.0,2467630
1,2025-04-15 09:45:00+05:30,230.98,231.9,230.7,231.28,1154777
2,2025-04-15 10:15:00+05:30,231.21,232.46,231.16,232.06,812072
3,2025-04-15 10:45:00+05:30,232.17,232.95,231.79,232.84,812248
4,2025-04-15 11:15:00+05:30,232.84,233.19,232.2,232.94,783985
5,2025-04-15 11:45:00+05:30,232.94,233.25,232.5,233.13,917380
6,2025-04-15 12:15:00+05:30,233.13,233.69,232.9,233.31,604212
7,2025-04-15 12:45:00+05:30,233.3,233.47,232.84,233.21,676684
8,2025-04-15 13:15:00+05:30,233.22,233.4,232.95,233.4,545364
9,2025-04-15 13:45:00+05:30,233.4,233.51,232.84,232.91,409505
10,2025-04-15 14:15:00+05:30,232.99,233.18,232.25,232.38,454241
11,2025-04-15 14:45:00+05:30,232.4,233.2,232.25,232.5,1187040
12,2025-04-15 15:15:00+05:30,232.48,233.19,232.48,233.19,1180615
13,2025-04-16 09:15:00+05:30,232.69,233.79,231.72,232.84,1038076
14,2025-04-16 09:45:00+05:30,232.88,234.3,232.77,234.19,831055
15,2025-04-16 10:15:00+05:30,234.2,234.6,233.46,233.9,1207795
16,2025-04-16 10:45:00+05:30,233.74,235.36,233.66,235.1,907659
17,2025-04-16 11:15:00+05:30,235.1,236.9,235.01,236.43,987343
18,2025-04-16 11:45:00+05:30,236.43,236.6,235.81,236.0,768797
19,2025-04-16 12:15:00+05:30,236.0,236.74,236.0,236.33,779139
20,2025-04-16 12:45:00+05:30,236.3,236.8,235.35,236.74,1555618
21,2025-04-16 13:15:00+05:30,236.79,237.15,236.11,237.0,1825030
22,2025-04-16 13:45:00+05:30,237.01,239.45,236.67,238.56,2705867
23,2025-04-16 14:15:00+05:30,238.57,240.47,237.97,239.97,2215762
24,2025-04-16 14:45:00+05:30,240.05,242.0,239.75,241.28,2489555
25,2025-04-16 15:15:00+05:30,241.28,241.77,240.7,240.84,1347486
26,2025-04-17 09:15:00+05:30,241.0,242.23,239.72,241.08,1588055
27,2025-04-17 09:45:00+05:30,241.0,241.92,239.66,239.66,564197
28,2025-04-17 10:15:00+05:30,239.66,241.0,239.26,240.69,441626
29,2025-04-17 10:45:00+05:30,240.69,241.95,240.11,241.89,489569
30,2025-04-17 11:15:00+05:30,242.23,244.48,242.1,244.29,1414114
31,2025-04-17 11:45:00+05:30,244.29,244.61,243.05,243.82,749036
32,2025-04-17 12:15:00+05:30,243.84,244.19,243.08,243.94,726547
33,2025-04-17 12:45:00+05:30,243.94,244.27,242.88,243.32,746956
34,2025-04-17 13:15:00+05:30,243.3,243.65,242.5,243.18,1118361
35,2025-04-17 13:45:00+05:30,243.13,244.0,242.77,242.77,1127037
36,2025-04-17 14:15:00+05:30,242.7,243.9,242.35,243.4,1510183
37,2025-04-17 14:45:00+05:30,243.4,243.9,243.07,243.45,1345405
38,2025-04-17 15:15:00+05:30,243.44,243.95,243.25,243.7,972806
39,2025-04-21 09:15:00+05:30,244.01,246.0,241.75,245.38,1616459
40,2025-04-21 09:45:00+05:30,245.38,246.48,244.73,246.35,837833
41,2025-04-21 10:15:00+05:30,246.4,247.73,245.76,247.6,675571
42,2025-04-21 10:45:00+05:30,247.6,249.42,247.35,249.4,712502
43,2025-04-21 11:15:00+05:30,249.36,249.5,248.5,248.75,766630
44,2025-04-21 11:45:00+05:30,248.75,249.75,248.6,249.12,784959
45,2025-04-21 12:15:00+05:30,249.11,249.7,248.74,249.18,1058105
46,2025-04-21 12:45:00+05:30,249.22,249.75,248.95,249.55,723021
47,2025-04-21 13:15:00+05:30,249.6,250.25,249.5,249.79,885478
48,2025-04-21 13:45:00+05:30,249.78,250.25,249.54,250.01,579944
49,2025-04-21 14:15:00+05:30,250.08,250.55,249.91,250.01,951839
50,2025-04-21 14:45:00+05:30,250.01,250.25,249.47,249.79,1614439
51,2025-04-21 15:15:00+05:30,249.75,250.07,248.8,249.0,442945
52,2025-04-22 09:15:00+05:30,248.97,250.27,248.01,248.3,1250010
53,2025-04-22 09:45:00+05:30,248.28,248.75,247.65,248.3,543912
54,2025-04-22 10:15:00+05:30,248.38,249.47,248.25,248.86,320521
55,2025-04-22 10:45:00+05:30,248.86,249.0,247.63,248.25,420337
56,2025-04-22 11:15:00+05:30,248.25,249.2,247.26,247.57,686947
57,2025-04-22 11:45:00+05:30,247.6,249.07,247.42,248.82,896772
58,2025-04-22 12:15:00+05:30,248.65,249.3,247.81,249.04,651419
59,2025-04-22 12:45:00+05:30,249.08,250.38,248.86,249.8,1103233
60,2025-04-22 13:15:00+05:30,249.56,249.94,249.2,249.3,413734
61,2025-04-22 13:45:00+05:30,249.3,250.6,249.3,249.98,795076
62,2025-04-22 14:15:00+05:30,249.9,250.22,249.45,249.54,744779
63,2025-04-22 14:45:00+05:30,249.53,249.59,247.43,247.79,1287505
64,2025-04-22 15:15:00+05:30,247.74,248.39,247.32,247.5,733789
65,2025-04-23 09:15:00+05:30,248.74,250.72,248.0,249.05,1114166
66,2025-04-23 09:45:00+05:30,249.05,250.9,248.2,248.21,895055
67,2025-04-23 10:15:00+05:30,248.1,249.0,245.31,245.31,1716026
68,2025-04-23 10:45:00+05:30,245.4,246.5,244.92,245.66,2113112
69,2025-04-23 11:15:00+05:30,245.75,246.91,245.23,246.79,1389253
70,2025-04-23 11:45:00+05:30,246.79,249.21,246.61,247.65,1176021
71,2025-04-23 12:15:00+05:30,247.65,248.99,247.05,248.89,1615081
72,2025-04-23 12:45:00+05:30,248.78,251.5,248.78,250.74,2415249
73,2025-04-23 13:15:00+05:30,250.74,251.38,250.08,250.33,640089
74,2025-04-23 13:45:00+05:30,250.29,251.15,250.01,251.0,545733
75,2025-04-23 14:15:00+05:30,250.93,251.39,250.17,250.32,498122
76,2025-04-23 14:45:00+05:30,250.32,252.75,250.25,252.18,1366202
77,2025-04-23 15:15:00+05:30,252.19,252.54,251.5,251.5,1032451
78,2025-04-24 09:15:00+05:30,250.0,251.35,249.01,250.55,1253325
79,2025-04-24 09:45:00+05:30,250.52,251.37,249.53,250.18,562723
80,2025-04-24 10:15:00+05:30,250.18,250.64,249.72,250.18,298299
81,2025-04-24 10:45:00+05:30,250.18,250.49,249.83,250.05,261636
82,2025-04-24 11:15:00+05:30,250.05,250.19,249.03,249.5,327994
83,2025-04-24 11:45:00+05:30,249.5,249.8,248.69,249.3,402254
84,2025-04-24 12:15:00+05:30,249.3,249.94,249.2,249.41,278122
85,2025-04-24 12:45:00+05:30,249.4,249.82,249.3,249.61,309217
86,2025-04-24 13:15:00+05:30,249.61,249.62,248.4,248.8,452934
87,2025-04-24 13:45:00+05:30,248.8,249.12,248.5,248.5,366593
88,2025-04-24 14:15:00+05:30,248.51,248.53,248.05,248.27,475479
89,2025-04-24 14:45:00+05:30,248.24,249.71,248.0,249.36,907323
90,2025-04-24 15:15:00+05:30,249.36,249.75,248.84,249.51,611391
