,date,open,high,low,close,volume
0,2025-04-15 09:15:00+05:30,367.0,367.0,362.3,365.2,2189620
1,2025-04-15 09:45:00+05:30,365.2,366.5,365.15,366.4,1461287
2,2025-04-15 10:15:00+05:30,366.3,366.5,365.4,366.15,933193
3,2025-04-15 10:45:00+05:30,366.05,366.45,365.55,366.2,618813
4,2025-04-15 11:15:00+05:30,366.2,366.65,365.95,366.25,673989
5,2025-04-15 11:45:00+05:30,366.3,366.5,365.9,366.3,556810
6,2025-04-15 12:15:00+05:30,366.3,368.45,366.3,368.05,1962280
7,2025-04-15 12:45:00+05:30,368.05,368.15,366.95,367.25,1049943
8,2025-04-15 13:15:00+05:30,367.2,367.5,365.9,366.2,1028500
9,2025-04-15 13:45:00+05:30,366.2,366.45,364.0,364.1,1256202
10,2025-04-15 14:15:00+05:30,364.1,364.55,362.35,362.8,1290130
11,2025-04-15 14:45:00+05:30,362.8,364.15,362.1,362.45,2199569
12,2025-04-15 15:15:00+05:30,362.4,362.7,361.55,362.7,2140134
13,2025-04-16 09:15:00+05:30,362.5,362.95,359.25,361.35,1082577
14,2025-04-16 09:45:00+05:30,361.4,362.5,360.8,361.7,596038
15,2025-04-16 10:15:00+05:30,361.7,361.75,359.6,360.35,565954
16,2025-04-16 10:45:00+05:30,360.25,362.4,360.1,362.15,806743
17,2025-04-16 11:15:00+05:30,362.15,363.0,361.0,361.55,523114
18,2025-04-16 11:45:00+05:30,361.6,362.05,360.55,360.8,1467370
19,2025-04-16 12:15:00+05:30,360.8,361.25,360.0,360.55,803400
20,2025-04-16 12:45:00+05:30,360.5,360.55,358.95,359.9,776753
21,2025-04-16 13:15:00+05:30,359.9,360.0,358.35,358.8,619535
22,2025-04-16 13:45:00+05:30,358.8,360.2,358.25,359.4,974834
23,2025-04-16 14:15:00+05:30,359.5,359.5,358.4,358.6,755038
24,2025-04-16 14:45:00+05:30,358.65,359.45,357.9,359.25,1656844
25,2025-04-16 15:15:00+05:30,359.25,360.4,359.1,359.35,823573
26,2025-04-17 09:15:00+05:30,359.25,360.95,357.25,358.65,1535924
27,2025-04-17 09:45:00+05:30,358.65,360.3,357.9,358.35,542174
28,2025-04-17 10:15:00+05:30,358.35,362.0,358.15,361.55,548845
29,2025-04-17 10:45:00+05:30,361.5,361.85,359.65,360.95,1574835
30,2025-04-17 11:15:00+05:30,361.15,362.95,360.65,362.55,1126746
31,2025-04-17 11:45:00+05:30,362.55,363.7,362.0,363.65,776244
