,date,open,high,low,close,volume
0,2025-05-13 12:45:00+05:30,241.76,241.77,240.6,241.33,619675
1,2025-05-13 13:00:00+05:30,241.3,241.68,241.0,241.3,237036
2,2025-05-13 13:15:00+05:30,241.3,241.37,240.86,241.08,184325
3,2025-05-13 13:30:00+05:30,241.08,241.5,241.0,241.43,180853
4,2025-05-13 13:45:00+05:30,241.43,241.43,240.83,240.99,315860
5,2025-05-13 14:00:00+05:30,241.0,241.0,240.61,240.69,293970
6,2025-05-13 14:15:00+05:30,240.69,241.28,240.29,241.21,320952
7,2025-05-13 14:30:00+05:30,241.28,241.82,241.28,241.37,283003
8,2025-05-13 14:45:00+05:30,241.37,241.69,241.26,241.29,225685
9,2025-05-13 15:00:00+05:30,241.4,242.0,240.8,240.89,946431
10,2025-05-13 15:15:00+05:30,240.86,241.3,240.65,240.99,802288
11,2025-05-14 09:15:00+05:30,241.16,244.1,241.16,243.6,670638
12,2025-05-14 09:30:00+05:30,243.62,244.71,243.14,244.49,459262
13,2025-05-14 09:45:00+05:30,244.49,245.2,243.8,245.05,578625
14,2025-05-14 10:00:00+05:30,245.05,245.2,244.88,245.1,283975
15,2025-05-14 10:15:00+05:30,245.1,245.25,244.74,244.96,183717
16,2025-05-14 10:30:00+05:30,244.96,246.39,244.6,245.95,645185
17,2025-05-14 10:45:00+05:30,245.92,246.22,245.14,245.29,206977
18,2025-05-14 11:00:00+05:30,245.29,246.15,245.29,245.98,169508
19,2025-05-14 11:15:00+05:30,245.99,246.9,245.78,246.49,383423
20,2025-05-14 11:30:00+05:30,246.49,246.5,245.5,245.5,198058
21,2025-05-14 11:45:00+05:30,245.5,245.81,244.83,245.76,375472
22,2025-05-14 12:00:00+05:30,245.76,245.89,245.16,245.83,225285
23,2025-05-14 12:15:00+05:30,245.73,246.19,245.6,245.73,220520
24,2025-05-14 12:30:00+05:30,245.73,245.79,245.01,245.1,179203
25,2025-05-14 12:45:00+05:30,245.03,245.1,244.26,244.75,375497
26,2025-05-14 13:00:00+05:30,244.9,245.53,244.8,245.47,155331
27,2025-05-14 13:15:00+05:30,245.46,245.55,244.89,245.1,140493
28,2025-05-14 13:30:00+05:30,245.15,245.4,244.82,244.97,150070
29,2025-05-14 13:45:00+05:30,244.97,245.2,244.74,244.96,152637
30,2025-05-14 14:00:00+05:30,244.91,245.0,244.51,244.9,149350
31,2025-05-14 14:15:00+05:30,244.9,245.28,244.73,245.09,155312
32,2025-05-14 14:30:00+05:30,245.06,246.3,244.93,245.5,366087
33,2025-05-14 14:45:00+05:30,245.5,245.6,245.25,245.42,147626
34,2025-05-14 15:00:00+05:30,245.43,246.35,245.43,246.22,801370
35,2025-05-14 15:15:00+05:30,246.29,246.5,245.7,246.04,795839
36,2025-05-15 09:15:00+05:30,244.95,245.6,243.24,244.78,1057100
37,2025-05-15 09:30:00+05:30,244.72,244.85,242.87,243.03,850875
38,2025-05-15 09:45:00+05:30,243.01,243.75,242.3,243.37,652951
39,2025-05-15 10:00:00+05:30,243.37,243.8,243.0,243.7,315885
40,2025-05-15 10:15:00+05:30,243.68,244.18,243.31,244.1,249838
41,2025-05-15 10:30:00+05:30,244.1,247.0,244.06,246.26,865478
42,2025-05-15 10:45:00+05:30,246.36,246.65,245.45,246.6,351821
43,2025-05-15 11:00:00+05:30,246.64,246.64,244.5,244.86,318793
44,2025-05-15 11:15:00+05:30,244.86,245.9,244.7,245.65,184020
45,2025-05-15 11:30:00+05:30,245.56,245.68,244.8,245.1,212838
46,2025-05-15 11:45:00+05:30,245.12,245.54,244.5,244.55,498871
47,2025-05-15 12:00:00+05:30,244.55,245.0,244.16,244.66,308733
48,2025-05-15 12:15:00+05:30,244.66,245.28,243.5,243.75,550967
49,2025-05-15 12:30:00+05:30,243.66,244.24,243.55,243.67,367143
50,2025-05-15 12:45:00+05:30,243.73,244.5,243.61,244.44,1497629
51,2025-05-15 13:00:00+05:30,244.45,246.6,244.35,246.5,823386
52,2025-05-15 13:15:00+05:30,246.5,246.95,245.95,246.39,550412
53,2025-05-15 13:30:00+05:30,246.39,247.23,246.39,246.9,838215
54,2025-05-15 13:45:00+05:30,246.95,247.53,246.86,247.11,573341
55,2025-05-15 14:00:00+05:30,247.17,247.32,246.71,247.04,1157627
56,2025-05-15 14:15:00+05:30,247.03,248.92,246.96,248.6,1197606
57,2025-05-15 14:30:00+05:30,248.69,248.76,247.56,247.97,838229
58,2025-05-15 14:45:00+05:30,247.98,247.99,247.0,247.45,498596
59,2025-05-15 15:00:00+05:30,247.43,248.03,247.31,247.64,929014
60,2025-05-15 15:15:00+05:30,247.64,247.89,246.6,246.98,1059280
61,2025-05-16 09:15:00+05:30,247.06,248.44,246.4,248.2,430669
62,2025-05-16 09:30:00+05:30,248.2,248.98,247.62,248.9,395603
63,2025-05-16 09:45:00+05:30,248.9,248.99,247.97,248.88,504841
64,2025-05-16 10:00:00+05:30,248.88,249.39,248.52,248.68,448153
65,2025-05-16 10:15:00+05:30,248.68,249.0,248.3,248.44,207451
66,2025-05-16 10:30:00+05:30,248.36,248.94,248.06,248.14,360233
67,2025-05-16 10:45:00+05:30,248.06,248.2,247.56,248.0,346041
68,2025-05-16 11:00:00+05:30,248.08,248.18,247.5,247.98,160847
69,2025-05-16 11:15:00+05:30,247.98,248.11,247.55,247.55,154999
70,2025-05-16 11:30:00+05:30,247.61,248.18,247.52,247.93,243002
71,2025-05-16 11:45:00+05:30,247.93,248.1,247.35,247.64,146746
72,2025-05-16 12:00:00+05:30,247.56,247.86,247.32,247.76,254229
73,2025-05-16 12:15:00+05:30,247.7,248.08,247.37,247.94,190736
74,2025-05-16 12:30:00+05:30,247.95,248.0,247.68,247.87,108737
75,2025-05-16 12:45:00+05:30,247.96,248.06,247.55,247.63,195973
76,2025-05-16 13:00:00+05:30,247.63,247.98,247.48,247.56,277465
77,2025-05-16 13:15:00+05:30,247.6,247.64,247.1,247.25,243819
78,2025-05-16 13:30:00+05:30,247.28,247.32,246.51,246.75,347781
79,2025-05-16 13:45:00+05:30,246.75,246.89,246.5,246.6,271712
80,2025-05-16 14:00:00+05:30,246.6,246.83,246.2,246.62,403813
81,2025-05-16 14:15:00+05:30,246.62,246.88,246.4,246.46,226032
82,2025-05-16 14:30:00+05:30,246.46,246.63,246.2,246.34,295152
83,2025-05-16 14:45:00+05:30,246.34,246.65,246.22,246.5,358284
84,2025-05-16 15:00:00+05:30,246.51,247.66,246.51,247.3,742220
