,date,open,high,low,close,volume
0,2025-07-14 09:15:00+05:30,343.05,344.0,342.2,342.2,159280
1,2025-07-14 09:16:00+05:30,342.3,342.3,341.8,342.05,30556
2,2025-07-14 09:17:00+05:30,342.0,342.9,342.0,342.8,19234
3,2025-07-14 09:18:00+05:30,342.8,343.5,342.8,343.5,34523
4,2025-07-14 09:19:00+05:30,343.45,344.4,343.45,344.2,55321
5,2025-07-14 09:20:00+05:30,344.4,344.45,343.8,344.25,52355
6,2025-07-14 09:21:00+05:30,344.4,344.6,344.05,344.2,44525
7,2025-07-14 09:22:00+05:30,344.1,344.15,343.95,343.95,18539
8,2025-07-14 09:23:00+05:30,343.95,344.0,343.55,343.55,13569
9,2025-07-14 09:24:00+05:30,343.55,343.75,343.4,343.75,382412
10,2025-07-14 09:25:00+05:30,343.8,343.8,343.1,343.1,106438
11,2025-07-14 09:26:00+05:30,343.15,343.25,342.85,343.0,14415
12,2025-07-14 09:27:00+05:30,343.0,343.3,342.9,343.3,19376
13,2025-07-14 09:28:00+05:30,343.45,343.7,343.4,343.7,68901
14,2025-07-14 09:29:00+05:30,343.75,343.9,343.75,343.85,17134
15,2025-07-14 09:30:00+05:30,343.95,344.1,343.8,343.9,83444
16,2025-07-14 09:31:00+05:30,343.9,343.9,343.65,343.8,19019
17,2025-07-14 09:32:00+05:30,343.85,343.9,343.7,343.8,9071
18,2025-07-14 09:33:00+05:30,344.0,344.0,343.8,343.8,9321
19,2025-07-14 09:34:00+05:30,343.8,343.9,343.7,343.7,9023
20,2025-07-14 09:35:00+05:30,343.8,343.8,343.55,343.6,9400
21,2025-07-14 09:36:00+05:30,343.55,343.7,343.55,343.7,22860
22,2025-07-14 09:37:00+05:30,343.7,343.8,343.65,343.8,6548
23,2025-07-14 09:38:00+05:30,343.85,343.85,343.7,343.7,10971
24,2025-07-14 09:39:00+05:30,343.75,343.8,343.6,343.65,8393
25,2025-07-14 09:40:00+05:30,343.6,343.65,343.5,343.6,4986
26,2025-07-14 09:41:00+05:30,343.65,343.7,343.6,343.6,7088
27,2025-07-14 09:42:00+05:30,343.65,343.65,343.55,343.55,5736
28,2025-07-14 09:43:00+05:30,343.6,343.6,343.5,343.55,5995
29,2025-07-14 09:44:00+05:30,343.5,343.7,343.5,343.55,16701
30,2025-07-14 09:45:00+05:30,343.65,343.65,343.5,343.6,9518
31,2025-07-14 09:46:00+05:30,343.5,343.65,343.25,343.65,32000
32,2025-07-14 09:47:00+05:30,343.6,343.6,343.35,343.5,8601
33,2025-07-14 09:48:00+05:30,343.45,343.45,343.2,343.25,12572
34,2025-07-14 09:49:00+05:30,343.3,343.3,343.25,343.25,10067
35,2025-07-14 09:50:00+05:30,343.25,343.25,343.1,343.2,11304
36,2025-07-14 09:51:00+05:30,343.25,343.45,343.2,343.45,4606
37,2025-07-14 09:52:00+05:30,343.45,343.45,343.3,343.35,4929
38,2025-07-14 09:53:00+05:30,343.45,343.45,343.35,343.35,7722
39,2025-07-14 09:54:00+05:30,343.35,343.45,343.35,343.4,10585
40,2025-07-14 09:55:00+05:30,343.4,343.4,343.05,343.15,13273
41,2025-07-14 09:56:00+05:30,343.1,343.15,342.95,342.95,8791
42,2025-07-14 09:57:00+05:30,342.95,343.15,342.95,343.15,8038
43,2025-07-14 09:58:00+05:30,343.1,343.25,343.0,343.05,16026
44,2025-07-14 09:59:00+05:30,342.95,343.0,342.65,342.9,30136
45,2025-07-14 10:00:00+05:30,342.9,342.95,342.8,342.9,8791
46,2025-07-14 10:01:00+05:30,342.9,342.9,342.5,342.55,16092
47,2025-07-14 10:02:00+05:30,342.5,342.5,342.3,342.5,16275
48,2025-07-14 10:03:00+05:30,342.4,342.6,342.25,342.25,19847
49,2025-07-14 10:04:00+05:30,342.3,342.35,342.2,342.3,12353
50,2025-07-14 10:05:00+05:30,342.35,342.35,342.1,342.1,19586
51,2025-07-14 10:06:00+05:30,342.15,342.15,342.05,342.05,17347
52,2025-07-14 10:07:00+05:30,342.15,342.3,342.15,342.3,9235
53,2025-07-14 10:08:00+05:30,342.25,342.45,342.2,342.4,10608
54,2025-07-14 10:09:00+05:30,342.4,342.4,342.25,342.25,13476
55,2025-07-14 10:10:00+05:30,342.25,342.35,342.2,342.25,9189
56,2025-07-14 10:11:00+05:30,342.25,342.5,342.2,342.25,8800
57,2025-07-14 10:12:00+05:30,342.25,342.35,342.25,342.35,5185
58,2025-07-14 10:13:00+05:30,342.3,342.4,342.3,342.4,4670
59,2025-07-14 10:14:00+05:30,342.45,342.55,342.4,342.45,7353
60,2025-07-14 10:15:00+05:30,342.35,342.35,341.8,341.9,57604
61,2025-07-14 10:16:00+05:30,342.0,342.2,341.9,342.2,19528
62,2025-07-14 10:17:00+05:30,342.2,342.6,342.2,342.5,6382
63,2025-07-14 10:18:00+05:30,342.6,342.7,342.55,342.65,13720
64,2025-07-14 10:19:00+05:30,342.6,342.7,342.6,342.7,2693
65,2025-07-14 10:20:00+05:30,342.65,342.8,342.65,342.8,6674
66,2025-07-14 10:21:00+05:30,342.7,343.0,342.7,343.0,6256
67,2025-07-14 10:22:00+05:30,342.95,343.2,342.95,343.2,41919
68,2025-07-14 10:23:00+05:30,343.2,343.2,342.75,342.8,45938
69,2025-07-14 10:24:00+05:30,342.75,342.95,342.7,342.9,26728
70,2025-07-14 10:25:00+05:30,342.75,342.9,342.75,342.75,4232
71,2025-07-14 10:26:00+05:30,342.75,342.9,342.75,342.8,4886
72,2025-07-14 10:27:00+05:30,342.85,342.9,342.8,342.9,3421
73,2025-07-14 10:28:00+05:30,342.85,342.9,342.85,342.9,2369
74,2025-07-14 10:29:00+05:30,342.9,342.9,342.8,342.8,6890
75,2025-07-14 10:30:00+05:30,342.85,342.9,342.6,342.6,11981
76,2025-07-14 10:31:00+05:30,342.6,342.8,342.6,342.7,11800
77,2025-07-14 10:32:00+05:30,342.8,343.1,342.7,342.9,25984
78,2025-07-14 10:33:00+05:30,342.85,343.0,342.85,342.85,7471
79,2025-07-14 10:34:00+05:30,342.9,342.95,342.8,342.9,10210
80,2025-07-14 10:35:00+05:30,342.95,343.0,342.9,342.95,4917
81,2025-07-14 10:36:00+05:30,343.0,343.0,342.8,342.8,19095
82,2025-07-14 10:37:00+05:30,342.85,342.95,342.8,342.9,3735
83,2025-07-14 10:38:00+05:30,342.9,343.0,342.85,342.95,4640
84,2025-07-14 10:39:00+05:30,342.95,343.0,342.7,342.7,12346
85,2025-07-14 10:40:00+05:30,342.7,342.8,342.7,342.7,7111
86,2025-07-14 10:41:00+05:30,342.7,342.85,342.7,342.85,2994
87,2025-07-14 10:42:00+05:30,342.85,343.0,342.8,343.0,3619
88,2025-07-14 10:43:00+05:30,343.0,343.0,342.9,342.95,4341
89,2025-07-14 10:44:00+05:30,343.0,343.1,342.95,343.0,4052
90,2025-07-14 10:45:00+05:30,343.1,343.1,343.0,343.0,5958
91,2025-07-14 10:46:00+05:30,343.1,343.1,342.95,343.05,13714
92,2025-07-14 10:47:00+05:30,343.0,343.1,342.9,343.05,6345
93,2025-07-14 10:48:00+05:30,343.1,343.1,342.8,342.95,10516
94,2025-07-14 10:49:00+05:30,342.95,343.1,342.85,343.0,3613
95,2025-07-14 10:50:00+05:30,343.1,343.1,342.95,343.05,3359
96,2025-07-14 10:51:00+05:30,343.05,343.1,342.95,342.95,4258
97,2025-07-14 10:52:00+05:30,342.95,343.05,342.9,342.9,6301
98,2025-07-14 10:53:00+05:30,342.9,342.9,342.75,342.75,7042
99,2025-07-14 10:54:00+05:30,342.85,342.85,342.35,342.4,23878
100,2025-07-14 10:55:00+05:30,342.4,342.65,342.35,342.65,13533
101,2025-07-14 10:56:00+05:30,342.6,342.65,342.55,342.55,7787
102,2025-07-14 10:57:00+05:30,342.55,342.65,342.45,342.5,6198
103,2025-07-14 10:58:00+05:30,342.45,342.5,342.2,342.2,19839
104,2025-07-14 10:59:00+05:30,342.25,342.35,342.2,342.3,3513
105,2025-07-14 11:00:00+05:30,342.4,342.4,342.3,342.4,8158
106,2025-07-14 11:01:00+05:30,342.45,342.55,342.4,342.55,5434
107,2025-07-14 11:02:00+05:30,342.55,342.55,342.2,342.4,31550
108,2025-07-14 11:03:00+05:30,342.4,342.5,342.4,342.5,3260
109,2025-07-14 11:04:00+05:30,342.5,342.65,342.45,342.55,4459
110,2025-07-14 11:05:00+05:30,342.6,342.6,342.5,342.5,6541
111,2025-07-14 11:06:00+05:30,342.55,342.55,342.45,342.55,22053
112,2025-07-14 11:07:00+05:30,342.5,342.6,342.45,342.5,8223
113,2025-07-14 11:08:00+05:30,342.5,342.6,342.45,342.45,23110
114,2025-07-14 11:09:00+05:30,342.45,342.65,342.45,342.45,12863
115,2025-07-14 11:10:00+05:30,342.55,342.65,342.45,342.65,5883
116,2025-07-14 11:11:00+05:30,342.65,342.7,342.5,342.5,6972
117,2025-07-14 11:12:00+05:30,342.55,342.65,342.45,342.5,7359
118,2025-07-14 11:13:00+05:30,342.55,342.55,342.4,342.4,36021
119,2025-07-14 11:14:00+05:30,342.45,342.6,342.4,342.6,5866
120,2025-07-14 11:15:00+05:30,342.45,342.55,342.4,342.45,9413
121,2025-07-14 11:16:00+05:30,342.4,342.5,342.4,342.4,8899
122,2025-07-14 11:17:00+05:30,342.4,342.5,342.4,342.4,4853
