,date,open,high,low,close,volume
0,2025-02-12 12:15:00+05:30,238.45,239.5,238.05,238.7,255150
1,2025-02-12 13:15:00+05:30,238.75,238.85,236.2,236.5,545082
2,2025-02-12 14:15:00+05:30,236.4,237.7,236.4,237.35,698554
3,2025-02-12 15:15:00+05:30,237.4,238.5,237.3,238.5,481785
4,2025-02-13 09:15:00+05:30,238.5,239.45,235.0,236.85,2191664
5,2025-02-13 10:15:00+05:30,236.9,238.25,236.25,237.35,1036263
6,2025-02-13 11:15:00+05:30,237.35,238.5,237.2,237.9,758504
7,2025-02-13 12:15:00+05:30,237.9,238.6,237.2,237.2,861307
8,2025-02-13 13:15:00+05:30,237.2,238.15,235.1,235.5,1570719
9,2025-02-13 14:15:00+05:30,235.5,235.55,234.2,234.85,2691830
10,2025-02-13 15:15:00+05:30,234.85,235.35,234.6,235.3,819568
11,2025-02-14 09:15:00+05:30,235.0,237.95,232.3,233.35,1323015
12,2025-02-14 10:15:00+05:30,233.35,233.8,229.0,229.75,1212452
13,2025-02-14 11:15:00+05:30,229.8,230.5,229.05,229.75,534912
14,2025-02-14 12:15:00+05:30,229.9,230.0,228.0,228.35,543202
15,2025-02-14 13:15:00+05:30,228.35,229.4,227.05,227.2,1073192
16,2025-02-14 14:15:00+05:30,227.25,230.75,226.75,230.65,2038988
17,2025-02-14 15:15:00+05:30,230.65,230.8,230.1,230.25,938938
18,2025-02-17 09:15:00+05:30,230.2,231.6,225.05,230.65,1672468
19,2025-02-17 10:15:00+05:30,230.55,233.85,230.5,231.25,889490
20,2025-02-17 11:15:00+05:30,231.15,231.7,230.25,230.85,820836
21,2025-02-17 12:15:00+05:30,230.8,232.2,230.35,231.7,698964
22,2025-02-17 13:15:00+05:30,231.7,233.45,231.5,232.6,1034292
23,2025-02-17 14:15:00+05:30,232.6,233.85,232.45,233.8,778734
24,2025-02-17 15:15:00+05:30,233.7,234.3,233.4,234.0,540299
25,2025-02-18 09:15:00+05:30,232.2,234.0,229.55,231.8,972207
26,2025-02-18 10:15:00+05:30,231.7,233.35,231.0,232.35,540177
27,2025-02-18 11:15:00+05:30,232.35,233.3,232.05,232.7,454256
28,2025-02-18 12:15:00+05:30,232.75,233.0,231.65,232.2,368919
29,2025-02-18 13:15:00+05:30,232.3,234.55,232.2,234.15,773957
30,2025-02-18 14:15:00+05:30,234.15,237.15,234.0,236.7,2038689
31,2025-02-18 15:15:00+05:30,236.7,236.85,235.7,236.0,618410
32,2025-02-19 09:15:00+05:30,236.0,238.35,234.5,237.45,1670842
33,2025-02-19 10:15:00+05:30,237.5,238.45,236.4,236.95,731269
34,2025-02-19 11:15:00+05:30,236.95,237.6,236.4,237.4,466197
35,2025-02-19 12:15:00+05:30,237.4,237.75,235.85,236.7,553800
36,2025-02-19 13:15:00+05:30,236.65,238.5,236.4,238.5,742660
