,date,open,high,low,close,volume
0,2024-08-12 00:00:00+05:30,331.8,336.8,330.2,333.4,12253716
1,2024-08-13 00:00:00+05:30,331.95,332.75,321.0,321.7,9757429
2,2024-08-14 00:00:00+05:30,321.7,327.45,320.65,325.05,8457477
3,2024-08-16 00:00:00+05:30,326.05,333.8,326.05,332.5,8214443
4,2024-08-19 00:00:00+05:30,337.8,345.55,336.35,343.8,17875728
5,2024-08-20 00:00:00+05:30,348.95,354.1,347.4,349.4,22888866
6,2024-08-21 00:00:00+05:30,349.35,355.6,348.15,351.2,14795459
7,2024-08-22 00:00:00+05:30,354.6,355.1,348.55,350.1,10244576
8,2024-08-23 00:00:00+05:30,349.8,358.0,349.55,352.2,15872017
9,2024-08-26 00:00:00+05:30,355.45,355.9,349.0,351.15,6672007
10,2024-08-27 00:00:00+05:30,348.0,350.75,343.5,349.05,9683173
11,2024-08-28 00:00:00+05:30,348.5,355.75,346.65,348.15,7295981
12,2024-08-29 00:00:00+05:30,349.8,357.55,347.15,356.45,13054801
13,2024-08-30 00:00:00+05:30,359.95,365.5,354.75,357.65,20312502
14,2024-09-02 00:00:00+05:30,361.0,367.2,357.5,358.45,14344785
15,2024-09-03 00:00:00+05:30,359.5,359.7,353.5,355.4,9289259
16,2024-09-04 00:00:00+05:30,355.4,363.95,354.65,357.25,19416507
17,2024-09-05 00:00:00+05:30,359.5,364.35,355.75,360.7,15927510
18,2024-09-06 00:00:00+05:30,362.35,365.25,351.05,352.15,19044553
19,2024-09-09 00:00:00+05:30,352.1,353.55,347.1,347.8,9200270
20,2024-09-10 00:00:00+05:30,349.0,351.5,344.65,345.95,8137710
21,2024-09-11 00:00:00+05:30,349.95,352.8,338.55,340.25,12194591
22,2024-09-12 00:00:00+05:30,343.45,346.2,340.4,344.3,15970391
23,2024-09-13 00:00:00+05:30,346.0,349.75,341.65,342.3,11006109
24,2024-09-16 00:00:00+05:30,344.9,344.9,340.0,340.65,4850244
25,2024-09-17 00:00:00+05:30,339.95,340.85,335.05,338.4,7237522
26,2024-09-18 00:00:00+05:30,339.0,339.9,334.45,336.1,4111826
27,2024-09-19 00:00:00+05:30,337.95,337.95,322.95,324.45,12549677
28,2024-09-20 00:00:00+05:30,326.45,333.1,324.45,331.2,14642546
29,2024-09-23 00:00:00+05:30,333.0,339.5,331.3,338.1,6110287
30,2024-09-24 00:00:00+05:30,338.55,343.2,336.7,339.15,7068491
31,2024-09-25 00:00:00+05:30,341.0,341.8,335.15,339.8,6087353
32,2024-09-26 00:00:00+05:30,340.0,346.95,335.15,345.1,9517367
33,2024-09-27 00:00:00+05:30,347.0,370.5,346.35,367.3,40756678
34,2024-09-30 00:00:00+05:30,367.15,376.0,360.15,369.95,23860696
35,2024-10-01 00:00:00+05:30,370.0,373.35,364.15,368.25,9440793
36,2024-10-03 00:00:00+05:30,353.75,361.6,347.0,348.85,20754875
37,2024-10-04 00:00:00+05:30,342.5,347.95,334.35,340.25,18185208
38,2024-10-07 00:00:00+05:30,342.0,343.3,332.8,335.0,7847806
39,2024-10-08 00:00:00+05:30,331.5,339.45,328.25,338.0,9565667
40,2024-10-09 00:00:00+05:30,345.0,350.0,337.75,338.85,13523561
41,2024-10-10 00:00:00+05:30,342.0,343.3,334.55,335.45,5706365
42,2024-10-11 00:00:00+05:30,335.45,339.4,334.0,337.65,4046559
43,2024-10-14 00:00:00+05:30,340.0,344.6,337.25,340.75,7967181
44,2024-10-15 00:00:00+05:30,344.2,351.5,343.9,348.75,17183945
45,2024-10-16 00:00:00+05:30,352.0,355.9,348.05,350.75,17073700
46,2024-10-17 00:00:00+05:30,349.15,350.6,341.85,342.7,11023063
47,2024-10-18 00:00:00+05:30,342.7,343.9,334.3,342.5,7328694
48,2024-10-21 00:00:00+05:30,342.55,345.5,330.2,331.65,8609636
49,2024-10-22 00:00:00+05:30,332.0,332.55,322.0,322.9,6372285
50,2024-10-23 00:00:00+05:30,322.0,325.85,316.55,323.05,6639274
51,2024-10-24 00:00:00+05:30,323.0,325.4,320.0,321.45,5706821
52,2024-10-25 00:00:00+05:30,323.45,323.6,303.1,306.3,11583887
53,2024-10-28 00:00:00+05:30,307.3,315.5,305.3,310.4,13299872
54,2024-10-29 00:00:00+05:30,312.0,312.95,302.25,311.45,8437903
55,2024-10-30 00:00:00+05:30,309.0,314.9,307.35,311.3,6248318
56,2024-10-31 00:00:00+05:30,310.5,316.2,307.8,310.75,11375689
57,2024-11-01 00:00:00+05:30,311.95,313.85,311.8,313.0,710149
58,2024-11-04 00:00:00+05:30,313.0,313.5,298.1,303.45,14063318
59,2024-11-05 00:00:00+05:30,301.0,309.05,300.2,307.95,9542018
60,2024-11-06 00:00:00+05:30,311.8,319.0,307.25,317.0,10787602
61,2024-11-07 00:00:00+05:30,316.35,317.7,311.1,315.0,7387875
62,2024-11-08 00:00:00+05:30,315.0,315.1,306.8,310.45,9304376
63,2024-11-11 00:00:00+05:30,308.0,314.0,304.05,312.55,5277147
64,2024-11-12 00:00:00+05:30,314.1,318.55,309.05,309.8,7192998
65,2024-11-13 00:00:00+05:30,307.95,309.0,302.0,305.85,7306795
66,2024-11-14 00:00:00+05:30,305.8,306.0,296.4,298.2,11061057
67,2024-11-18 00:00:00+05:30,298.15,299.65,288.3,289.2,7940666
68,2024-11-19 00:00:00+05:30,292.65,297.9,286.5,287.5,9912544
69,2024-11-21 00:00:00+05:30,287.45,287.45,279.35,282.4,8273120
70,2024-11-22 00:00:00+05:30,282.6,287.0,281.05,285.85,6539977
71,2024-11-25 00:00:00+05:30,292.05,304.4,292.0,296.55,16903527
72,2024-11-26 00:00:00+05:30,297.95,301.0,293.35,293.85,5160007
73,2024-11-27 00:00:00+05:30,296.95,297.0,291.05,293.45,5995425
74,2024-11-28 00:00:00+05:30,294.45,298.75,289.5,290.95,13130411
75,2024-11-29 00:00:00+05:30,292.4,294.25,289.4,292.1,8125467
76,2024-12-02 00:00:00+05:30,292.65,295.9,290.5,294.15,5193026
77,2024-12-03 00:00:00+05:30,297.5,297.8,292.05,294.25,9198285
78,2024-12-04 00:00:00+05:30,294.2,299.55,292.85,293.65,9840659
79,2024-12-05 00:00:00+05:30,295.1,298.25,291.3,297.0,9287638
80,2024-12-06 00:00:00+05:30,297.9,303.9,296.4,300.35,9586531
81,2024-12-09 00:00:00+05:30,300.95,304.2,299.1,303.45,11637358
82,2024-12-10 00:00:00+05:30,302.3,306.7,300.85,303.5,8649367
83,2024-12-11 00:00:00+05:30,303.45,308.95,302.1,307.45,10867782
84,2024-12-12 00:00:00+05:30,307.05,307.45,301.3,302.15,7454904
85,2024-12-13 00:00:00+05:30,302.0,305.15,296.0,301.7,7726611
86,2024-12-16 00:00:00+05:30,300.95,301.7,295.8,297.95,8696443
87,2024-12-17 00:00:00+05:30,299.85,299.85,292.1,293.0,8415828
88,2024-12-18 00:00:00+05:30,291.75,293.0,287.65,288.3,6535229
