,date,open,high,low,close,volume
0,2025-06-12 14:00:00+05:30,11374,11374,11330,11330,2712
1,2025-06-12 14:05:00+05:30,11330,11337,11316,11319,1858
2,2025-06-12 14:10:00+05:30,11317,11329,11315,11325,1636
3,2025-06-12 14:15:00+05:30,11320,11340,11318,11339,1126
4,2025-06-12 14:20:00+05:30,11340,11354,11330,11337,2931
5,2025-06-12 14:25:00+05:30,11337,11337,11315,11327,853
6,2025-06-12 14:30:00+05:30,11327,11338,11325,11334,3591
7,2025-06-12 14:35:00+05:30,11337,11337,11320,11321,3130
8,2025-06-12 14:40:00+05:30,11320,11337,11320,11331,1613
9,2025-06-12 14:45:00+05:30,11331,11333,11320,11322,1397
10,2025-06-12 14:50:00+05:30,11325,11325,11290,11305,4177
11,2025-06-12 14:55:00+05:30,11303,11318,11298,11317,6110
12,2025-06-12 15:00:00+05:30,11317,11335,11313,11334,12574
13,2025-06-12 15:05:00+05:30,11331,11340,11325,11340,19204
14,2025-06-12 15:10:00+05:30,11337,11345,11318,11321,11160
15,2025-06-12 15:15:00+05:30,11321,11321,11308,11318,7048
16,2025-06-12 15:20:00+05:30,11321,11334,11305,11313,5830
17,2025-06-12 15:25:00+05:30,11314,11314,11280,11299,5782
18,2025-06-13 09:15:00+05:30,11111,11170,11018,11136,8560
19,2025-06-13 09:20:00+05:30,11150,11165,11135,11139,7345
20,2025-06-13 09:25:00+05:30,11138,11155,11138,11141,6942
21,2025-06-13 09:30:00+05:30,11138,11140,11120,11120,2876
22,2025-06-13 09:35:00+05:30,11125,11140,11122,11132,1471
23,2025-06-13 09:40:00+05:30,11125,11137,11122,11129,1587
24,2025-06-13 09:45:00+05:30,11129,11130,11103,11109,4533
25,2025-06-13 09:50:00+05:30,11110,11132,11110,11126,2589
26,2025-06-13 09:55:00+05:30,11138,11151,11137,11150,1717
27,2025-06-13 10:00:00+05:30,11150,11151,11126,11131,3995
28,2025-06-13 10:05:00+05:30,11134,11144,11131,11140,834
29,2025-06-13 10:10:00+05:30,11140,11150,11137,11137,1443
30,2025-06-13 10:15:00+05:30,11141,11141,11125,11128,826
31,2025-06-13 10:20:00+05:30,11128,11133,11119,11130,946
32,2025-06-13 10:25:00+05:30,11130,11130,11125,11129,961
33,2025-06-13 10:30:00+05:30,11130,11136,11125,11127,4618
34,2025-06-13 10:35:00+05:30,11127,11135,11122,11130,5252
35,2025-06-13 10:40:00+05:30,11130,11158,11128,11154,3702
36,2025-06-13 10:45:00+05:30,11154,11154,11143,11145,2591
37,2025-06-13 10:50:00+05:30,11148,11152,11143,11143,3722
38,2025-06-13 10:55:00+05:30,11145,11145,11126,11135,1155
39,2025-06-13 11:00:00+05:30,11136,11140,11125,11132,988
40,2025-06-13 11:05:00+05:30,11135,11144,11125,11127,1385
41,2025-06-13 11:10:00+05:30,11127,11132,11122,11130,846
42,2025-06-13 11:15:00+05:30,11130,11133,11120,11125,854
43,2025-06-13 11:20:00+05:30,11125,11132,11123,11127,768
