,date,open,high,low,close,volume
0,2021-08-06 00:00:00+05:30,43.75,44.6,42.75,43.35,239282
1,2021-08-09 00:00:00+05:30,44.1,44.1,41.0,41.35,92693
2,2021-08-10 00:00:00+05:30,41.1,42.9,38.0,39.95,133733
3,2021-08-11 00:00:00+05:30,42.3,42.7,36.3,39.55,186461
4,2021-08-12 00:00:00+05:30,40.4,42.0,39.45,40.95,61802
5,2021-08-13 00:00:00+05:30,41.75,43.2,39.5,41.85,157450
6,2021-08-16 00:00:00+05:30,41.05,42.5,39.1,39.8,63869
7,2021-08-17 00:00:00+05:30,41.0,41.0,38.25,38.8,61438
8,2021-08-18 00:00:00+05:30,38.05,38.9,37.45,37.9,57220
9,2021-08-20 00:00:00+05:30,37.9,37.9,36.55,37.15,39614
10,2021-08-23 00:00:00+05:30,37.15,39.0,31.15,35.8,73751
11,2021-08-24 00:00:00+05:30,35.8,39.7,35.8,38.9,101363
12,2021-08-25 00:00:00+05:30,39.0,41.1,38.05,39.95,55835
13,2021-08-26 00:00:00+05:30,40.75,40.75,38.25,38.75,21408
14,2021-08-27 00:00:00+05:30,39.0,39.0,37.5,37.95,30856
15,2021-08-30 00:00:00+05:30,37.8,38.8,37.05,37.75,26746
16,2021-08-31 00:00:00+05:30,38.0,38.95,37.25,37.5,28341
17,2021-09-01 00:00:00+05:30,38.25,38.25,36.95,37.2,27923
18,2021-09-02 00:00:00+05:30,37.0,37.8,36.25,37.2,35337
19,2021-09-03 00:00:00+05:30,37.2,37.9,36.7,37.3,29045
20,2021-09-06 00:00:00+05:30,37.7,38.35,37.1,38.0,51906
21,2021-09-07 00:00:00+05:30,38.4,38.9,37.55,37.7,26658
22,2021-09-08 00:00:00+05:30,37.0,37.8,37.0,37.15,27718
23,2021-09-09 00:00:00+05:30,37.0,38.05,37.0,37.3,40448
24,2021-09-13 00:00:00+05:30,37.5,37.75,36.95,37.45,39091
25,2021-09-14 00:00:00+05:30,37.3,41.0,36.95,37.85,110514
26,2021-09-15 00:00:00+05:30,37.95,38.7,37.5,37.8,37581
27,2021-09-16 00:00:00+05:30,37.55,38.15,37.5,37.65,15694
28,2021-09-17 00:00:00+05:30,38.5,38.5,36.3,37.05,38424
29,2021-09-20 00:00:00+05:30,36.8,37.65,36.1,36.25,37297
30,2021-09-21 00:00:00+05:30,37.0,37.0,35.2,35.85,36159
31,2021-09-22 00:00:00+05:30,36.8,36.8,35.3,36.25,26275
32,2021-09-23 00:00:00+05:30,36.5,36.85,35.65,36.05,31534
33,2021-09-24 00:00:00+05:30,36.6,36.6,35.55,36.4,19554
34,2021-09-27 00:00:00+05:30,36.75,36.9,35.85,36.2,29653
35,2021-09-28 00:00:00+05:30,36.0,36.85,35.5,35.8,41718
36,2021-09-29 00:00:00+05:30,35.2,37.75,35.2,37.2,28582
37,2021-09-30 00:00:00+05:30,37.4,37.5,36.0,36.2,54174
38,2021-10-01 00:00:00+05:30,36.6,37.35,36.05,36.3,29822
39,2021-10-04 00:00:00+05:30,37.0,38.5,36.1,37.4,59102
40,2021-10-05 00:00:00+05:30,37.95,38.0,36.6,37.5,64654
41,2021-10-06 00:00:00+05:30,37.5,37.9,36.5,36.7,37429
42,2021-10-07 00:00:00+05:30,37.0,37.8,36.9,37.0,39068
43,2021-10-08 00:00:00+05:30,37.5,37.6,36.5,36.85,40770
44,2021-10-11 00:00:00+05:30,37.45,37.45,36.6,36.85,29961
45,2021-10-12 00:00:00+05:30,37.3,37.3,36.5,36.6,28359
46,2021-10-13 00:00:00+05:30,36.65,38.5,36.3,37.1,133321
47,2021-10-14 00:00:00+05:30,37.1,39.6,37.0,37.2,86565
48,2021-10-18 00:00:00+05:30,38.0,38.0,32.4,35.15,113818
49,2021-10-19 00:00:00+05:30,36.35,36.7,35.0,35.35,29430
50,2021-10-20 00:00:00+05:30,35.95,35.95,34.65,34.95,33712
51,2021-10-21 00:00:00+05:30,34.2,35.85,32.7,33.85,35770
52,2021-10-22 00:00:00+05:30,35.45,35.45,33.9,34.6,16746
53,2021-10-25 00:00:00+05:30,34.6,34.95,33.35,33.8,26430
54,2021-10-26 00:00:00+05:30,33.8,34.65,33.05,34.0,48969
55,2021-10-27 00:00:00+05:30,33.4,34.35,33.4,33.85,36978
56,2021-10-28 00:00:00+05:30,33.85,34.2,33.2,33.45,17579
57,2021-10-29 00:00:00+05:30,33.2,33.8,32.65,32.9,30492
58,2021-11-01 00:00:00+05:30,33.85,33.85,33.1,33.55,15930
59,2021-11-02 00:00:00+05:30,32.75,33.8,32.6,32.75,38979
60,2021-11-03 00:00:00+05:30,33.4,33.75,32.2,33.15,21154
61,2021-11-04 00:00:00+05:30,34.9,34.9,32.85,33.45,7965
62,2021-11-08 00:00:00+05:30,33.5,39.45,33.3,38.7,264571
63,2021-11-09 00:00:00+05:30,39.25,39.25,36.35,36.85,75707
64,2021-11-10 00:00:00+05:30,37.8,37.95,36.35,36.95,65236
65,2021-11-11 00:00:00+05:30,37.4,37.4,36.4,36.6,21651
66,2021-11-12 00:00:00+05:30,37.2,37.75,35.1,36.65,56045
67,2021-11-15 00:00:00+05:30,36.65,37.9,36.1,37.0,67078
68,2021-11-16 00:00:00+05:30,37.25,38.5,35.0,36.6,77440
69,2021-11-17 00:00:00+05:30,36.05,36.85,35.5,35.75,38058
70,2021-11-18 00:00:00+05:30,35.9,35.95,34.5,34.95,30760
71,2021-11-22 00:00:00+05:30,37.0,37.0,31.65,33.65,41608
72,2021-11-23 00:00:00+05:30,34.5,36.7,32.5,35.6,48878
73,2021-11-24 00:00:00+05:30,35.8,36.4,34.15,34.95,41968
74,2021-11-25 00:00:00+05:30,36.85,36.85,35.0,35.5,49264
75,2021-11-26 00:00:00+05:30,35.05,37.75,34.75,36.95,91771
76,2021-11-29 00:00:00+05:30,37.9,37.9,34.05,34.75,83590
77,2021-11-30 00:00:00+05:30,35.45,35.6,33.6,33.85,53961
78,2021-12-01 00:00:00+05:30,35.8,35.8,33.5,33.85,34810
79,2021-12-02 00:00:00+05:30,34.85,37.1,34.15,35.35,23038
80,2021-12-03 00:00:00+05:30,36.15,39.2,35.5,37.55,203041
81,2021-12-06 00:00:00+05:30,38.65,41.6,37.5,39.35,388211
82,2021-12-07 00:00:00+05:30,41.25,41.25,38.25,39.65,153556
83,2021-12-08 00:00:00+05:30,40.9,40.9,38.1,38.3,129167
84,2021-12-09 00:00:00+05:30,38.1,39.0,37.6,38.65,66972
85,2021-12-10 00:00:00+05:30,39.6,39.6,38.4,38.85,39042
86,2021-12-13 00:00:00+05:30,38.9,40.15,38.4,38.75,36194
87,2021-12-14 00:00:00+05:30,38.95,40.7,38.5,39.9,163875
88,2021-12-15 00:00:00+05:30,40.9,41.3,39.75,40.0,100280
89,2021-12-16 00:00:00+05:30,40.7,42.1,39.0,39.65,137245
90,2021-12-17 00:00:00+05:30,40.45,40.45,34.5,38.05,135309
91,2021-12-20 00:00:00+05:30,37.9,38.0,36.2,37.7,65344
92,2021-12-21 00:00:00+05:30,36.85,38.9,36.85,38.45,66972
93,2021-12-22 00:00:00+05:30,39.0,39.95,38.0,39.2,43386
94,2021-12-23 00:00:00+05:30,39.7,39.95,39.1,39.25,34770
95,2021-12-24 00:00:00+05:30,39.95,39.95,38.7,39.6,40725
96,2021-12-27 00:00:00+05:30,39.6,40.85,38.0,40.25,48133
97,2021-12-28 00:00:00+05:30,40.85,43.1,40.1,41.65,190612
98,2021-12-29 00:00:00+05:30,42.25,44.05,41.7,43.5,335176
99,2021-12-30 00:00:00+05:30,44.15,44.15,42.55,42.65,77481
100,2021-12-31 00:00:00+05:30,42.65,43.5,42.1,42.95,71475
101,2022-01-03 00:00:00+05:30,43.6,47.1,42.45,46.45,515007
102,2022-01-04 00:00:00+05:30,47.8,55.7,46.0,55.7,1727424
103,2022-01-05 00:00:00+05:30,56.0,58.9,53.0,53.8,1318934
104,2022-01-06 00:00:00+05:30,54.4,56.6,53.5,55.6,363696
105,2022-01-07 00:00:00+05:30,57.75,57.75,54.1,54.6,323288
106,2022-01-10 00:00:00+05:30,55.3,55.3,53.4,54.0,232099
107,2022-01-11 00:00:00+05:30,54.4,55.6,52.5,53.05,216180
108,2022-01-12 00:00:00+05:30,53.0,54.4,50.4,51.25,225473
109,2022-01-13 00:00:00+05:30,52.7,54.15,51.25,52.8,186337
110,2022-01-14 00:00:00+05:30,52.8,55.2,52.05,54.2,173635
111,2022-01-17 00:00:00+05:30,54.9,54.9,53.4,54.05,104796
112,2022-01-18 00:00:00+05:30,54.2,59.9,53.7,56.35,648102
113,2022-01-19 00:00:00+05:30,56.25,63.7,56.1,60.85,1086598
114,2022-01-20 00:00:00+05:30,61.85,64.35,60.45,61.25,753074
115,2022-01-21 00:00:00+05:30,61.95,61.95,56.25,57.85,147506
116,2022-01-24 00:00:00+05:30,56.8,57.25,49.2,53.8,511432
117,2022-01-25 00:00:00+05:30,52.75,56.85,50.1,54.5,293157
118,2022-01-27 00:00:00+05:30,54.2,55.55,50.1,54.55,107337
119,2022-01-28 00:00:00+05:30,55.5,55.5,50.0,51.1,255241
120,2022-01-31 00:00:00+05:30,53.5,53.5,51.05,51.75,98236
121,2022-02-01 00:00:00+05:30,52.95,52.95,50.6,51.6,94098
122,2022-02-02 00:00:00+05:30,51.4,53.85,51.0,52.5,110319
123,2022-02-03 00:00:00+05:30,53.8,53.8,52.1,52.55,67726
124,2022-02-04 00:00:00+05:30,52.4,54.9,52.15,53.15,66752
125,2022-02-07 00:00:00+05:30,53.5,62.0,53.0,54.2,128628
126,2022-02-08 00:00:00+05:30,55.0,55.65,49.25,50.4,248318
127,2022-02-09 00:00:00+05:30,50.9,51.4,48.1,48.3,167296
128,2022-02-10 00:00:00+05:30,49.3,49.8,48.5,49.2,60929
129,2022-02-11 00:00:00+05:30,48.9,52.5,48.4,49.25,193232
130,2022-02-14 00:00:00+05:30,49.0,50.65,45.0,45.9,109371
131,2022-02-15 00:00:00+05:30,45.8,47.8,42.8,46.35,92982
132,2022-02-16 00:00:00+05:30,46.95,47.3,43.75,44.4,142129
133,2022-02-17 00:00:00+05:30,44.4,45.9,44.3,44.55,55830
134,2022-02-18 00:00:00+05:30,45.4,45.4,43.2,44.0,63444
135,2022-02-21 00:00:00+05:30,43.3,44.8,42.7,42.8,37986
136,2022-02-22 00:00:00+05:30,40.45,41.9,39.1,40.2,95346
137,2022-02-23 00:00:00+05:30,40.25,42.0,40.25,41.3,47768
138,2022-02-24 00:00:00+05:30,40.0,41.0,36.5,37.3,92887
139,2022-02-25 00:00:00+05:30,39.5,41.0,38.5,40.35,59192
140,2022-02-28 00:00:00+05:30,40.7,47.7,38.25,43.95,110473
141,2022-03-02 00:00:00+05:30,43.0,45.9,42.65,44.75,72654
142,2022-03-03 00:00:00+05:30,45.85,46.3,43.05,43.75,67003
143,2022-03-04 00:00:00+05:30,43.0,45.25,42.9,43.55,39406
144,2022-03-07 00:00:00+05:30,43.1,44.3,42.0,43.0,28619
145,2022-03-08 00:00:00+05:30,43.45,43.9,35.65,42.3,79662
146,2022-03-09 00:00:00+05:30,42.9,44.1,42.35,43.7,50577
147,2022-03-10 00:00:00+05:30,45.0,45.0,41.1,42.3,93430
148,2022-03-11 00:00:00+05:30,43.2,44.2,42.4,43.85,31740
149,2022-03-14 00:00:00+05:30,43.95,44.9,41.55,44.05,33872
150,2022-03-15 00:00:00+05:30,44.35,44.7,43.0,43.15,20866
151,2022-03-16 00:00:00+05:30,43.8,44.1,43.15,43.55,27715
152,2022-03-17 00:00:00+05:30,44.6,45.0,40.15,41.9,78867
153,2022-03-21 00:00:00+05:30,42.8,44.85,42.2,42.8,27183
154,2022-03-22 00:00:00+05:30,44.35,44.35,41.65,42.7,59480
155,2022-03-23 00:00:00+05:30,43.35,43.65,41.65,42.3,56957
156,2022-03-24 00:00:00+05:30,42.3,43.4,42.3,42.75,36291
157,2022-03-25 00:00:00+05:30,42.3,44.0,41.45,42.55,51331
158,2022-03-28 00:00:00+05:30,42.0,42.5,40.65,41.35,50578
159,2022-03-29 00:00:00+05:30,42.8,42.8,40.25,41.0,44509
160,2022-03-30 00:00:00+05:30,42.25,42.25,41.05,41.7,36981
161,2022-03-31 00:00:00+05:30,42.25,42.25,41.15,41.45,36877
162,2022-04-01 00:00:00+05:30,42.5,43.65,41.25,42.95,57816
163,2022-04-04 00:00:00+05:30,43.5,51.25,43.05,45.6,447606
164,2022-04-05 00:00:00+05:30,45.95,47.45,44.25,44.85,286091
165,2022-04-06 00:00:00+05:30,44.65,46.35,44.65,45.7,155935
166,2022-04-07 00:00:00+05:30,46.4,47.7,45.15,45.75,108797
167,2022-04-08 00:00:00+05:30,46.0,47.4,45.35,46.6,77942
168,2022-04-11 00:00:00+05:30,47.9,49.0,43.7,46.25,139066
169,2022-04-12 00:00:00+05:30,46.25,47.7,45.8,46.15,52043
170,2022-04-13 00:00:00+05:30,46.7,47.3,46.0,46.4,56791
171,2022-04-18 00:00:00+05:30,47.0,47.4,45.0,45.25,46388
172,2022-04-19 00:00:00+05:30,45.85,48.0,45.4,46.15,89407
173,2022-04-20 00:00:00+05:30,45.4,46.9,45.4,45.75,34776
174,2022-04-21 00:00:00+05:30,46.3,47.0,45.6,46.25,39263
175,2022-04-22 00:00:00+05:30,46.15,46.5,45.45,45.8,38354
176,2022-04-25 00:00:00+05:30,44.8,45.9,43.25,44.25,32339
177,2022-04-26 00:00:00+05:30,44.85,45.5,43.75,43.8,46068
178,2022-04-27 00:00:00+05:30,43.8,43.95,42.3,42.9,22215
179,2022-04-28 00:00:00+05:30,43.4,43.5,42.95,43.15,10896
180,2022-04-29 00:00:00+05:30,43.65,43.65,41.65,42.4,17708
181,2022-05-02 00:00:00+05:30,42.0,42.35,40.95,41.7,34632
182,2022-05-04 00:00:00+05:30,41.75,42.75,41.05,41.95,12252
183,2022-05-05 00:00:00+05:30,41.6,42.9,41.1,41.2,20222
184,2022-05-06 00:00:00+05:30,40.5,41.5,39.35,40.2,36048
185,2022-05-09 00:00:00+05:30,40.75,40.75,38.7,39.35,15384
186,2022-05-10 00:00:00+05:30,38.65,39.85,38.3,38.8,14373
187,2022-05-11 00:00:00+05:30,38.8,39.3,36.0,37.35,38194
188,2022-05-12 00:00:00+05:30,36.5,38.0,35.05,36.2,58949
189,2022-05-13 00:00:00+05:30,36.2,38.4,36.2,37.3,31359
190,2022-05-16 00:00:00+05:30,39.4,43.0,38.5,40.85,199879
191,2022-05-17 00:00:00+05:30,41.45,43.3,41.15,42.2,27120
192,2022-05-18 00:00:00+05:30,43.2,45.0,41.25,41.6,49657
193,2022-05-19 00:00:00+05:30,39.8,41.6,39.5,39.65,36232
194,2022-05-20 00:00:00+05:30,40.15,42.3,39.6,40.0,36021
195,2022-05-23 00:00:00+05:30,40.0,40.55,38.75,39.3,25226
196,2022-05-24 00:00:00+05:30,39.75,39.75,36.8,37.25,71991
197,2022-05-25 00:00:00+05:30,37.35,38.25,35.55,35.8,28979
198,2022-05-26 00:00:00+05:30,36.25,37.35,33.7,34.75,52102
199,2022-05-27 00:00:00+05:30,35.25,36.7,34.7,35.6,30355
200,2022-05-30 00:00:00+05:30,36.0,37.9,35.6,37.5,40875
201,2022-05-31 00:00:00+05:30,36.0,36.3,34.5,35.55,82199
202,2022-06-01 00:00:00+05:30,36.05,36.45,34.3,35.4,40372
203,2022-06-02 00:00:00+05:30,35.4,35.95,34.65,35.7,22579
204,2022-06-03 00:00:00+05:30,36.1,37.0,35.1,35.3,28013
205,2022-06-06 00:00:00+05:30,35.65,35.65,34.65,35.2,13959
