,date,open,high,low,close,volume
0,2025-06-02 09:15:00+05:30,625.0,627.3,617.3,617.3,17464
1,2025-06-02 09:30:00+05:30,617.8,628.7,617.8,623.8,11475
2,2025-06-02 09:45:00+05:30,623.8,626.15,622.2,626.15,2500
3,2025-06-02 10:00:00+05:30,626.15,626.5,624.45,625.0,5781
4,2025-06-02 10:15:00+05:30,625.0,625.1,623.5,624.6,3146
5,2025-06-02 10:30:00+05:30,624.6,625.2,624.4,624.6,3000
6,2025-06-02 10:45:00+05:30,624.6,624.9,624.35,624.6,10318
7,2025-06-02 11:00:00+05:30,624.6,625.0,623.5,623.55,10218
8,2025-06-02 11:15:00+05:30,623.55,624.15,623.2,623.55,7397
9,2025-06-02 11:30:00+05:30,623.55,623.55,620.45,621.8,2503
10,2025-06-02 11:45:00+05:30,621.8,623.6,621.6,623.0,570
11,2025-06-02 12:00:00+05:30,623.0,623.65,622.45,622.65,3855
12,2025-06-02 12:15:00+05:30,622.65,622.65,616.0,620.35,17037
13,2025-06-02 12:30:00+05:30,620.35,622.75,620.3,622.4,3528
14,2025-06-02 12:45:00+05:30,622.4,622.4,620.85,621.15,2676
15,2025-06-02 13:00:00+05:30,621.15,621.85,620.7,621.8,761
16,2025-06-02 13:15:00+05:30,621.8,622.95,621.55,622.75,1323
17,2025-06-02 13:30:00+05:30,622.75,622.8,621.7,622.45,67481
18,2025-06-02 13:45:00+05:30,622.45,624.0,622.0,623.25,3425
19,2025-06-02 14:00:00+05:30,623.25,623.25,620.4,620.9,15099
20,2025-06-02 14:15:00+05:30,620.9,621.3,620.6,621.0,468
21,2025-06-02 14:30:00+05:30,621.0,621.0,618.25,618.85,3343
22,2025-06-02 14:45:00+05:30,618.85,624.05,615.2,618.65,13880
23,2025-06-02 15:00:00+05:30,618.65,619.95,617.1,617.4,5046
24,2025-06-02 15:15:00+05:30,617.4,617.7,614.0,614.8,18588
25,2025-06-03 09:15:00+05:30,621.0,621.9,616.95,618.9,7115
26,2025-06-03 09:30:00+05:30,619.45,621.0,618.8,620.95,1229
27,2025-06-03 09:45:00+05:30,620.95,624.8,619.55,622.6,3516
28,2025-06-03 10:00:00+05:30,623.05,624.95,622.25,624.5,3160
29,2025-06-03 10:15:00+05:30,624.5,624.5,622.1,622.7,720
30,2025-06-03 10:30:00+05:30,622.7,624.65,622.05,623.4,2490
31,2025-06-03 10:45:00+05:30,623.4,624.9,623.1,624.4,2157
32,2025-06-03 11:00:00+05:30,624.35,625.7,623.7,624.4,3374
33,2025-06-03 11:15:00+05:30,624.4,625.0,623.1,623.7,1672
34,2025-06-03 11:30:00+05:30,624.35,625.3,623.25,624.35,3361
35,2025-06-03 11:45:00+05:30,624.35,624.35,623.05,623.75,321
36,2025-06-03 12:00:00+05:30,623.75,624.35,623.2,623.85,561
37,2025-06-03 12:15:00+05:30,623.85,624.05,623.05,623.8,355
38,2025-06-03 12:30:00+05:30,623.8,623.8,623.1,623.7,160
39,2025-06-03 12:45:00+05:30,623.7,623.8,622.6,623.0,1115
40,2025-06-03 13:00:00+05:30,623.0,623.2,622.2,623.2,1368
41,2025-06-03 13:15:00+05:30,623.2,623.5,622.2,623.5,833
42,2025-06-03 13:30:00+05:30,623.5,624.75,622.7,624.1,943
