,date,open,high,low,close,volume
0,2025-06-27 00:00:00+05:30,75.0,75.0,71.25,71.25,516800
1,2025-06-30 00:00:00+05:30,69.5,69.5,67.7,68.1,105600
2,2025-07-01 00:00:00+05:30,65.7,67.9,64.75,67.85,86400
3,2025-07-02 00:00:00+05:30,67.85,68.75,64.5,65.05,40000
4,2025-07-03 00:00:00+05:30,63.75,66.2,62.0,64.75,28800
5,2025-07-04 00:00:00+05:30,63.25,63.25,62.2,63.0,27200
6,2025-07-07 00:00:00+05:30,64.0,66.15,63.0,66.15,32000
7,2025-07-08 00:00:00+05:30,66.15,69.45,66.15,69.45,43200
8,2025-07-09 00:00:00+05:30,72.8,72.9,70.25,71.75,118400
9,2025-07-10 00:00:00+05:30,71.85,75.1,71.85,73.8,94400
10,2025-07-11 00:00:00+05:30,74.5,80.2,74.5,78.55,344000
11,2025-07-14 00:00:00+05:30,80.5,81.0,76.6,79.25,147200
12,2025-07-15 00:00:00+05:30,78.55,81.4,78.0,78.25,104000
13,2025-07-16 00:00:00+05:30,78.25,79.8,75.25,75.35,107200
14,2025-07-17 00:00:00+05:30,75.35,90.4,74.0,89.75,465600
15,2025-07-18 00:00:00+05:30,91.5,99.95,91.5,95.75,473600
16,2025-07-21 00:00:00+05:30,98.0,105.0,97.8,101.35,249600
17,2025-07-22 00:00:00+05:30,100.25,101.8,92.65,94.65,270400
18,2025-07-23 00:00:00+05:30,95.0,95.0,87.3,92.4,232000
19,2025-07-24 00:00:00+05:30,94.35,95.15,88.5,89.45,59200
20,2025-07-25 00:00:00+05:30,89.1,90.25,84.0,90.1,148800
21,2025-07-28 00:00:00+05:30,90.0,97.95,90.0,90.55,153600
22,2025-07-29 00:00:00+05:30,90.55,90.55,75.0,86.4,131200
23,2025-07-30 00:00:00+05:30,85.4,89.0,83.0,87.1,110400
24,2025-07-31 00:00:00+05:30,87.1,87.45,82.05,86.3,76800
25,2025-08-01 00:00:00+05:30,84.0,86.95,84.0,84.25,32000
26,2025-08-04 00:00:00+05:30,82.25,91.5,82.25,90.75,67200
27,2025-08-05 00:00:00+05:30,92.55,92.55,85.55,86.35,22400
28,2025-08-06 00:00:00+05:30,86.2,86.2,83.3,85.0,35200
29,2025-08-07 00:00:00+05:30,85.0,86.7,84.7,85.0,14400
30,2025-08-08 00:00:00+05:30,83.55,84.15,82.5,83.5,11200
31,2025-08-11 00:00:00+05:30,83.0,83.0,79.5,80.0,78400
32,2025-08-12 00:00:00+05:30,79.3,82.05,78.55,82.0,48000
33,2025-08-13 00:00:00+05:30,83.95,89.55,83.9,87.6,44800
34,2025-08-14 00:00:00+05:30,89.4,94.8,88.95,93.9,100800
35,2025-08-18 00:00:00+05:30,96.0,98.8,96.0,97.95,102400
36,2025-08-19 00:00:00+05:30,96.25,97.05,94.2,94.6,40000
37,2025-08-20 00:00:00+05:30,94.6,96.1,93.05,93.6,40000
38,2025-08-21 00:00:00+05:30,91.1,95.4,91.1,95.15,20800
39,2025-08-22 00:00:00+05:30,93.15,94.3,89.0,93.1,86400
40,2025-08-25 00:00:00+05:30,90.55,94.8,88.3,90.15,32000
41,2025-08-26 00:00:00+05:30,84.5,91.95,84.5,88.7,25600
42,2025-08-28 00:00:00+05:30,88.55,92.9,88.55,90.9,16000
43,2025-08-29 00:00:00+05:30,90.9,90.95,88.25,89.5,22400
