,date,open,high,low,close,volume
0,2025-07-02 09:15:00+05:30,622.45,626.35,622.45,624.5,3174
1,2025-07-02 09:20:00+05:30,624.5,625.75,623.35,624.7,2102
2,2025-07-02 09:25:00+05:30,624.7,624.7,622.9,623.45,1300
3,2025-07-02 09:30:00+05:30,623.45,624.65,620.05,620.05,1966
4,2025-07-02 09:35:00+05:30,620.05,621.6,620.0,621.05,1409
5,2025-07-02 09:40:00+05:30,621.05,621.05,618.45,619.0,618
6,2025-07-02 09:45:00+05:30,619.0,619.35,616.8,617.05,1075
7,2025-07-02 09:50:00+05:30,617.05,619.55,617.05,618.6,1058
8,2025-07-02 09:55:00+05:30,618.6,619.1,618.0,618.7,470
9,2025-07-02 10:00:00+05:30,618.7,618.7,617.5,617.8,855
10,2025-07-02 10:05:00+05:30,617.8,618.0,616.35,617.45,449
11,2025-07-02 10:10:00+05:30,617.45,617.9,616.3,616.45,290
12,2025-07-02 10:15:00+05:30,616.45,616.6,614.4,615.2,2448
13,2025-07-02 10:20:00+05:30,615.2,616.05,613.95,615.05,1787
14,2025-07-02 10:25:00+05:30,615.25,615.25,614.0,615.0,1350
15,2025-07-02 10:30:00+05:30,615.0,615.0,614.3,614.75,286
16,2025-07-02 10:35:00+05:30,614.5,614.6,614.0,614.25,1102
17,2025-07-02 10:40:00+05:30,614.25,615.0,614.2,614.75,614
18,2025-07-02 10:45:00+05:30,614.75,614.8,613.3,614.2,1112
19,2025-07-02 10:50:00+05:30,614.2,615.2,614.2,615.0,788
20,2025-07-02 10:55:00+05:30,615.0,615.05,615.0,615.05,174
21,2025-07-02 11:00:00+05:30,615.05,615.1,614.6,614.6,747
22,2025-07-02 11:05:00+05:30,614.6,615.0,614.6,615.0,686
23,2025-07-02 11:10:00+05:30,615.0,616.2,614.85,615.0,5487
24,2025-07-02 11:15:00+05:30,615.0,615.0,614.9,614.95,160
25,2025-07-02 11:20:00+05:30,614.95,615.6,614.95,615.55,412
26,2025-07-02 11:25:00+05:30,615.55,615.55,614.85,615.0,706
27,2025-07-02 11:30:00+05:30,615.0,615.05,614.3,614.85,411
28,2025-07-02 11:35:00+05:30,614.85,615.4,614.85,615.05,809
29,2025-07-02 11:40:00+05:30,615.05,615.05,614.6,614.6,153
30,2025-07-02 11:45:00+05:30,614.6,615.0,614.6,615.0,61
31,2025-07-02 11:50:00+05:30,615.0,615.0,614.5,615.0,264
32,2025-07-02 11:55:00+05:30,615.0,615.0,614.75,614.75,1107
33,2025-07-02 12:00:00+05:30,614.75,615.0,614.75,615.0,305
34,2025-07-02 12:05:00+05:30,615.0,615.1,613.75,613.75,1826
35,2025-07-02 12:10:00+05:30,614.05,614.9,614.05,614.9,149
36,2025-07-02 12:15:00+05:30,614.9,614.9,613.0,613.65,2390
37,2025-07-02 12:20:00+05:30,614.35,615.1,614.0,614.75,830
38,2025-07-02 12:25:00+05:30,614.75,614.9,613.8,614.8,244
39,2025-07-02 12:30:00+05:30,614.8,614.85,614.5,614.5,2916
40,2025-07-02 12:35:00+05:30,614.5,614.7,614.3,614.3,95
41,2025-07-02 12:40:00+05:30,614.3,615.1,614.3,615.1,85
42,2025-07-02 12:45:00+05:30,615.1,615.1,614.95,615.0,84
43,2025-07-02 12:50:00+05:30,615.0,615.0,614.55,614.55,620
44,2025-07-02 12:55:00+05:30,614.55,615.0,614.55,614.65,3423
45,2025-07-02 13:00:00+05:30,614.65,615.0,614.65,615.0,474
46,2025-07-02 13:05:00+05:30,615.0,615.0,614.55,614.55,222
47,2025-07-02 13:10:00+05:30,614.55,614.55,614.2,614.5,172
48,2025-07-02 13:15:00+05:30,614.5,614.5,612.3,613.0,2398
49,2025-07-02 13:20:00+05:30,613.0,613.0,612.1,612.7,779
50,2025-07-02 13:25:00+05:30,612.7,612.95,611.55,611.55,795
51,2025-07-02 13:30:00+05:30,611.55,613.0,611.55,613.0,607
52,2025-07-02 13:35:00+05:30,613.0,613.0,612.35,612.4,247
53,2025-07-02 13:40:00+05:30,612.4,613.0,612.4,612.95,373
54,2025-07-02 13:45:00+05:30,612.95,613.0,612.05,613.0,370
55,2025-07-02 13:50:00+05:30,613.0,613.9,612.7,613.0,3830
56,2025-07-02 13:55:00+05:30,613.0,613.0,612.0,612.15,392
57,2025-07-02 14:00:00+05:30,612.15,612.7,611.65,612.0,807
58,2025-07-02 14:05:00+05:30,612.0,612.0,612.0,612.0,296
59,2025-07-02 14:10:00+05:30,612.0,613.0,612.0,613.0,454
60,2025-07-02 14:15:00+05:30,612.8,612.9,612.1,612.1,1174
61,2025-07-02 14:20:00+05:30,612.1,613.75,612.1,613.4,4722
62,2025-07-02 14:25:00+05:30,613.4,616.2,613.4,615.25,799
63,2025-07-02 14:30:00+05:30,615.0,616.1,614.15,616.1,1250
64,2025-07-02 14:35:00+05:30,616.3,616.75,614.8,615.0,942
65,2025-07-02 14:40:00+05:30,615.0,616.15,614.3,615.85,1379
66,2025-07-02 14:45:00+05:30,615.85,619.75,615.85,619.75,7202
67,2025-07-02 14:50:00+05:30,619.75,619.75,617.2,617.4,1390
68,2025-07-02 14:55:00+05:30,617.4,619.5,617.0,619.4,3019
69,2025-07-02 15:00:00+05:30,619.35,619.9,617.0,617.0,4964
70,2025-07-02 15:05:00+05:30,617.0,619.45,617.0,619.45,2428
71,2025-07-02 15:10:00+05:30,619.85,619.9,617.05,617.65,946
72,2025-07-02 15:15:00+05:30,617.65,617.65,615.1,616.65,2592
73,2025-07-02 15:20:00+05:30,615.6,623.0,615.6,622.5,13253
74,2025-07-02 15:25:00+05:30,622.75,622.75,618.25,620.0,2890
75,2025-07-03 09:15:00+05:30,620.0,629.8,620.0,624.45,7971
76,2025-07-03 09:20:00+05:30,624.45,625.2,618.3,619.8,2357
77,2025-07-03 09:25:00+05:30,620.0,621.25,619.0,620.0,1936
78,2025-07-03 09:30:00+05:30,620.0,620.75,619.5,620.0,3432
79,2025-07-03 09:35:00+05:30,620.0,620.3,619.3,620.0,579
80,2025-07-03 09:40:00+05:30,620.0,620.0,619.3,620.0,1614
81,2025-07-03 09:45:00+05:30,620.0,620.55,619.75,620.3,1914
82,2025-07-03 09:50:00+05:30,620.35,621.2,620.0,620.0,1210
83,2025-07-03 09:55:00+05:30,620.05,621.25,619.7,619.7,517
84,2025-07-03 10:00:00+05:30,619.7,620.2,619.45,620.0,1612
85,2025-07-03 10:05:00+05:30,620.0,620.0,619.5,620.0,1069
86,2025-07-03 10:10:00+05:30,620.0,620.05,619.45,619.95,133
87,2025-07-03 10:15:00+05:30,619.65,620.0,619.55,619.55,643
88,2025-07-03 10:20:00+05:30,619.55,620.2,619.55,620.0,312
