,date,open,high,low,close,volume
0,2025-07-02 09:15:00+05:30,74.51,74.67,74.3,74.37,56161
1,2025-07-02 09:16:00+05:30,74.41,74.46,74.37,74.45,15106
2,2025-07-02 09:17:00+05:30,74.45,74.58,74.41,74.55,20712
3,2025-07-02 09:18:00+05:30,74.55,74.55,74.5,74.52,13864
4,2025-07-02 09:19:00+05:30,74.5,74.5,74.44,74.46,15696
5,2025-07-02 09:20:00+05:30,74.42,74.43,74.36,74.37,11024
6,2025-07-02 09:21:00+05:30,74.4,74.43,74.4,74.42,12993
7,2025-07-02 09:22:00+05:30,74.36,74.36,74.2,74.22,24455
8,2025-07-02 09:23:00+05:30,74.22,74.29,74.19,74.29,68041
9,2025-07-02 09:24:00+05:30,74.25,74.38,74.25,74.38,11955
10,2025-07-02 09:25:00+05:30,74.38,74.42,74.32,74.32,21314
11,2025-07-02 09:26:00+05:30,74.34,74.36,74.31,74.35,40978
12,2025-07-02 09:27:00+05:30,74.37,74.41,74.34,74.4,3710
13,2025-07-02 09:28:00+05:30,74.4,74.49,74.35,74.46,49151
14,2025-07-02 09:29:00+05:30,74.46,74.55,74.43,74.55,51104
15,2025-07-02 09:30:00+05:30,74.57,74.69,74.57,74.68,17303
16,2025-07-02 09:31:00+05:30,74.66,74.66,74.59,74.59,23942
17,2025-07-02 09:32:00+05:30,74.57,74.57,74.52,74.52,6670
18,2025-07-02 09:33:00+05:30,74.56,74.57,74.42,74.42,13493
19,2025-07-02 09:34:00+05:30,74.42,74.47,74.41,74.44,9985
20,2025-07-02 09:35:00+05:30,74.44,74.55,74.41,74.51,13762
21,2025-07-02 09:36:00+05:30,74.51,74.56,74.3,74.38,143014
22,2025-07-02 09:37:00+05:30,74.42,74.44,74.35,74.38,36647
23,2025-07-02 09:38:00+05:30,74.38,74.43,74.38,74.42,12534
24,2025-07-02 09:39:00+05:30,74.42,74.44,74.39,74.39,6822
25,2025-07-02 09:40:00+05:30,74.36,74.4,74.35,74.35,17894
26,2025-07-02 09:41:00+05:30,74.34,74.44,74.34,74.38,187508
27,2025-07-02 09:42:00+05:30,74.45,74.61,74.37,74.59,71298
28,2025-07-02 09:43:00+05:30,74.59,74.59,74.52,74.52,8811
29,2025-07-02 09:44:00+05:30,74.53,74.55,74.5,74.55,15919
30,2025-07-02 09:45:00+05:30,74.55,74.55,74.5,74.5,5629
31,2025-07-02 09:46:00+05:30,74.5,74.55,74.5,74.52,15949
32,2025-07-02 09:47:00+05:30,74.52,74.53,74.36,74.4,228406
33,2025-07-02 09:48:00+05:30,74.37,74.5,74.35,74.46,1364729
34,2025-07-02 09:49:00+05:30,74.5,74.55,74.45,74.53,238468
35,2025-07-02 09:50:00+05:30,74.53,74.55,74.5,74.51,114504
36,2025-07-02 09:51:00+05:30,74.53,74.55,74.5,74.51,104361
37,2025-07-02 09:52:00+05:30,74.51,74.52,74.35,74.41,396645
38,2025-07-02 09:53:00+05:30,74.39,74.42,74.37,74.41,6937
39,2025-07-02 09:54:00+05:30,74.4,74.42,74.15,74.15,64785
40,2025-07-02 09:55:00+05:30,74.15,74.4,74.15,74.29,88479
41,2025-07-02 09:56:00+05:30,74.29,74.31,74.18,74.22,61863
42,2025-07-02 09:57:00+05:30,74.22,74.25,74.15,74.15,80208
43,2025-07-02 09:58:00+05:30,74.15,74.33,74.15,74.3,32290
44,2025-07-02 09:59:00+05:30,74.32,74.33,74.26,74.3,4113
45,2025-07-02 10:00:00+05:30,74.3,74.48,74.26,74.43,34161
46,2025-07-02 10:01:00+05:30,74.43,74.49,74.43,74.44,13325
47,2025-07-02 10:02:00+05:30,74.44,74.48,74.41,74.43,26348
48,2025-07-02 10:03:00+05:30,74.44,74.44,74.41,74.44,11949
49,2025-07-02 10:04:00+05:30,74.44,74.44,74.31,74.32,22542
50,2025-07-02 10:05:00+05:30,74.34,74.35,74.32,74.32,1951
51,2025-07-02 10:06:00+05:30,74.32,74.32,74.25,74.25,42302
52,2025-07-02 10:07:00+05:30,74.23,74.24,74.2,74.2,24730
53,2025-07-02 10:08:00+05:30,74.23,74.27,74.2,74.27,19913
54,2025-07-02 10:09:00+05:30,74.29,74.32,74.28,74.28,3688
55,2025-07-02 10:10:00+05:30,74.32,74.33,74.28,74.28,10959
56,2025-07-02 10:11:00+05:30,74.27,74.29,74.26,74.27,5280
57,2025-07-02 10:12:00+05:30,74.27,74.27,74.2,74.2,20337
58,2025-07-02 10:13:00+05:30,74.2,74.25,74.2,74.24,18578
59,2025-07-02 10:14:00+05:30,74.24,74.24,74.09,74.19,121209
60,2025-07-02 10:15:00+05:30,74.19,74.19,74.08,74.08,32443
61,2025-07-02 10:16:00+05:30,74.08,74.12,74.07,74.12,30668
62,2025-07-02 10:17:00+05:30,74.12,74.13,74.08,74.1,41433
63,2025-07-02 10:18:00+05:30,74.11,74.13,74.04,74.13,52855
64,2025-07-02 10:19:00+05:30,74.1,74.14,74.07,74.14,55789
65,2025-07-02 10:20:00+05:30,74.13,74.19,74.1,74.19,8807
66,2025-07-02 10:21:00+05:30,74.15,74.2,74.13,74.17,46564
67,2025-07-02 10:22:00+05:30,74.17,74.2,74.17,74.2,1292
68,2025-07-02 10:23:00+05:30,74.2,74.41,74.17,74.39,120803
69,2025-07-02 10:24:00+05:30,74.39,74.39,74.32,74.35,31745
70,2025-07-02 10:25:00+05:30,74.35,74.37,74.31,74.34,19875
71,2025-07-02 10:26:00+05:30,74.34,74.43,74.34,74.4,94475
72,2025-07-02 10:27:00+05:30,74.4,74.5,74.35,74.38,412510
73,2025-07-02 10:28:00+05:30,74.34,74.4,74.34,74.4,12621
74,2025-07-02 10:29:00+05:30,74.4,74.4,74.35,74.35,20957
75,2025-07-02 10:30:00+05:30,74.37,74.57,74.34,74.57,565756
76,2025-07-02 10:31:00+05:30,74.57,74.68,74.55,74.62,40217
77,2025-07-02 10:32:00+05:30,74.64,74.64,74.6,74.6,13129
78,2025-07-02 10:33:00+05:30,74.59,74.6,74.54,74.55,10452
79,2025-07-02 10:34:00+05:30,74.55,74.6,74.53,74.55,21208
80,2025-07-02 10:35:00+05:30,74.55,74.64,74.52,74.63,61268
81,2025-07-02 10:36:00+05:30,74.63,74.64,74.6,74.6,10977
82,2025-07-02 10:37:00+05:30,74.6,74.65,74.59,74.59,22577
83,2025-07-02 10:38:00+05:30,74.58,74.59,74.54,74.54,12276
84,2025-07-02 10:39:00+05:30,74.54,74.55,74.51,74.54,2753
85,2025-07-02 10:40:00+05:30,74.51,74.54,74.5,74.5,1231
86,2025-07-02 10:41:00+05:30,74.45,74.48,74.37,74.4,20612
87,2025-07-02 10:42:00+05:30,74.4,74.46,74.4,74.41,816741
88,2025-07-02 10:43:00+05:30,74.41,74.44,74.4,74.4,1317
89,2025-07-02 10:44:00+05:30,74.4,74.4,74.38,74.38,1794
90,2025-07-02 10:45:00+05:30,74.33,74.33,74.25,74.31,8891
91,2025-07-02 10:46:00+05:30,74.31,74.31,74.2,74.23,9115
92,2025-07-02 10:47:00+05:30,74.23,74.24,74.2,74.21,9010
93,2025-07-02 10:48:00+05:30,74.21,74.22,74.18,74.2,13349
94,2025-07-02 10:49:00+05:30,74.2,74.21,74.1,74.21,24049
95,2025-07-02 10:50:00+05:30,74.21,74.21,74.15,74.16,4214
96,2025-07-02 10:51:00+05:30,74.24,74.24,74.18,74.19,23384
97,2025-07-02 10:52:00+05:30,74.19,74.21,74.16,74.19,4048
98,2025-07-02 10:53:00+05:30,74.19,74.23,74.11,74.13,21028
99,2025-07-02 10:54:00+05:30,74.13,74.2,74.12,74.18,7142
100,2025-07-02 10:55:00+05:30,74.21,74.29,74.19,74.25,24303
101,2025-07-02 10:56:00+05:30,74.24,74.35,74.23,74.35,13485
102,2025-07-02 10:57:00+05:30,74.35,74.41,74.32,74.38,22493
103,2025-07-02 10:58:00+05:30,74.41,74.44,74.34,74.37,10034
104,2025-07-02 10:59:00+05:30,74.37,74.43,74.3,74.3,16443
105,2025-07-02 11:00:00+05:30,74.3,74.38,74.26,74.37,20249
106,2025-07-02 11:01:00+05:30,74.35,74.41,74.35,74.39,8554
107,2025-07-02 11:02:00+05:30,74.39,74.41,74.36,74.37,9908
108,2025-07-02 11:03:00+05:30,74.4,74.49,74.37,74.48,32996
109,2025-07-02 11:04:00+05:30,74.5,74.53,74.46,74.48,9940
110,2025-07-02 11:05:00+05:30,74.49,74.52,74.4,74.43,767864
111,2025-07-02 11:06:00+05:30,74.41,74.5,74.41,74.5,13046
112,2025-07-02 11:07:00+05:30,74.5,74.5,74.46,74.49,11495
113,2025-07-02 11:08:00+05:30,74.49,74.49,74.44,74.44,11060
114,2025-07-02 11:09:00+05:30,74.44,74.48,74.4,74.4,12021
115,2025-07-02 11:10:00+05:30,74.41,74.48,74.4,74.4,9575
116,2025-07-02 11:11:00+05:30,74.4,74.48,74.4,74.42,10674
117,2025-07-02 11:12:00+05:30,74.42,74.47,74.41,74.41,11426
118,2025-07-02 11:13:00+05:30,74.41,74.49,74.4,74.43,8864
119,2025-07-02 11:14:00+05:30,74.43,74.5,74.43,74.49,12371
120,2025-07-02 11:15:00+05:30,74.49,74.52,74.46,74.5,39746
121,2025-07-02 11:16:00+05:30,74.5,74.5,74.45,74.45,22679
122,2025-07-02 11:17:00+05:30,74.45,74.5,74.41,74.41,10883
123,2025-07-02 11:18:00+05:30,74.41,74.48,74.4,74.43,11846
