,date,open,high,low,close,volume
0,2025-08-04 09:15:00+05:30,821.45,822.6,817.2,818.25,6574
1,2025-08-04 09:16:00+05:30,818.25,818.25,815.2,817.3,3140
2,2025-08-04 09:17:00+05:30,821.05,823.6,819.9,822.9,2928
3,2025-08-04 09:18:00+05:30,823.25,825.75,820.7,820.7,2621
4,2025-08-04 09:19:00+05:30,822.85,824.4,821.3,823.15,2812
5,2025-08-04 09:20:00+05:30,825.3,825.3,820.4,820.4,3759
6,2025-08-04 09:21:00+05:30,820.15,820.15,817.8,818.25,1864
7,2025-08-04 09:22:00+05:30,818.75,824.65,818.75,824.65,2313
8,2025-08-04 09:23:00+05:30,824.65,827.95,822.2,827.95,1857
9,2025-08-04 09:24:00+05:30,827.05,829.75,826.8,829.75,2297
10,2025-08-04 09:25:00+05:30,829.8,831.55,829.15,829.15,1666
11,2025-08-04 09:26:00+05:30,829.15,830.0,828.75,828.9,807
12,2025-08-04 09:27:00+05:30,828.9,829.65,828.15,829.65,382
13,2025-08-04 09:28:00+05:30,829.65,829.65,828.0,828.8,986
14,2025-08-04 09:29:00+05:30,828.8,829.6,827.5,827.7,1170
15,2025-08-04 09:30:00+05:30,827.7,828.9,827.1,827.9,1902
16,2025-08-04 09:31:00+05:30,828.0,828.5,827.3,828.0,383
17,2025-08-04 09:32:00+05:30,828.1,828.1,826.95,827.0,344
18,2025-08-04 09:33:00+05:30,826.8,827.4,826.5,826.5,1616
19,2025-08-04 09:34:00+05:30,826.7,827.9,826.55,827.35,1478
20,2025-08-04 09:35:00+05:30,827.2,827.6,825.0,825.0,817
21,2025-08-04 09:36:00+05:30,823.65,827.05,823.5,826.45,1260
22,2025-08-04 09:37:00+05:30,826.45,827.35,826.45,826.75,189
23,2025-08-04 09:38:00+05:30,826.75,826.9,825.9,825.9,285
24,2025-08-04 09:39:00+05:30,825.9,826.7,825.9,826.25,127
25,2025-08-04 09:40:00+05:30,826.0,826.0,823.75,824.85,2073
26,2025-08-04 09:41:00+05:30,824.85,824.85,823.75,823.75,1006
27,2025-08-04 09:42:00+05:30,823.8,824.4,823.05,824.4,866
28,2025-08-04 09:43:00+05:30,824.4,824.4,820.25,820.45,2302
29,2025-08-04 09:44:00+05:30,819.55,820.7,819.1,820.7,1933
30,2025-08-04 09:45:00+05:30,820.75,821.65,819.55,821.65,816
31,2025-08-04 09:46:00+05:30,821.65,821.75,821.3,821.55,384
32,2025-08-04 09:47:00+05:30,821.55,821.55,820.0,821.5,834
33,2025-08-04 09:48:00+05:30,821.5,821.5,820.1,821.45,410
34,2025-08-04 09:49:00+05:30,821.5,824.8,821.5,824.75,800
35,2025-08-04 09:50:00+05:30,824.75,826.7,824.35,824.7,719
36,2025-08-04 09:51:00+05:30,824.7,825.15,824.65,824.8,284
37,2025-08-04 09:52:00+05:30,824.45,824.65,822.55,823.0,186
38,2025-08-04 09:53:00+05:30,823.1,823.6,822.35,823.0,1298
39,2025-08-04 09:54:00+05:30,823.0,823.0,822.9,823.0,332
40,2025-08-04 09:55:00+05:30,823.0,823.7,822.95,823.7,184
41,2025-08-04 09:56:00+05:30,823.7,823.9,822.75,822.75,158
42,2025-08-04 09:57:00+05:30,823.3,823.9,823.3,823.9,259
43,2025-08-04 09:58:00+05:30,823.9,824.0,823.3,824.0,150
44,2025-08-04 09:59:00+05:30,824.0,824.4,823.55,824.4,143
45,2025-08-04 10:00:00+05:30,824.4,824.5,822.55,822.85,640
46,2025-08-04 10:01:00+05:30,823.6,823.6,820.05,820.05,2357
47,2025-08-04 10:02:00+05:30,820.6,822.4,820.6,822.1,1021
48,2025-08-04 10:03:00+05:30,822.1,822.1,821.45,822.1,299
49,2025-08-04 10:04:00+05:30,822.1,823.55,822.1,822.25,690
50,2025-08-04 10:05:00+05:30,822.6,824.45,822.4,824.45,256
51,2025-08-04 10:06:00+05:30,824.45,824.45,823.55,824.35,205
52,2025-08-04 10:07:00+05:30,824.35,824.5,823.55,823.8,152
53,2025-08-04 10:08:00+05:30,823.8,823.8,823.8,823.8,65
54,2025-08-04 10:09:00+05:30,823.8,824.0,823.35,823.95,168
55,2025-08-04 10:10:00+05:30,823.95,824.3,823.8,824.05,984
56,2025-08-04 10:11:00+05:30,824.05,824.15,824.0,824.15,151
57,2025-08-04 10:12:00+05:30,824.0,824.95,824.0,824.95,308
58,2025-08-04 10:13:00+05:30,824.95,825.25,824.0,824.6,167
59,2025-08-04 10:14:00+05:30,824.6,825.0,823.95,824.7,297
60,2025-08-04 10:15:00+05:30,824.7,825.1,824.7,825.0,61
61,2025-08-04 10:16:00+05:30,825.0,825.05,824.75,824.9,153
62,2025-08-04 10:17:00+05:30,824.9,824.9,824.9,824.9,44
63,2025-08-04 10:18:00+05:30,824.9,825.05,824.8,824.8,516
64,2025-08-04 10:19:00+05:30,824.85,824.85,824.25,824.85,213
65,2025-08-04 10:20:00+05:30,825.1,825.1,824.6,824.75,166
66,2025-08-04 10:21:00+05:30,824.75,824.75,823.1,823.8,765
67,2025-08-04 10:22:00+05:30,823.7,825.95,823.7,825.65,1970
68,2025-08-04 10:23:00+05:30,825.65,826.65,825.65,826.6,104
69,2025-08-04 10:24:00+05:30,826.6,826.9,825.65,826.2,610
70,2025-08-04 10:25:00+05:30,826.2,826.25,824.35,824.4,1351
71,2025-08-04 10:26:00+05:30,824.4,824.8,824.4,824.8,137
72,2025-08-04 10:27:00+05:30,824.8,824.8,824.4,824.45,82
73,2025-08-04 10:28:00+05:30,824.5,825.0,824.4,824.85,226
74,2025-08-04 10:29:00+05:30,824.85,825.35,824.7,824.85,107
75,2025-08-04 10:30:00+05:30,824.9,825.05,824.6,825.0,168
76,2025-08-04 10:31:00+05:30,825.0,825.35,825.0,825.35,119
77,2025-08-04 10:32:00+05:30,825.35,825.35,825.0,825.0,283
78,2025-08-04 10:33:00+05:30,825.35,825.35,824.9,825.25,130
79,2025-08-04 10:34:00+05:30,825.25,826.0,825.25,826.0,125
80,2025-08-04 10:35:00+05:30,826.0,826.0,823.65,823.8,827
81,2025-08-04 10:36:00+05:30,824.6,825.6,824.6,825.45,127
82,2025-08-04 10:37:00+05:30,825.45,825.45,824.4,824.6,103
83,2025-08-04 10:38:00+05:30,824.6,824.6,823.25,824.15,323
84,2025-08-04 10:39:00+05:30,824.15,824.25,823.6,824.2,77
85,2025-08-04 10:40:00+05:30,824.2,825.1,824.2,825.1,297
86,2025-08-04 10:41:00+05:30,824.4,825.4,824.4,825.4,145
87,2025-08-04 10:42:00+05:30,825.4,825.4,825.4,825.4,94
88,2025-08-04 10:43:00+05:30,825.4,825.4,825.3,825.4,115
89,2025-08-04 10:44:00+05:30,825.4,825.4,825.4,825.4,5
90,2025-08-04 10:45:00+05:30,825.4,825.4,825.05,825.05,9
91,2025-08-04 10:46:00+05:30,825.4,825.45,824.9,825.2,149
92,2025-08-04 10:47:00+05:30,825.2,825.35,824.5,824.9,70
93,2025-08-04 10:48:00+05:30,824.9,824.9,823.5,823.9,708
94,2025-08-04 10:49:00+05:30,823.9,824.45,823.9,824.45,151
95,2025-08-04 10:50:00+05:30,824.45,825.1,824.45,825.1,118
96,2025-08-04 10:51:00+05:30,825.1,825.1,824.55,824.9,265
97,2025-08-04 10:52:00+05:30,824.95,824.95,824.95,824.95,41
98,2025-08-04 10:53:00+05:30,824.95,825.0,824.4,825.0,100
99,2025-08-04 10:54:00+05:30,825.0,825.35,825.0,825.35,50
100,2025-08-04 10:55:00+05:30,825.35,825.4,824.5,825.3,268
101,2025-08-04 10:56:00+05:30,825.3,825.3,824.0,825.2,156
102,2025-08-04 10:57:00+05:30,825.25,825.4,823.85,823.85,258
103,2025-08-04 10:58:00+05:30,824.5,824.5,824.1,824.45,117
104,2025-08-04 10:59:00+05:30,824.45,824.45,824.05,824.45,147
105,2025-08-04 11:00:00+05:30,824.45,824.55,824.3,824.5,84
106,2025-08-04 11:01:00+05:30,824.5,824.9,824.5,824.9,614
107,2025-08-04 11:02:00+05:30,824.9,825.4,824.9,825.4,122
108,2025-08-04 11:03:00+05:30,825.4,825.4,825.0,825.25,122
109,2025-08-04 11:04:00+05:30,825.25,826.0,825.2,825.2,597
110,2025-08-04 11:05:00+05:30,825.95,825.95,825.3,825.9,486
111,2025-08-04 11:06:00+05:30,825.9,825.9,825.8,825.9,327
112,2025-08-04 11:07:00+05:30,825.9,825.9,825.2,825.7,396
113,2025-08-04 11:08:00+05:30,825.7,825.9,825.65,825.9,120
114,2025-08-04 11:09:00+05:30,825.9,825.9,825.8,825.85,111
115,2025-08-04 11:10:00+05:30,825.85,825.85,825.7,825.8,86
116,2025-08-04 11:11:00+05:30,825.8,826.75,825.8,826.75,1470
117,2025-08-04 11:12:00+05:30,826.75,826.75,826.7,826.7,237
118,2025-08-04 11:13:00+05:30,826.7,826.7,826.0,826.0,288
119,2025-08-04 11:14:00+05:30,826.0,826.65,826.0,826.65,117
120,2025-08-04 11:15:00+05:30,826.65,826.7,826.55,826.65,293
121,2025-08-04 11:16:00+05:30,826.65,826.65,826.05,826.5,108
122,2025-08-04 11:17:00+05:30,826.5,826.5,826.0,826.0,249
123,2025-08-04 11:18:00+05:30,826.0,826.4,826.0,826.35,71
124,2025-08-04 11:19:00+05:30,826.4,826.4,826.0,826.4,218
125,2025-08-04 11:20:00+05:30,826.4,826.85,826.4,826.85,131
126,2025-08-04 11:21:00+05:30,826.9,826.9,826.9,826.9,30
127,2025-08-04 11:22:00+05:30,826.9,826.9,826.45,826.9,39
128,2025-08-04 11:23:00+05:30,826.9,826.9,826.4,826.9,103
129,2025-08-04 11:24:00+05:30,826.9,826.9,826.9,826.9,106
130,2025-08-04 11:25:00+05:30,826.8,826.8,826.7,826.7,16
131,2025-08-04 11:26:00+05:30,826.7,826.7,826.7,826.7,18
132,2025-08-04 11:27:00+05:30,826.7,826.7,826.7,826.7,172
133,2025-08-04 11:28:00+05:30,826.7,826.7,826.0,826.0,26
134,2025-08-04 11:29:00+05:30,826.0,826.7,826.0,826.7,16
135,2025-08-04 11:30:00+05:30,826.7,826.7,826.7,826.7,38
136,2025-08-04 11:31:00+05:30,826.7,826.7,825.9,826.65,319
137,2025-08-04 11:32:00+05:30,826.65,826.65,826.1,826.65,177
138,2025-08-04 11:33:00+05:30,826.65,826.65,826.0,826.65,57
139,2025-08-04 11:34:00+05:30,826.65,826.65,825.35,826.2,454
140,2025-08-04 11:35:00+05:30,826.2,826.2,826.0,826.0,156
141,2025-08-04 11:36:00+05:30,826.0,826.1,826.0,826.1,17
142,2025-08-04 11:37:00+05:30,826.1,826.1,826.0,826.05,127
143,2025-08-04 11:38:00+05:30,826.05,826.7,826.05,826.1,1224
144,2025-08-04 11:39:00+05:30,826.1,826.6,825.5,826.5,437
145,2025-08-04 11:40:00+05:30,826.5,826.5,826.5,826.5,18
146,2025-08-04 11:41:00+05:30,826.5,826.5,825.15,825.15,1836
147,2025-08-04 11:42:00+05:30,825.15,826.0,825.15,826.0,162
148,2025-08-04 11:43:00+05:30,826.0,826.0,825.5,826.0,138
149,2025-08-04 11:44:00+05:30,826.0,826.0,825.5,826.0,186
150,2025-08-04 11:45:00+05:30,826.0,826.0,826.0,826.0,116
151,2025-08-04 11:46:00+05:30,826.0,826.0,826.0,826.0,130
152,2025-08-04 11:47:00+05:30,826.0,826.0,825.6,825.6,196
153,2025-08-04 11:48:00+05:30,825.95,825.95,825.35,825.9,190
154,2025-08-04 11:49:00+05:30,825.9,825.9,825.1,825.7,177
155,2025-08-04 11:50:00+05:30,825.7,825.95,825.7,825.9,62
156,2025-08-04 11:51:00+05:30,825.85,825.85,825.85,825.85,143
