,date,open,high,low,close,volume
0,2020-10-13 00:00:00+05:30,29.65,29.75,28.2,29.05,391500
1,2020-10-14 00:00:00+05:30,28.25,29.85,28.1,28.65,238500
2,2020-10-15 00:00:00+05:30,29.8,30.0,28.25,28.85,418500
3,2020-10-16 00:00:00+05:30,28.8,29.35,28.55,29.15,229500
4,2020-10-19 00:00:00+05:30,29.15,29.2,28.5,28.95,63000
5,2020-10-20 00:00:00+05:30,29.45,30.0,28.65,29.35,130500
6,2020-10-21 00:00:00+05:30,28.75,29.15,28.75,28.75,45000
7,2020-10-22 00:00:00+05:30,29.15,29.15,28.7,28.7,18000
8,2020-10-23 00:00:00+05:30,28.75,28.95,28.35,28.95,216000
9,2020-10-26 00:00:00+05:30,28.55,28.85,28.45,28.85,135000
10,2020-10-27 00:00:00+05:30,28.45,28.75,28.35,28.75,22500
11,2020-10-28 00:00:00+05:30,28.45,28.5,28.35,28.5,36000
12,2020-10-29 00:00:00+05:30,28.4,28.5,28.25,28.5,27000
13,2020-10-30 00:00:00+05:30,28.25,28.5,28.15,28.45,81000
14,2020-11-02 00:00:00+05:30,28.25,28.25,28.15,28.2,40500
15,2020-11-03 00:00:00+05:30,28.25,28.25,28.2,28.2,18000
16,2020-11-04 00:00:00+05:30,28.25,28.65,28.2,28.65,36000
17,2020-11-05 00:00:00+05:30,28.65,28.65,28.25,28.25,9000
18,2020-11-06 00:00:00+05:30,28.3,28.55,28.25,28.25,31500
19,2020-11-09 00:00:00+05:30,28.15,28.25,28.15,28.2,22500
20,2020-11-10 00:00:00+05:30,28.2,28.2,28.2,28.2,22500
21,2020-11-11 00:00:00+05:30,28.2,29.95,28.15,29.5,58500
22,2020-11-12 00:00:00+05:30,28.85,29.5,28.8,28.8,31500
23,2020-11-13 00:00:00+05:30,28.8,28.8,28.5,28.5,13500
24,2020-11-14 00:00:00+05:30,28.8,30.0,28.8,29.6,31500
25,2020-11-17 00:00:00+05:30,29.0,29.0,28.95,28.95,9000
26,2020-11-18 00:00:00+05:30,28.65,28.65,28.65,28.65,13500
27,2020-11-19 00:00:00+05:30,28.5,28.5,28.5,28.5,9000
28,2020-11-20 00:00:00+05:30,28.65,28.65,28.65,28.65,4500
29,2020-11-23 00:00:00+05:30,28.65,28.65,28.5,28.5,9000
30,2020-11-24 00:00:00+05:30,28.5,28.5,28.5,28.5,13500
31,2020-11-25 00:00:00+05:30,28.5,28.5,28.5,28.5,4500
32,2020-11-26 00:00:00+05:30,29.35,32.0,29.35,29.35,22500
33,2020-11-27 00:00:00+05:30,28.65,28.65,28.65,28.65,4500
34,2020-12-01 00:00:00+05:30,29.15,29.15,29.15,29.15,4500
35,2020-12-02 00:00:00+05:30,29.15,29.15,29.15,29.15,4500
36,2020-12-03 00:00:00+05:30,28.45,28.45,28.2,28.4,31500
37,2020-12-07 00:00:00+05:30,28.45,28.45,28.45,28.45,4500
38,2020-12-08 00:00:00+05:30,28.65,28.65,28.35,28.35,13500
39,2020-12-09 00:00:00+05:30,28.35,28.35,28.35,28.35,4500
40,2020-12-10 00:00:00+05:30,28.35,28.65,28.25,28.3,18000
41,2020-12-11 00:00:00+05:30,28.65,29.25,28.35,29.0,27000
42,2020-12-14 00:00:00+05:30,28.35,28.35,28.35,28.35,9000
43,2020-12-15 00:00:00+05:30,28.35,28.35,28.35,28.35,9000
44,2020-12-17 00:00:00+05:30,28.35,28.35,28.35,28.35,13500
45,2020-12-21 00:00:00+05:30,28.35,28.35,28.3,28.3,22500
46,2020-12-22 00:00:00+05:30,28.2,28.2,28.2,28.2,9000
47,2020-12-23 00:00:00+05:30,28.2,28.2,28.2,28.2,4500
48,2020-12-24 00:00:00+05:30,28.25,28.65,28.25,28.65,9000
49,2020-12-28 00:00:00+05:30,28.15,28.6,28.15,28.6,18000
50,2020-12-29 00:00:00+05:30,28.85,28.85,28.85,28.85,4500
51,2020-12-30 00:00:00+05:30,28.15,28.15,28.15,28.15,4500
52,2020-12-31 00:00:00+05:30,28.15,28.15,28.15,28.15,9000
53,2021-01-01 00:00:00+05:30,28.2,28.2,28.2,28.2,4500
54,2021-01-04 00:00:00+05:30,28.15,28.35,28.15,28.35,9000
55,2021-01-06 00:00:00+05:30,28.2,28.35,28.15,28.15,13500
56,2021-01-07 00:00:00+05:30,28.85,28.85,28.2,28.3,18000
57,2021-01-08 00:00:00+05:30,28.75,28.75,28.75,28.75,4500
58,2021-01-14 00:00:00+05:30,28.15,28.15,28.15,28.15,13500
59,2021-01-15 00:00:00+05:30,28.15,28.15,28.15,28.15,4500
60,2021-01-18 00:00:00+05:30,28.15,28.15,28.15,28.15,13500
61,2021-01-20 00:00:00+05:30,28.15,28.15,28.15,28.15,4500
62,2021-01-27 00:00:00+05:30,28.15,28.15,28.15,28.15,4500
63,2021-01-28 00:00:00+05:30,28.15,28.15,28.15,28.15,18000
64,2021-01-29 00:00:00+05:30,28.6,28.6,28.6,28.6,4500
65,2021-02-02 00:00:00+05:30,28.6,30.0,28.15,28.15,54000
66,2021-02-03 00:00:00+05:30,28.15,28.15,28.15,28.15,9000
67,2021-02-04 00:00:00+05:30,28.15,28.15,28.15,28.15,9000
68,2021-02-05 00:00:00+05:30,28.15,28.15,28.15,28.15,4500
69,2021-02-08 00:00:00+05:30,28.1,28.1,28.05,28.05,40500
70,2021-02-09 00:00:00+05:30,28.05,28.05,28.05,28.05,13500
71,2021-02-10 00:00:00+05:30,28.05,29.0,28.0,29.0,31500
72,2021-02-11 00:00:00+05:30,28.05,28.15,28.05,28.15,9000
73,2021-02-15 00:00:00+05:30,29.2,29.2,28.05,28.85,22500
74,2021-02-16 00:00:00+05:30,28.0,28.0,28.0,28.0,9000
75,2021-02-17 00:00:00+05:30,28.0,28.0,28.0,28.0,4500
76,2021-02-22 00:00:00+05:30,28.2,28.2,28.05,28.05,31500
77,2021-02-23 00:00:00+05:30,28.05,28.05,28.05,28.05,9000
78,2021-02-26 00:00:00+05:30,28.05,28.05,28.0,28.0,13500
79,2021-03-01 00:00:00+05:30,28.05,28.05,28.05,28.05,9000
80,2021-03-02 00:00:00+05:30,28.05,28.05,28.05,28.05,4500
81,2021-03-03 00:00:00+05:30,28.05,28.05,28.0,28.0,9000
82,2021-03-04 00:00:00+05:30,28.0,28.0,28.0,28.0,9000
83,2021-03-05 00:00:00+05:30,28.0,28.0,28.0,28.0,4500
84,2021-03-08 00:00:00+05:30,28.0,28.65,28.0,28.0,18000
85,2021-03-09 00:00:00+05:30,28.35,28.35,28.35,28.35,36000
86,2021-03-10 00:00:00+05:30,28.0,28.0,28.0,28.0,4500
87,2021-03-12 00:00:00+05:30,28.65,28.65,28.6,28.6,9000
88,2021-03-16 00:00:00+05:30,28.0,28.05,28.0,28.05,9000
89,2021-03-17 00:00:00+05:30,28.0,28.0,28.0,28.0,4500
90,2021-03-18 00:00:00+05:30,28.65,28.65,28.65,28.65,108000
91,2021-03-19 00:00:00+05:30,34.0,34.0,28.1,28.1,171000
92,2021-03-22 00:00:00+05:30,29.65,32.65,29.65,29.7,310500
93,2021-03-23 00:00:00+05:30,29.95,30.0,29.95,30.0,13500
94,2021-03-24 00:00:00+05:30,28.65,28.7,28.65,28.65,13500
95,2021-03-25 00:00:00+05:30,28.7,28.7,28.65,28.65,13500
96,2021-03-26 00:00:00+05:30,29.35,29.35,28.65,28.65,58500
97,2021-03-30 00:00:00+05:30,28.65,28.65,28.65,28.65,9000
