,date,open,high,low,close,volume
0,2025-05-05 09:15:00+05:30,193.75,196.45,193.15,196.25,416825
1,2025-05-05 09:45:00+05:30,196.2,197.0,195.95,196.45,371459
2,2025-05-05 10:15:00+05:30,196.5,198.45,196.35,198.45,174273
3,2025-05-05 10:45:00+05:30,198.5,198.6,197.6,198.0,80387
4,2025-05-05 11:15:00+05:30,198.0,198.2,197.3,197.4,47075
5,2025-05-05 11:45:00+05:30,197.4,198.25,197.05,198.1,81398
6,2025-05-05 12:15:00+05:30,198.1,198.2,197.5,197.65,27967
7,2025-05-05 12:45:00+05:30,197.65,198.4,197.15,198.1,28455
8,2025-05-05 13:15:00+05:30,198.1,199.75,197.85,199.25,276735
9,2025-05-05 13:45:00+05:30,199.25,199.4,198.55,199.0,120080
10,2025-05-05 14:15:00+05:30,199.0,199.2,198.45,198.65,127619
11,2025-05-05 14:45:00+05:30,198.65,199.35,198.35,198.9,374115
12,2025-05-05 15:15:00+05:30,198.95,199.65,198.8,199.35,206228
13,2025-05-06 09:15:00+05:30,198.95,201.0,197.65,198.7,481640
14,2025-05-06 09:45:00+05:30,198.9,199.05,196.45,197.6,212563
15,2025-05-06 10:15:00+05:30,197.55,198.1,196.65,197.8,84249
16,2025-05-06 10:45:00+05:30,197.8,198.4,197.4,197.45,134535
17,2025-05-06 11:15:00+05:30,197.45,197.7,195.1,195.2,147711
18,2025-05-06 11:45:00+05:30,195.35,196.9,195.25,196.45,147659
19,2025-05-06 12:15:00+05:30,196.55,196.9,196.1,196.1,49742
20,2025-05-06 12:45:00+05:30,196.1,196.75,195.95,196.7,65901
21,2025-05-06 13:15:00+05:30,196.7,196.9,196.3,196.35,124236
22,2025-05-06 13:45:00+05:30,196.35,196.75,194.55,194.55,148243
23,2025-05-06 14:15:00+05:30,194.6,195.15,193.95,194.2,124347
24,2025-05-06 14:45:00+05:30,194.25,194.9,193.4,194.55,271109
25,2025-05-06 15:15:00+05:30,194.55,194.75,193.9,194.25,170396
26,2025-05-07 09:15:00+05:30,194.15,199.65,194.1,197.4,946029
27,2025-05-07 09:45:00+05:30,197.3,197.95,195.8,196.75,257373
28,2025-05-07 10:15:00+05:30,196.9,198.9,196.5,198.6,182102
29,2025-05-07 10:45:00+05:30,198.6,199.55,197.9,199.4,164041
30,2025-05-07 11:15:00+05:30,199.4,201.15,199.4,201.1,359385
31,2025-05-07 11:45:00+05:30,201.05,201.25,199.75,200.8,179033
32,2025-05-07 12:15:00+05:30,200.8,201.25,199.1,199.15,278446
33,2025-05-07 12:45:00+05:30,199.15,199.85,197.5,197.85,346603
34,2025-05-07 13:15:00+05:30,197.85,198.8,197.5,198.35,215326
35,2025-05-07 13:45:00+05:30,198.35,199.6,197.7,199.2,237730
