,date,open,high,low,close,volume
0,2025-08-01 09:15:00+05:30,72.87,73.15,72.72,73.08,43586
1,2025-08-01 09:16:00+05:30,73.08,73.08,72.84,72.84,51822
2,2025-08-01 09:17:00+05:30,72.79,72.99,72.79,72.85,34526
3,2025-08-01 09:18:00+05:30,72.9,73.12,72.9,73.08,20301
4,2025-08-01 09:19:00+05:30,73.1,73.2,73.1,73.2,28055
5,2025-08-01 09:20:00+05:30,73.19,73.19,73.04,73.04,4472
6,2025-08-01 09:21:00+05:30,73.04,73.41,73.04,73.41,34991
7,2025-08-01 09:22:00+05:30,73.39,73.39,73.3,73.34,14161
8,2025-08-01 09:23:00+05:30,73.34,73.37,73.3,73.3,22482
9,2025-08-01 09:24:00+05:30,73.31,73.37,73.28,73.29,6069
10,2025-08-01 09:25:00+05:30,73.28,73.38,73.28,73.36,6137
11,2025-08-01 09:26:00+05:30,73.29,73.32,73.25,73.25,22656
12,2025-08-01 09:27:00+05:30,73.25,73.3,73.25,73.25,9837
13,2025-08-01 09:28:00+05:30,73.25,73.28,73.25,73.27,6013
14,2025-08-01 09:29:00+05:30,73.28,73.39,73.28,73.36,13091
15,2025-08-01 09:30:00+05:30,73.33,73.37,73.25,73.29,18972
16,2025-08-01 09:31:00+05:30,73.29,73.34,73.25,73.3,20790
17,2025-08-01 09:32:00+05:30,73.35,73.43,73.31,73.43,5191
18,2025-08-01 09:33:00+05:30,73.42,73.49,73.42,73.49,12121
19,2025-08-01 09:34:00+05:30,73.49,73.49,73.32,73.34,10662
20,2025-08-01 09:35:00+05:30,73.34,73.35,73.25,73.35,4563
21,2025-08-01 09:36:00+05:30,73.3,73.39,73.3,73.35,3642
22,2025-08-01 09:37:00+05:30,73.4,73.4,73.3,73.33,2565
23,2025-08-01 09:38:00+05:30,73.33,73.33,73.28,73.28,1075
24,2025-08-01 09:39:00+05:30,73.28,73.3,73.25,73.25,7681
25,2025-08-01 09:40:00+05:30,73.25,73.36,73.25,73.36,19536
26,2025-08-01 09:41:00+05:30,73.38,73.43,73.36,73.39,3397
27,2025-08-01 09:42:00+05:30,73.39,73.43,73.38,73.43,9537
28,2025-08-01 09:43:00+05:30,73.39,73.47,73.39,73.45,10989
29,2025-08-01 09:44:00+05:30,73.48,73.48,73.32,73.32,10482
30,2025-08-01 09:45:00+05:30,73.37,73.37,73.35,73.37,1868
31,2025-08-01 09:46:00+05:30,73.38,73.38,73.34,73.36,5850
32,2025-08-01 09:47:00+05:30,73.38,73.38,73.28,73.28,1652
33,2025-08-01 09:48:00+05:30,73.26,73.36,73.26,73.28,1931
34,2025-08-01 09:49:00+05:30,73.34,73.4,73.34,73.4,9876
35,2025-08-01 09:50:00+05:30,73.35,73.4,73.35,73.4,1621
36,2025-08-01 09:51:00+05:30,73.37,73.46,73.37,73.39,29280
37,2025-08-01 09:52:00+05:30,73.39,73.39,73.37,73.37,644
38,2025-08-01 09:53:00+05:30,73.37,73.37,73.28,73.3,2645
39,2025-08-01 09:54:00+05:30,73.26,73.32,73.25,73.32,12204
40,2025-08-01 09:55:00+05:30,73.32,73.35,73.25,73.27,15543
41,2025-08-01 09:56:00+05:30,73.28,73.3,73.25,73.25,1095
42,2025-08-01 09:57:00+05:30,73.25,73.29,73.25,73.28,4336
43,2025-08-01 09:58:00+05:30,73.28,73.28,73.25,73.25,24676
44,2025-08-01 09:59:00+05:30,73.25,73.29,73.25,73.29,26356
45,2025-08-01 10:00:00+05:30,73.25,73.28,73.25,73.26,133735
46,2025-08-01 10:01:00+05:30,73.25,73.4,73.25,73.4,39985
47,2025-08-01 10:02:00+05:30,73.45,73.45,73.41,73.41,20768
48,2025-08-01 10:03:00+05:30,73.44,73.44,73.38,73.4,28698
49,2025-08-01 10:04:00+05:30,73.39,73.41,73.37,73.37,263
50,2025-08-01 10:05:00+05:30,73.37,73.37,73.25,73.32,21553
