,date,open,high,low,close,volume
0,2024-06-06 00:00:00+05:30,241.0,253.05,240.1,253.05,2638400
1,2024-06-07 00:00:00+05:30,265.7,265.7,265.7,265.7,48800
2,2024-06-10 00:00:00+05:30,278.95,278.95,278.95,278.95,19200
3,2024-06-11 00:00:00+05:30,292.85,292.85,292.85,292.85,11200
4,2024-06-12 00:00:00+05:30,307.45,307.45,307.45,307.45,22400
5,2024-06-13 00:00:00+05:30,322.8,322.8,322.8,322.8,56000
6,2024-06-14 00:00:00+05:30,338.9,338.9,338.9,338.9,84800
7,2024-06-18 00:00:00+05:30,355.8,355.8,355.8,355.8,634400
8,2024-06-19 00:00:00+05:30,373.55,373.55,373.55,373.55,13600
9,2024-06-20 00:00:00+05:30,392.2,392.2,392.2,392.2,6400
10,2024-06-21 00:00:00+05:30,431.4,431.4,431.4,431.4,22400
11,2024-06-24 00:00:00+05:30,474.5,474.5,454.5,474.5,582400
12,2024-06-25 00:00:00+05:30,521.95,521.95,490.0,521.95,641600
13,2024-06-26 00:00:00+05:30,548.0,548.0,495.85,495.85,433600
14,2024-06-27 00:00:00+05:30,471.05,520.6,471.05,519.8,741600
15,2024-06-28 00:00:00+05:30,540.0,545.75,520.0,545.75,158400
16,2024-07-01 00:00:00+05:30,573.0,573.0,573.0,573.0,32800
17,2024-07-02 00:00:00+05:30,601.65,601.65,601.65,601.65,12800
18,2024-07-03 00:00:00+05:30,631.7,631.7,631.7,631.7,48800
19,2024-07-04 00:00:00+05:30,663.25,663.25,644.35,663.25,272000
20,2024-07-05 00:00:00+05:30,680.0,696.4,630.1,696.4,416800
21,2024-07-08 00:00:00+05:30,728.0,729.95,661.6,661.6,153600
22,2024-07-09 00:00:00+05:30,640.0,688.0,628.55,629.65,531200
23,2024-07-10 00:00:00+05:30,629.65,644.0,598.2,621.25,273600
24,2024-07-11 00:00:00+05:30,644.0,652.25,613.0,633.05,171200
25,2024-07-12 00:00:00+05:30,634.0,637.0,601.4,601.4,232000
26,2024-07-15 00:00:00+05:30,600.0,600.0,571.35,571.35,216000
27,2024-07-16 00:00:00+05:30,557.0,590.0,542.8,562.2,201600
28,2024-07-18 00:00:00+05:30,543.0,568.0,536.1,550.0,65600
29,2024-07-19 00:00:00+05:30,544.0,563.9,525.0,552.7,82400
30,2024-07-22 00:00:00+05:30,558.0,578.0,540.0,562.6,65600
31,2024-07-23 00:00:00+05:30,562.6,562.6,534.5,545.3,126400
32,2024-07-24 00:00:00+05:30,540.0,548.0,520.0,536.6,42400
33,2024-07-25 00:00:00+05:30,545.0,563.4,543.0,563.4,118400
34,2024-07-26 00:00:00+05:30,570.0,589.0,547.6,559.35,68800
35,2024-07-29 00:00:00+05:30,558.0,558.0,533.0,544.35,74400
36,2024-07-30 00:00:00+05:30,541.0,545.0,525.0,529.25,79200
37,2024-07-31 00:00:00+05:30,529.25,548.9,502.8,507.95,120800
38,2024-08-01 00:00:00+05:30,510.0,521.0,482.55,495.6,100000
39,2024-08-02 00:00:00+05:30,480.0,519.95,473.0,512.5,79200
40,2024-08-05 00:00:00+05:30,488.0,509.0,486.9,486.9,52000
41,2024-08-06 00:00:00+05:30,480.0,495.0,462.55,462.55,67200
42,2024-08-07 00:00:00+05:30,470.0,485.65,470.0,485.4,52000
43,2024-08-08 00:00:00+05:30,485.0,495.0,461.15,475.85,45600
44,2024-08-09 00:00:00+05:30,480.0,489.8,469.0,484.45,40000
45,2024-08-12 00:00:00+05:30,480.0,485.0,465.0,475.45,36000
46,2024-08-13 00:00:00+05:30,483.0,484.0,475.05,479.7,36000
47,2024-08-14 00:00:00+05:30,492.0,503.0,481.0,494.2,46400
48,2024-08-16 00:00:00+05:30,496.0,502.0,470.0,486.45,108800
49,2024-08-19 00:00:00+05:30,495.0,495.0,485.0,490.0,35200
50,2024-08-20 00:00:00+05:30,500.0,514.5,500.0,514.5,136800
51,2024-08-21 00:00:00+05:30,538.0,538.0,510.0,510.35,74400
52,2024-08-22 00:00:00+05:30,505.6,517.0,498.0,504.35,40000
53,2024-08-23 00:00:00+05:30,510.0,516.5,495.05,511.8,66400
54,2024-08-26 00:00:00+05:30,515.0,537.35,515.0,537.35,68000
55,2024-08-27 00:00:00+05:30,564.2,564.2,564.2,564.2,57600
56,2024-08-28 00:00:00+05:30,592.4,592.4,545.0,577.45,136000
57,2024-08-29 00:00:00+05:30,575.95,575.95,548.6,548.6,53600
58,2024-08-30 00:00:00+05:30,527.05,554.0,521.2,522.05,32000
59,2024-09-02 00:00:00+05:30,522.05,536.0,495.95,495.95,58400
60,2024-09-03 00:00:00+05:30,489.8,492.0,471.15,478.65,165600
61,2024-09-04 00:00:00+05:30,461.3,479.0,461.3,469.9,64000
62,2024-09-05 00:00:00+05:30,466.0,493.35,465.0,493.35,120000
63,2024-09-06 00:00:00+05:30,485.0,511.9,470.0,481.45,67200
