,date,open,high,low,close,volume
0,2025-05-23 09:15:00+05:30,91.0,91.7,89.85,90.85,1696403
1,2025-05-23 09:20:00+05:30,90.65,91.2,90.55,91.2,516369
2,2025-05-23 09:25:00+05:30,91.2,91.65,91.15,91.25,648762
3,2025-05-23 09:30:00+05:30,91.1,91.4,91.0,91.4,253807
4,2025-05-23 09:35:00+05:30,91.3,91.3,90.45,90.5,518395
5,2025-05-23 09:40:00+05:30,90.5,91.0,90.4,91.0,196408
6,2025-05-23 09:45:00+05:30,91.0,91.0,90.75,91.0,168103
7,2025-05-23 09:50:00+05:30,91.0,91.0,90.55,90.75,173743
8,2025-05-23 09:55:00+05:30,90.8,91.0,90.7,90.85,307953
9,2025-05-23 10:00:00+05:30,90.9,90.9,89.65,90.0,653334
10,2025-05-23 10:05:00+05:30,90.0,90.5,90.0,90.15,173212
11,2025-05-23 10:10:00+05:30,90.15,90.25,89.95,90.1,217942
12,2025-05-23 10:15:00+05:30,90.05,90.35,89.75,90.25,275121
13,2025-05-23 10:20:00+05:30,90.35,90.35,89.9,89.9,70741
14,2025-05-23 10:25:00+05:30,89.9,90.15,89.9,90.15,60620
15,2025-05-23 10:30:00+05:30,90.05,90.15,90.0,90.05,54874
16,2025-05-23 10:35:00+05:30,90.05,90.35,89.8,90.05,615053
17,2025-05-23 10:40:00+05:30,90.05,90.25,89.9,90.15,331165
18,2025-05-23 10:45:00+05:30,90.15,90.5,90.1,90.4,139901
19,2025-05-23 10:50:00+05:30,90.3,90.4,90.0,90.05,115661
20,2025-05-23 10:55:00+05:30,90.05,90.2,90.0,90.1,39797
21,2025-05-23 11:00:00+05:30,90.1,90.2,89.9,89.9,154478
22,2025-05-23 11:05:00+05:30,89.9,89.95,89.75,89.85,66047
23,2025-05-23 11:10:00+05:30,89.9,89.95,89.85,89.95,22975
24,2025-05-23 11:15:00+05:30,89.9,89.95,89.8,89.95,102119
25,2025-05-23 11:20:00+05:30,89.95,89.95,89.85,89.95,31644
26,2025-05-23 11:25:00+05:30,89.9,89.95,89.85,89.9,35018
27,2025-05-23 11:30:00+05:30,89.9,89.95,89.85,89.85,36334
28,2025-05-23 11:35:00+05:30,89.9,89.9,89.8,89.85,66021
29,2025-05-23 11:40:00+05:30,89.85,89.9,89.75,89.9,72385
30,2025-05-23 11:45:00+05:30,89.85,90.0,89.8,89.85,270285
31,2025-05-23 11:50:00+05:30,89.85,90.05,89.8,89.95,383383
32,2025-05-23 11:55:00+05:30,89.95,90.0,89.9,89.9,112937
33,2025-05-23 12:00:00+05:30,89.9,90.0,89.9,89.95,23136
34,2025-05-23 12:05:00+05:30,89.95,90.05,89.9,90.0,318073
35,2025-05-23 12:10:00+05:30,89.95,90.0,89.8,89.9,80166
36,2025-05-23 12:15:00+05:30,89.9,89.95,89.8,89.9,44793
37,2025-05-23 12:20:00+05:30,89.85,89.95,89.8,89.85,33257
38,2025-05-23 12:25:00+05:30,89.85,89.95,89.5,89.75,219500
39,2025-05-23 12:30:00+05:30,89.8,89.95,89.7,89.85,97643
40,2025-05-23 12:35:00+05:30,89.9,89.9,89.65,89.65,110806
41,2025-05-23 12:40:00+05:30,89.7,89.7,89.3,89.35,156263
42,2025-05-23 12:45:00+05:30,89.4,89.4,89.0,89.15,495298
43,2025-05-23 12:50:00+05:30,89.1,89.25,89.0,89.15,242841
44,2025-05-23 12:55:00+05:30,89.1,89.15,88.85,89.1,138636
45,2025-05-23 13:00:00+05:30,89.15,89.2,88.7,89.0,462254
46,2025-05-23 13:05:00+05:30,89.0,89.05,88.7,88.8,183181
47,2025-05-23 13:10:00+05:30,88.8,88.85,88.55,88.65,355923
48,2025-05-23 13:15:00+05:30,88.65,88.95,88.6,88.7,397095
49,2025-05-23 13:20:00+05:30,88.75,88.95,88.7,88.8,416684
50,2025-05-23 13:25:00+05:30,88.8,89.15,88.8,89.05,149568
51,2025-05-23 13:30:00+05:30,89.0,89.15,88.85,89.0,126088
52,2025-05-23 13:35:00+05:30,88.95,89.1,88.9,88.9,122094
53,2025-05-23 13:40:00+05:30,88.9,89.05,88.85,88.85,105473
54,2025-05-23 13:45:00+05:30,88.85,89.0,88.7,88.75,245307
55,2025-05-23 13:50:00+05:30,88.75,89.0,88.7,88.85,221721
56,2025-05-23 13:55:00+05:30,88.8,89.15,88.8,89.1,170982
57,2025-05-23 14:00:00+05:30,89.1,89.6,89.1,89.35,335232
58,2025-05-23 14:05:00+05:30,89.35,89.35,88.95,89.05,108440
59,2025-05-23 14:10:00+05:30,89.0,89.05,88.85,88.9,98283
60,2025-05-23 14:15:00+05:30,88.85,89.0,88.85,88.95,85672
61,2025-05-23 14:20:00+05:30,88.95,88.95,88.7,88.8,227597
62,2025-05-23 14:25:00+05:30,88.75,88.95,88.75,88.9,118008
63,2025-05-23 14:30:00+05:30,88.9,89.05,88.8,89.0,97719
64,2025-05-23 14:35:00+05:30,89.0,89.05,88.75,88.8,167394
65,2025-05-23 14:40:00+05:30,88.85,88.9,88.6,88.7,209788
66,2025-05-23 14:45:00+05:30,88.6,88.7,88.55,88.6,197354
67,2025-05-23 14:50:00+05:30,88.6,88.8,88.6,88.7,251129
68,2025-05-23 14:55:00+05:30,88.7,88.8,88.45,88.5,231867
69,2025-05-23 15:00:00+05:30,88.5,88.5,88.35,88.45,205121
70,2025-05-23 15:05:00+05:30,88.45,88.6,88.35,88.4,231492
71,2025-05-23 15:10:00+05:30,88.35,88.4,88.05,88.2,365940
72,2025-05-23 15:15:00+05:30,88.1,88.4,88.0,88.3,755229
73,2025-05-23 15:20:00+05:30,88.25,89.4,87.9,89.05,951018
74,2025-05-23 15:25:00+05:30,89.25,89.6,88.8,88.85,677548
75,2025-05-26 09:15:00+05:30,90.2,90.25,88.25,88.25,1137044
76,2025-05-26 09:20:00+05:30,88.35,89.3,88.15,89.05,527574
77,2025-05-26 09:25:00+05:30,89.0,89.0,88.5,88.95,256625
78,2025-05-26 09:30:00+05:30,88.85,89.6,88.85,89.45,374388
79,2025-05-26 09:35:00+05:30,89.45,89.6,89.25,89.35,219599
80,2025-05-26 09:40:00+05:30,89.35,89.35,88.6,88.75,338408
81,2025-05-26 09:45:00+05:30,88.65,88.95,88.65,88.75,85998
82,2025-05-26 09:50:00+05:30,88.75,89.0,88.7,88.95,115249
83,2025-05-26 09:55:00+05:30,88.95,88.95,88.75,88.85,29151
84,2025-05-26 10:00:00+05:30,88.85,89.0,88.7,88.8,80600
85,2025-05-26 10:05:00+05:30,88.8,88.8,88.6,88.75,61574
86,2025-05-26 10:10:00+05:30,88.75,88.8,88.55,88.7,44670
87,2025-05-26 10:15:00+05:30,88.7,88.7,88.45,88.6,113177
88,2025-05-26 10:20:00+05:30,88.6,88.95,88.55,88.85,132827
89,2025-05-26 10:25:00+05:30,88.85,88.95,88.75,88.9,55376
90,2025-05-26 10:30:00+05:30,88.9,88.9,88.6,88.65,60163
91,2025-05-26 10:35:00+05:30,88.7,88.7,88.45,88.5,67025
92,2025-05-26 10:40:00+05:30,88.5,88.5,88.0,88.15,239795
93,2025-05-26 10:45:00+05:30,88.15,88.25,87.8,88.1,138935
94,2025-05-26 10:50:00+05:30,88.1,88.1,87.85,87.95,99970
95,2025-05-26 10:55:00+05:30,87.95,88.0,87.8,87.85,82513
96,2025-05-26 11:00:00+05:30,87.95,87.95,87.7,87.75,176750
97,2025-05-26 11:05:00+05:30,87.75,87.8,87.6,87.7,113313
98,2025-05-26 11:10:00+05:30,87.75,87.75,87.5,87.6,149596
99,2025-05-26 11:15:00+05:30,87.6,87.65,87.45,87.5,129484
100,2025-05-26 11:20:00+05:30,87.4,87.5,87.2,87.25,144873
101,2025-05-26 11:25:00+05:30,87.25,87.25,86.9,87.0,246218
102,2025-05-26 11:30:00+05:30,87.0,87.1,86.9,87.0,150965
103,2025-05-26 11:35:00+05:30,86.95,87.1,86.9,86.95,125082
104,2025-05-26 11:40:00+05:30,86.95,86.95,86.55,86.55,262009
105,2025-05-26 11:45:00+05:30,86.65,86.8,86.6,86.75,224186
106,2025-05-26 11:50:00+05:30,86.75,86.85,86.55,86.65,176749
107,2025-05-26 11:55:00+05:30,86.65,86.7,86.4,86.45,264659
108,2025-05-26 12:00:00+05:30,86.45,86.5,86.2,86.3,260485
109,2025-05-26 12:05:00+05:30,86.3,86.4,86.2,86.3,197783
110,2025-05-26 12:10:00+05:30,86.25,86.4,86.2,86.4,138964
111,2025-05-26 12:15:00+05:30,86.35,86.7,86.2,86.65,272776
112,2025-05-26 12:20:00+05:30,86.65,86.7,86.35,86.35,129274
