,date,open,high,low,close,volume
0,2025-06-02 09:15:00+05:30,86.0,86.51,85.45,85.98,965474
1,2025-06-02 09:30:00+05:30,85.95,86.7,85.66,86.66,516099
2,2025-06-02 09:45:00+05:30,86.65,86.69,86.38,86.44,166426
3,2025-06-02 10:00:00+05:30,86.44,86.65,86.24,86.53,156208
4,2025-06-02 10:15:00+05:30,86.5,86.65,86.1,86.63,218933
5,2025-06-02 10:30:00+05:30,86.63,86.95,86.52,86.8,407045
6,2025-06-02 10:45:00+05:30,86.8,86.83,86.61,86.64,83427
7,2025-06-02 11:00:00+05:30,86.64,87.25,86.55,87.05,377130
8,2025-06-02 11:15:00+05:30,87.05,87.2,86.93,87.04,199599
9,2025-06-02 11:30:00+05:30,87.04,87.2,86.96,86.96,224162
10,2025-06-02 11:45:00+05:30,86.96,87.05,86.75,86.81,138028
11,2025-06-02 12:00:00+05:30,86.81,87.09,86.7,87.09,166978
12,2025-06-02 12:15:00+05:30,87.09,87.16,86.72,86.83,173346
13,2025-06-02 12:30:00+05:30,86.9,87.39,86.82,87.13,323317
14,2025-06-02 12:45:00+05:30,87.15,87.19,86.53,86.56,605338
15,2025-06-02 13:00:00+05:30,86.56,86.88,86.55,86.88,370883
16,2025-06-02 13:15:00+05:30,86.88,87.43,86.85,87.41,382820
17,2025-06-02 13:30:00+05:30,87.38,87.65,87.35,87.6,404963
18,2025-06-02 13:45:00+05:30,87.59,87.8,87.59,87.67,280775
19,2025-06-02 14:00:00+05:30,87.67,87.67,87.44,87.54,274615
20,2025-06-02 14:15:00+05:30,87.53,87.75,87.53,87.63,168874
21,2025-06-02 14:30:00+05:30,87.63,87.77,87.52,87.6,176884
22,2025-06-02 14:45:00+05:30,87.58,87.75,87.58,87.68,232181
23,2025-06-02 15:00:00+05:30,87.68,87.74,87.6,87.65,272943
24,2025-06-02 15:15:00+05:30,87.63,87.67,87.33,87.5,729272
25,2025-06-03 09:15:00+05:30,87.8,87.95,87.35,87.89,404784
26,2025-06-03 09:30:00+05:30,87.88,88.04,87.69,87.72,183853
27,2025-06-03 09:45:00+05:30,87.72,87.73,87.2,87.24,111884
28,2025-06-03 10:00:00+05:30,87.24,87.51,87.17,87.48,118282
29,2025-06-03 10:15:00+05:30,87.48,87.54,87.17,87.17,61971
30,2025-06-03 10:30:00+05:30,87.17,87.25,86.91,86.95,147007
31,2025-06-03 10:45:00+05:30,86.99,87.48,86.95,87.2,97146
32,2025-06-03 11:00:00+05:30,87.2,87.34,87.1,87.1,66242
33,2025-06-03 11:15:00+05:30,87.09,87.19,87.0,87.04,63361
34,2025-06-03 11:30:00+05:30,87.02,87.04,86.76,86.9,125971
35,2025-06-03 11:45:00+05:30,86.9,87.0,86.8,86.98,73083
36,2025-06-03 12:00:00+05:30,86.95,87.05,86.9,86.96,50574
37,2025-06-03 12:15:00+05:30,86.96,86.99,86.66,86.71,109719
38,2025-06-03 12:30:00+05:30,86.71,86.81,86.68,86.75,44119
39,2025-06-03 12:45:00+05:30,86.8,86.82,86.4,86.48,134059
40,2025-06-03 13:00:00+05:30,86.48,86.51,86.1,86.36,199735
41,2025-06-03 13:15:00+05:30,86.36,86.36,86.21,86.21,62107
42,2025-06-03 13:30:00+05:30,86.21,86.31,86.06,86.1,174810
43,2025-06-03 13:45:00+05:30,86.1,86.23,86.02,86.05,106311
44,2025-06-03 14:00:00+05:30,86.1,86.25,86.07,86.14,70662
45,2025-06-03 14:15:00+05:30,86.14,86.17,86.01,86.07,110499
46,2025-06-03 14:30:00+05:30,86.07,86.29,86.05,86.24,79466
47,2025-06-03 14:45:00+05:30,86.24,86.36,86.11,86.24,154714
48,2025-06-03 15:00:00+05:30,86.23,86.26,85.9,86.02,310715
49,2025-06-03 15:15:00+05:30,86.02,86.05,85.85,85.99,353426
50,2025-06-04 09:15:00+05:30,81.7,81.7,78.25,79.12,143171480
51,2025-06-04 09:30:00+05:30,79.12,79.25,77.6,77.64,12901620
52,2025-06-04 09:45:00+05:30,77.69,77.7,77.4,77.4,3931344
53,2025-06-04 10:00:00+05:30,77.4,77.4,73.1,76.86,16199969
54,2025-06-04 10:15:00+05:30,76.87,77.39,76.5,77.21,4669876
55,2025-06-04 10:30:00+05:30,77.22,77.75,76.98,77.67,5438439
56,2025-06-04 10:45:00+05:30,77.6,78.18,77.6,78.08,6724674
57,2025-06-04 11:00:00+05:30,78.08,78.28,77.54,77.74,3876098
58,2025-06-04 11:15:00+05:30,77.78,78.09,77.63,77.99,2558899
59,2025-06-04 11:30:00+05:30,78.0,78.0,77.17,77.25,2632526
60,2025-06-04 11:45:00+05:30,77.25,77.39,76.76,76.79,3020026
61,2025-06-04 12:00:00+05:30,76.79,77.3,76.68,77.27,2343369
62,2025-06-04 12:15:00+05:30,77.25,77.3,77.04,77.16,1046514
63,2025-06-04 12:30:00+05:30,77.16,77.4,77.0,77.26,1550822
64,2025-06-04 12:45:00+05:30,77.26,77.32,77.1,77.15,1207902
65,2025-06-04 13:00:00+05:30,77.14,77.35,77.08,77.17,1206945
66,2025-06-04 13:15:00+05:30,77.11,77.48,77.09,77.47,1420432
67,2025-06-04 13:30:00+05:30,77.47,77.47,77.14,77.18,992652
68,2025-06-04 13:45:00+05:30,77.18,77.3,77.03,77.19,1183949
69,2025-06-04 14:00:00+05:30,77.19,77.24,77.08,77.14,999306
70,2025-06-04 14:15:00+05:30,77.14,77.14,76.8,76.94,2456902
71,2025-06-04 14:30:00+05:30,76.94,77.2,76.9,77.1,3336777
72,2025-06-04 14:45:00+05:30,77.1,77.15,76.74,76.93,3913599
73,2025-06-04 15:00:00+05:30,76.94,76.99,76.63,76.74,8366007
74,2025-06-04 15:15:00+05:30,76.72,77.1,76.67,77.08,7318836
75,2025-06-05 09:15:00+05:30,77.3,77.5,76.81,77.05,3153200
76,2025-06-05 09:30:00+05:30,77.06,77.07,76.31,76.5,1786090
77,2025-06-05 09:45:00+05:30,76.5,76.67,76.4,76.56,770797
78,2025-06-05 10:00:00+05:30,76.6,76.68,76.3,76.34,855526
79,2025-06-05 10:15:00+05:30,76.34,76.55,76.1,76.51,910372
80,2025-06-05 10:30:00+05:30,76.5,76.65,76.36,76.65,403605
81,2025-06-05 10:45:00+05:30,76.65,76.85,76.62,76.85,564853
82,2025-06-05 11:00:00+05:30,76.84,77.07,76.75,77.0,639605
83,2025-06-05 11:15:00+05:30,77.0,77.19,76.94,77.07,569547
84,2025-06-05 11:30:00+05:30,77.08,77.25,76.92,77.22,612206
85,2025-06-05 11:45:00+05:30,77.22,77.4,77.2,77.35,563133
86,2025-06-05 12:00:00+05:30,77.35,77.39,76.85,76.86,472273
87,2025-06-05 12:15:00+05:30,76.87,76.9,76.63,76.67,471803
88,2025-06-05 12:30:00+05:30,76.69,76.77,76.52,76.74,575333
89,2025-06-05 12:45:00+05:30,76.74,76.74,76.5,76.58,381925
90,2025-06-05 13:00:00+05:30,76.58,76.59,76.33,76.48,544103
91,2025-06-05 13:15:00+05:30,76.48,76.59,76.32,76.33,272025
92,2025-06-05 13:30:00+05:30,76.3,76.5,76.21,76.29,563392
93,2025-06-05 13:45:00+05:30,76.29,76.63,76.22,76.51,636872
94,2025-06-05 14:00:00+05:30,76.5,76.55,76.37,76.37,390785
95,2025-06-05 14:15:00+05:30,76.41,76.44,76.21,76.3,357610
96,2025-06-05 14:30:00+05:30,76.32,76.35,76.2,76.29,415433
97,2025-06-05 14:45:00+05:30,76.25,76.45,76.22,76.45,479639
98,2025-06-05 15:00:00+05:30,76.45,76.98,76.45,76.85,1645450
99,2025-06-05 15:15:00+05:30,76.89,77.28,76.71,77.1,1879770
100,2025-06-06 09:15:00+05:30,77.38,77.39,76.62,76.8,1312295
101,2025-06-06 09:30:00+05:30,76.8,76.98,76.4,76.8,757156
102,2025-06-06 09:45:00+05:30,76.8,76.86,76.52,76.55,356378
103,2025-06-06 10:00:00+05:30,76.6,76.92,76.52,76.71,310989
104,2025-06-06 10:15:00+05:30,76.71,76.8,76.56,76.76,278990
105,2025-06-06 10:30:00+05:30,76.78,76.83,76.56,76.63,299594
106,2025-06-06 10:45:00+05:30,76.63,76.72,76.56,76.65,186514
107,2025-06-06 11:00:00+05:30,76.67,76.73,76.3,76.61,813180
108,2025-06-06 11:15:00+05:30,76.6,77.24,76.55,77.13,809187
109,2025-06-06 11:30:00+05:30,77.08,77.22,77.0,77.15,286091
110,2025-06-06 11:45:00+05:30,77.16,77.32,76.71,76.84,573179
111,2025-06-06 12:00:00+05:30,76.81,76.87,76.63,76.72,257758
112,2025-06-06 12:15:00+05:30,76.72,77.33,76.67,77.1,1417228
113,2025-06-06 12:30:00+05:30,77.13,77.15,77.05,77.09,101585
114,2025-06-06 12:45:00+05:30,77.09,77.13,77.0,77.03,135085
115,2025-06-06 13:00:00+05:30,77.07,77.14,76.96,77.05,170971
116,2025-06-06 13:15:00+05:30,77.08,77.14,77.05,77.12,83978
117,2025-06-06 13:30:00+05:30,77.13,77.28,77.12,77.16,193382
118,2025-06-06 13:45:00+05:30,77.21,77.25,77.09,77.15,159847
119,2025-06-06 14:00:00+05:30,77.15,77.19,77.03,77.09,188291
120,2025-06-06 14:15:00+05:30,77.05,77.26,77.05,77.16,132908
121,2025-06-06 14:30:00+05:30,77.16,77.8,77.12,77.75,1095587
122,2025-06-06 14:45:00+05:30,77.71,78.19,77.56,77.96,1407193
123,2025-06-06 15:00:00+05:30,77.96,78.0,77.7,77.82,800317
124,2025-06-06 15:15:00+05:30,77.82,77.87,77.59,77.74,876422
125,2025-06-09 09:15:00+05:30,78.25,78.29,77.63,77.77,1060278
126,2025-06-09 09:30:00+05:30,77.75,77.8,77.55,77.66,900827
127,2025-06-09 09:45:00+05:30,77.62,77.89,77.6,77.89,807753
128,2025-06-09 10:00:00+05:30,77.76,77.9,77.57,77.74,951965
129,2025-06-09 10:15:00+05:30,77.73,77.75,77.61,77.65,329610
130,2025-06-09 10:30:00+05:30,77.65,77.79,77.55,77.71,1135324
131,2025-06-09 10:45:00+05:30,77.7,77.77,77.01,77.29,1426097
132,2025-06-09 11:00:00+05:30,77.29,77.39,77.21,77.39,299694
133,2025-06-09 11:15:00+05:30,77.39,77.42,77.26,77.3,137271
134,2025-06-09 11:30:00+05:30,77.3,77.32,77.22,77.29,154382
135,2025-06-09 11:45:00+05:30,77.26,77.33,77.24,77.32,122656
136,2025-06-09 12:00:00+05:30,77.29,77.43,77.28,77.4,160503
137,2025-06-09 12:15:00+05:30,77.4,77.45,77.35,77.35,187003
138,2025-06-09 12:30:00+05:30,77.35,77.42,77.31,77.31,165781
139,2025-06-09 12:45:00+05:30,77.32,77.45,77.2,77.41,786346
140,2025-06-09 13:00:00+05:30,77.41,77.45,77.11,77.21,596889
141,2025-06-09 13:15:00+05:30,77.2,77.3,77.17,77.21,195565
142,2025-06-09 13:30:00+05:30,77.21,77.27,77.2,77.2,104140
143,2025-06-09 13:45:00+05:30,77.2,77.35,77.2,77.3,168685
144,2025-06-09 14:00:00+05:30,77.3,77.3,77.2,77.2,132424
145,2025-06-09 14:15:00+05:30,77.2,77.25,77.2,77.24,110898
146,2025-06-09 14:30:00+05:30,77.24,77.34,77.2,77.32,129632
147,2025-06-09 14:45:00+05:30,77.33,77.4,77.28,77.33,244044
148,2025-06-09 15:00:00+05:30,77.33,77.5,77.25,77.35,783200
149,2025-06-09 15:15:00+05:30,77.35,77.4,77.21,77.33,725759
150,2025-06-10 09:15:00+05:30,77.5,77.74,77.26,77.3,1097819
151,2025-06-10 09:30:00+05:30,77.3,77.3,76.87,77.19,1329179
152,2025-06-10 09:45:00+05:30,77.18,77.19,76.95,77.06,358809
153,2025-06-10 10:00:00+05:30,77.08,77.2,77.02,77.08,149059
154,2025-06-10 10:15:00+05:30,77.1,77.18,77.0,77.1,223733
155,2025-06-10 10:30:00+05:30,77.07,77.15,77.01,77.08,129449
156,2025-06-10 10:45:00+05:30,77.08,77.18,76.95,76.96,302375
157,2025-06-10 11:00:00+05:30,76.96,77.04,76.94,77.0,163383
158,2025-06-10 11:15:00+05:30,77.0,77.14,76.97,77.05,127698
159,2025-06-10 11:30:00+05:30,77.01,77.1,77.0,77.05,104510
160,2025-06-10 11:45:00+05:30,77.07,77.13,77.01,77.01,125058
161,2025-06-10 12:00:00+05:30,77.01,77.07,77.0,77.02,148323
162,2025-06-10 12:15:00+05:30,77.03,77.08,76.87,76.92,234642
163,2025-06-10 12:30:00+05:30,76.92,77.0,76.87,76.96,99899
164,2025-06-10 12:45:00+05:30,76.96,77.08,76.94,77.08,171541
165,2025-06-10 13:00:00+05:30,77.08,77.08,76.93,77.03,79752
166,2025-06-10 13:15:00+05:30,77.03,77.03,76.92,76.99,80488
167,2025-06-10 13:30:00+05:30,76.99,77.05,76.98,77.04,65175
168,2025-06-10 13:45:00+05:30,77.01,77.05,76.9,76.93,128055
169,2025-06-10 14:00:00+05:30,76.93,77.01,76.88,76.92,207599
170,2025-06-10 14:15:00+05:30,76.92,76.97,76.87,76.89,126750
171,2025-06-10 14:30:00+05:30,76.93,76.93,76.8,76.84,223788
172,2025-06-10 14:45:00+05:30,76.88,76.89,76.52,76.64,493543
173,2025-06-10 15:00:00+05:30,76.62,76.87,76.54,76.78,504963
174,2025-06-10 15:15:00+05:30,76.81,76.81,76.5,76.66,803724
175,2025-06-11 09:15:00+05:30,76.66,77.14,76.66,76.97,684425
176,2025-06-11 09:30:00+05:30,76.97,77.25,76.84,77.16,549144
177,2025-06-11 09:45:00+05:30,77.2,77.69,77.03,77.61,1609797
178,2025-06-11 10:00:00+05:30,77.61,78.12,77.56,77.87,1441256
179,2025-06-11 10:15:00+05:30,77.88,78.2,77.63,78.08,810160
180,2025-06-11 10:30:00+05:30,78.07,78.12,77.65,77.68,512268
181,2025-06-11 10:45:00+05:30,77.68,77.9,77.64,77.77,349384
182,2025-06-11 11:00:00+05:30,77.77,77.8,77.6,77.69,196437
183,2025-06-11 11:15:00+05:30,77.69,77.7,77.6,77.64,102331
184,2025-06-11 11:30:00+05:30,77.65,77.75,77.6,77.71,184492
185,2025-06-11 11:45:00+05:30,77.71,77.89,77.6,77.6,266442
186,2025-06-11 12:00:00+05:30,77.6,77.6,77.4,77.42,217138
187,2025-06-11 12:15:00+05:30,77.42,77.44,77.29,77.4,159937
188,2025-06-11 12:30:00+05:30,77.36,77.39,77.21,77.24,191612
189,2025-06-11 12:45:00+05:30,77.24,77.3,77.21,77.23,89438
190,2025-06-11 13:00:00+05:30,77.22,77.3,77.15,77.18,114037
191,2025-06-11 13:15:00+05:30,77.17,77.23,77.0,77.04,306606
192,2025-06-11 13:30:00+05:30,77.0,77.18,76.91,77.1,260491
193,2025-06-11 13:45:00+05:30,77.1,77.1,76.86,76.96,289231
194,2025-06-11 14:00:00+05:30,76.97,77.03,76.88,76.99,141434
195,2025-06-11 14:15:00+05:30,76.99,77.06,76.9,76.91,155118
196,2025-06-11 14:30:00+05:30,76.91,77.11,76.91,77.1,105308
197,2025-06-11 14:45:00+05:30,77.1,77.24,77.06,77.22,173708
198,2025-06-11 15:00:00+05:30,77.23,77.47,77.07,77.38,610606
199,2025-06-11 15:15:00+05:30,77.4,77.42,77.21,77.26,493622
200,2025-06-12 09:15:00+05:30,77.5,77.59,77.0,77.05,403196
201,2025-06-12 09:30:00+05:30,77.05,77.15,76.85,76.9,363271
202,2025-06-12 09:45:00+05:30,76.88,77.07,76.85,77.0,185745
203,2025-06-12 10:00:00+05:30,77.0,77.0,76.85,76.94,127904
204,2025-06-12 10:15:00+05:30,76.94,76.98,76.92,76.96,62961
205,2025-06-12 10:30:00+05:30,76.96,77.05,76.9,76.9,107976
206,2025-06-12 10:45:00+05:30,76.95,76.95,76.82,76.87,139159
207,2025-06-12 11:00:00+05:30,76.87,76.92,76.85,76.9,66985
208,2025-06-12 11:15:00+05:30,76.86,76.9,76.25,76.53,1232576
209,2025-06-12 11:30:00+05:30,76.53,76.56,76.4,76.41,115549
210,2025-06-12 11:45:00+05:30,76.44,76.47,76.32,76.38,149823
211,2025-06-12 12:00:00+05:30,76.37,76.41,76.3,76.33,86706
212,2025-06-12 12:15:00+05:30,76.32,76.38,76.31,76.37,66649
213,2025-06-12 12:30:00+05:30,76.37,76.58,76.33,76.4,175758
214,2025-06-12 12:45:00+05:30,76.42,76.55,76.37,76.51,221501
215,2025-06-12 13:00:00+05:30,76.51,76.53,76.4,76.43,73509
216,2025-06-12 13:15:00+05:30,76.43,76.47,76.28,76.3,102741
217,2025-06-12 13:30:00+05:30,76.29,76.29,76.01,76.08,852220
218,2025-06-12 13:45:00+05:30,76.08,76.21,75.6,75.66,816023
219,2025-06-12 14:00:00+05:30,75.66,75.67,75.36,75.46,574953
220,2025-06-12 14:15:00+05:30,75.5,75.81,75.46,75.68,423164
221,2025-06-12 14:30:00+05:30,75.69,75.8,75.57,75.67,540894
222,2025-06-12 14:45:00+05:30,75.69,75.73,75.5,75.69,141671
223,2025-06-12 15:00:00+05:30,75.69,75.72,75.49,75.51,303420
224,2025-06-12 15:15:00+05:30,75.51,75.51,74.8,74.98,1305362
225,2025-06-13 09:15:00+05:30,73.5,74.45,70.55,74.19,1512649
226,2025-06-13 09:30:00+05:30,74.18,74.56,73.76,74.0,660602
227,2025-06-13 09:45:00+05:30,73.99,74.04,73.38,74.01,640596
228,2025-06-13 10:00:00+05:30,73.99,74.19,73.88,74.19,324029
229,2025-06-13 10:15:00+05:30,74.15,74.35,74.05,74.32,115497
230,2025-06-13 10:30:00+05:30,74.32,74.38,74.25,74.32,183280
231,2025-06-13 10:45:00+05:30,74.3,74.37,74.03,74.16,168190
232,2025-06-13 11:00:00+05:30,74.09,74.25,73.98,74.06,265313
233,2025-06-13 11:15:00+05:30,74.07,74.22,74.05,74.16,95355
234,2025-06-13 11:30:00+05:30,74.16,74.22,74.12,74.2,58422
235,2025-06-13 11:45:00+05:30,74.19,74.2,73.77,73.85,153703
236,2025-06-13 12:00:00+05:30,73.84,73.9,73.68,73.7,189206
237,2025-06-13 12:15:00+05:30,73.7,73.75,73.57,73.63,212971
238,2025-06-13 12:30:00+05:30,73.61,73.9,73.5,73.67,258746
239,2025-06-13 12:45:00+05:30,73.66,73.7,73.55,73.55,118977
240,2025-06-13 13:00:00+05:30,73.55,73.59,73.33,73.37,417373
241,2025-06-13 13:15:00+05:30,73.35,73.63,73.34,73.52,242580
242,2025-06-13 13:30:00+05:30,73.5,73.72,73.43,73.45,140105
243,2025-06-13 13:45:00+05:30,73.44,73.55,73.43,73.51,191039
244,2025-06-13 14:00:00+05:30,73.5,73.64,73.46,73.53,84338
245,2025-06-13 14:15:00+05:30,73.52,73.63,73.46,73.58,168621
246,2025-06-13 14:30:00+05:30,73.58,73.69,73.48,73.5,231829
247,2025-06-13 14:45:00+05:30,73.5,73.58,73.43,73.49,242124
248,2025-06-13 15:00:00+05:30,73.48,73.84,73.45,73.72,849601
249,2025-06-13 15:15:00+05:30,73.72,74.54,73.65,74.41,945661
250,2025-06-16 09:15:00+05:30,74.3,74.4,73.72,73.78,535707
251,2025-06-16 09:30:00+05:30,73.78,73.78,73.3,73.39,511026
252,2025-06-16 09:45:00+05:30,73.41,73.49,73.08,73.36,340554
253,2025-06-16 10:00:00+05:30,73.36,73.75,73.3,73.64,115585
254,2025-06-16 10:15:00+05:30,73.67,73.78,73.56,73.7,167004
255,2025-06-16 10:30:00+05:30,73.7,73.82,73.55,73.6,125272
256,2025-06-16 10:45:00+05:30,73.56,73.92,73.56,73.87,255590
257,2025-06-16 11:00:00+05:30,73.87,74.15,73.87,74.02,190785
258,2025-06-16 11:15:00+05:30,74.02,74.06,73.73,73.88,206836
259,2025-06-16 11:30:00+05:30,73.88,74.17,73.85,74.05,128856
260,2025-06-16 11:45:00+05:30,74.05,74.11,74.02,74.05,67030
261,2025-06-16 12:00:00+05:30,74.05,74.24,74.05,74.15,76605
262,2025-06-16 12:15:00+05:30,74.13,74.43,73.61,74.14,533682
263,2025-06-16 12:30:00+05:30,74.09,74.65,74.09,74.33,330889
264,2025-06-16 12:45:00+05:30,74.33,74.4,74.24,74.28,73233
265,2025-06-16 13:00:00+05:30,74.28,74.5,74.27,74.46,70264
266,2025-06-16 13:15:00+05:30,74.46,74.65,74.38,74.62,167188
267,2025-06-16 13:30:00+05:30,74.63,74.74,74.63,74.7,110275
268,2025-06-16 13:45:00+05:30,74.71,74.85,74.65,74.76,242437
269,2025-06-16 14:00:00+05:30,74.76,75.42,74.76,75.35,310356
270,2025-06-16 14:15:00+05:30,75.35,75.36,75.12,75.17,158596
271,2025-06-16 14:30:00+05:30,75.17,75.23,75.11,75.23,76103
272,2025-06-16 14:45:00+05:30,75.23,75.27,74.95,74.98,205586
273,2025-06-16 15:00:00+05:30,74.99,75.05,74.72,74.94,469792
274,2025-06-16 15:15:00+05:30,74.92,75.13,74.91,75.01,362364
275,2025-06-17 09:15:00+05:30,75.0,75.2,74.51,74.66,363983
276,2025-06-17 09:30:00+05:30,74.67,75.27,74.67,75.2,329824
277,2025-06-17 09:45:00+05:30,75.2,75.21,74.86,75.12,270499
278,2025-06-17 10:00:00+05:30,75.1,75.1,74.79,74.88,198656
279,2025-06-17 10:15:00+05:30,74.89,75.27,74.87,75.08,225077
280,2025-06-17 10:30:00+05:30,75.01,75.04,74.9,74.98,44939
281,2025-06-17 10:45:00+05:30,74.87,74.99,74.81,74.9,145177
282,2025-06-17 11:00:00+05:30,74.9,75.36,74.82,75.3,167858
283,2025-06-17 11:15:00+05:30,75.3,75.49,74.91,75.1,285328
284,2025-06-17 11:30:00+05:30,75.1,75.1,74.95,74.98,57074
285,2025-06-17 11:45:00+05:30,74.98,74.98,74.61,74.73,193423
286,2025-06-17 12:00:00+05:30,74.7,74.77,74.63,74.68,47218
287,2025-06-17 12:15:00+05:30,74.68,74.77,74.62,74.62,52914
288,2025-06-17 12:30:00+05:30,74.62,74.7,74.55,74.65,67169
289,2025-06-17 12:45:00+05:30,74.61,74.68,74.34,74.44,173425
290,2025-06-17 13:00:00+05:30,74.44,74.63,74.38,74.6,86351
291,2025-06-17 13:15:00+05:30,74.6,74.64,74.49,74.54,47803
292,2025-06-17 13:30:00+05:30,74.54,74.64,74.5,74.55,52637
293,2025-06-17 13:45:00+05:30,74.56,74.69,74.5,74.6,61673
294,2025-06-17 14:00:00+05:30,74.6,74.92,74.55,74.88,139957
295,2025-06-17 14:15:00+05:30,74.88,74.99,74.79,74.9,85516
296,2025-06-17 14:30:00+05:30,74.9,74.95,74.59,74.67,205346
297,2025-06-17 14:45:00+05:30,74.71,74.8,74.59,74.66,47513
298,2025-06-17 15:00:00+05:30,74.63,74.93,74.58,74.76,149253
299,2025-06-17 15:15:00+05:30,74.78,74.78,74.52,74.57,229677
300,2025-06-18 09:15:00+05:30,74.6,74.86,74.25,74.85,484224
301,2025-06-18 09:30:00+05:30,74.83,75.29,74.7,75.13,465416
302,2025-06-18 09:45:00+05:30,75.12,75.61,75.12,75.13,412192
303,2025-06-18 10:00:00+05:30,75.16,75.35,75.06,75.35,113879
304,2025-06-18 10:15:00+05:30,75.35,75.48,75.1,75.15,132487
305,2025-06-18 10:30:00+05:30,75.12,75.26,74.96,75.1,142727
306,2025-06-18 10:45:00+05:30,75.1,75.12,74.89,75.04,53798
307,2025-06-18 11:00:00+05:30,75.05,75.05,74.88,74.98,91824
308,2025-06-18 11:15:00+05:30,74.98,75.05,74.85,74.95,46797
309,2025-06-18 11:30:00+05:30,74.93,74.95,74.71,74.91,91692
310,2025-06-18 11:45:00+05:30,74.92,74.92,74.76,74.81,60097
