,date,open,high,low,close,volume
0,2025-07-02 09:15:00+05:30,74.51,74.67,74.3,74.46,121539
1,2025-07-02 09:20:00+05:30,74.42,74.43,74.19,74.38,128468
2,2025-07-02 09:25:00+05:30,74.38,74.55,74.31,74.55,166257
3,2025-07-02 09:30:00+05:30,74.57,74.69,74.41,74.44,71393
4,2025-07-02 09:35:00+05:30,74.44,74.56,74.3,74.39,212779
5,2025-07-02 09:40:00+05:30,74.36,74.61,74.34,74.55,301430
6,2025-07-02 09:45:00+05:30,74.55,74.55,74.35,74.53,1853181
7,2025-07-02 09:50:00+05:30,74.53,74.55,74.15,74.15,687232
8,2025-07-02 09:55:00+05:30,74.15,74.4,74.15,74.3,266953
9,2025-07-02 10:00:00+05:30,74.3,74.49,74.26,74.32,108325
10,2025-07-02 10:05:00+05:30,74.34,74.35,74.2,74.28,92584
11,2025-07-02 10:10:00+05:30,74.32,74.33,74.09,74.19,176363
12,2025-07-02 10:15:00+05:30,74.19,74.19,74.04,74.14,213188
13,2025-07-02 10:20:00+05:30,74.13,74.41,74.1,74.35,209211
14,2025-07-02 10:25:00+05:30,74.35,74.5,74.31,74.35,560438
15,2025-07-02 10:30:00+05:30,74.37,74.68,74.34,74.55,650762
16,2025-07-02 10:35:00+05:30,74.55,74.65,74.51,74.54,109851
17,2025-07-02 10:40:00+05:30,74.51,74.54,74.37,74.38,841695
18,2025-07-02 10:45:00+05:30,74.33,74.33,74.1,74.21,64414
19,2025-07-02 10:50:00+05:30,74.21,74.24,74.11,74.18,59816
20,2025-07-02 10:55:00+05:30,74.21,74.44,74.19,74.3,86758
21,2025-07-02 11:00:00+05:30,74.3,74.53,74.26,74.48,81647
22,2025-07-02 11:05:00+05:30,74.49,74.52,74.4,74.4,815486
23,2025-07-02 11:10:00+05:30,74.41,74.5,74.4,74.49,52910
24,2025-07-02 11:15:00+05:30,74.49,74.52,74.4,74.48,97736
25,2025-07-02 11:20:00+05:30,74.48,74.57,74.45,74.5,161439
26,2025-07-02 11:25:00+05:30,74.48,74.5,74.4,74.45,72398
27,2025-07-02 11:30:00+05:30,74.48,74.52,74.43,74.5,121131
28,2025-07-02 11:35:00+05:30,74.5,74.59,74.45,74.53,67734
29,2025-07-02 11:40:00+05:30,74.53,74.88,74.52,74.84,136175
30,2025-07-02 11:45:00+05:30,74.88,74.93,74.46,74.5,433996
31,2025-07-02 11:50:00+05:30,74.5,74.53,74.45,74.52,136104
32,2025-07-02 11:55:00+05:30,74.52,74.52,74.44,74.45,84508
33,2025-07-02 12:00:00+05:30,74.48,74.48,74.32,74.39,91214
34,2025-07-02 12:05:00+05:30,74.39,74.46,74.36,74.44,56656
35,2025-07-02 12:10:00+05:30,74.44,74.55,74.37,74.5,192270
36,2025-07-02 12:15:00+05:30,74.5,74.59,74.44,74.5,749363
37,2025-07-02 12:20:00+05:30,74.5,74.5,74.4,74.47,75357
38,2025-07-02 12:25:00+05:30,74.47,74.5,74.38,74.42,68763
39,2025-07-02 12:30:00+05:30,74.43,74.49,74.37,74.42,97735
40,2025-07-02 12:35:00+05:30,74.42,74.48,74.39,74.47,57955
41,2025-07-02 12:40:00+05:30,74.47,74.49,74.41,74.47,50480
42,2025-07-02 12:45:00+05:30,74.47,74.48,74.41,74.43,56463
43,2025-07-02 12:50:00+05:30,74.43,74.47,74.35,74.44,84207
44,2025-07-02 12:55:00+05:30,74.44,74.64,74.38,74.6,1163075
45,2025-07-02 13:00:00+05:30,74.56,74.8,74.51,74.75,130857
46,2025-07-02 13:05:00+05:30,74.71,74.89,74.69,74.74,141947
47,2025-07-02 13:10:00+05:30,74.72,75.05,74.65,74.66,342795
48,2025-07-02 13:15:00+05:30,74.66,74.66,74.48,74.53,80240
49,2025-07-02 13:20:00+05:30,74.53,74.59,74.42,74.53,66369
50,2025-07-02 13:25:00+05:30,74.49,74.59,74.48,74.53,218894
51,2025-07-02 13:30:00+05:30,74.53,74.66,74.48,74.65,492672
52,2025-07-02 13:35:00+05:30,74.65,75.02,74.61,74.98,394587
53,2025-07-02 13:40:00+05:30,75.0,75.16,74.96,75.03,245924
54,2025-07-02 13:45:00+05:30,75.03,75.1,74.97,75.1,91069
55,2025-07-02 13:50:00+05:30,75.06,76.38,75.06,76.38,1429380
56,2025-07-02 13:55:00+05:30,76.35,76.5,75.91,76.25,1237688
57,2025-07-02 14:00:00+05:30,76.25,76.25,75.88,76.06,525957
58,2025-07-02 14:05:00+05:30,76.06,76.16,75.84,76.02,293060
59,2025-07-02 14:10:00+05:30,76.02,76.4,76.02,76.3,426796
60,2025-07-02 14:15:00+05:30,76.31,76.74,76.22,76.68,760981
61,2025-07-02 14:20:00+05:30,76.63,76.85,76.56,76.61,681938
62,2025-07-02 14:25:00+05:30,76.63,76.78,76.59,76.72,252234
63,2025-07-02 14:30:00+05:30,76.74,76.85,76.59,76.61,472110
64,2025-07-02 14:35:00+05:30,76.65,76.65,76.35,76.45,362050
65,2025-07-02 14:40:00+05:30,76.45,76.68,76.39,76.68,172325
66,2025-07-02 14:45:00+05:30,76.69,76.82,76.54,76.7,382704
67,2025-07-02 14:50:00+05:30,76.74,76.9,76.58,76.89,342693
68,2025-07-02 14:55:00+05:30,76.89,77.75,76.83,77.58,2153014
69,2025-07-02 15:00:00+05:30,77.58,78.05,77.58,77.83,2895080
70,2025-07-02 15:05:00+05:30,77.79,77.88,77.63,77.85,1072580
71,2025-07-02 15:10:00+05:30,77.78,78.3,77.75,78.08,1484371
72,2025-07-02 15:15:00+05:30,78.08,78.25,77.7,77.75,1851399
73,2025-07-02 15:20:00+05:30,77.75,77.87,77.57,77.69,706289
74,2025-07-02 15:25:00+05:30,77.69,77.85,77.58,77.75,499668
75,2025-07-03 09:15:00+05:30,78.05,78.29,77.75,78.02,1429438
76,2025-07-03 09:20:00+05:30,77.96,78.17,77.85,78.0,539875
77,2025-07-03 09:25:00+05:30,77.95,77.98,77.65,77.93,443631
78,2025-07-03 09:30:00+05:30,77.93,78.19,77.88,78.0,302407
79,2025-07-03 09:35:00+05:30,77.99,78.0,77.35,77.41,374385
80,2025-07-03 09:40:00+05:30,77.4,77.66,77.4,77.49,169417
81,2025-07-03 09:45:00+05:30,77.32,77.33,77.03,77.17,335355
82,2025-07-03 09:50:00+05:30,77.17,77.35,77.15,77.29,181226
83,2025-07-03 09:55:00+05:30,77.32,77.32,77.13,77.25,77818
84,2025-07-03 10:00:00+05:30,77.25,77.39,77.15,77.37,75363
85,2025-07-03 10:05:00+05:30,77.34,77.44,77.3,77.39,63919
86,2025-07-03 10:10:00+05:30,77.39,77.39,77.25,77.29,60628
87,2025-07-03 10:15:00+05:30,77.3,77.31,77.25,77.26,41128
88,2025-07-03 10:20:00+05:30,77.26,77.47,77.26,77.33,76253
89,2025-07-03 10:25:00+05:30,77.33,77.48,77.25,77.45,162216
90,2025-07-03 10:30:00+05:30,77.45,77.45,77.25,77.29,132215
91,2025-07-03 10:35:00+05:30,77.3,77.3,77.21,77.24,46219
92,2025-07-03 10:40:00+05:30,77.24,77.24,77.1,77.18,75554
93,2025-07-03 10:45:00+05:30,77.15,77.16,77.0,77.0,158771
94,2025-07-03 10:50:00+05:30,77.0,77.1,76.94,77.1,190782
95,2025-07-03 10:55:00+05:30,77.05,77.12,77.04,77.09,34435
96,2025-07-03 11:00:00+05:30,77.09,77.15,77.02,77.02,34207
97,2025-07-03 11:05:00+05:30,77.03,77.1,76.94,77.01,125425
98,2025-07-03 11:10:00+05:30,77.01,77.01,76.9,76.92,61213
99,2025-07-03 11:15:00+05:30,76.92,77.14,76.9,77.02,130657
100,2025-07-03 11:20:00+05:30,77.02,77.14,77.0,77.12,22198
101,2025-07-03 11:25:00+05:30,77.12,77.24,77.03,77.16,137252
102,2025-07-03 11:30:00+05:30,77.16,77.59,77.06,77.36,339248
103,2025-07-03 11:35:00+05:30,77.36,77.55,77.31,77.4,102971
104,2025-07-03 11:40:00+05:30,77.4,77.4,77.3,77.35,25871
105,2025-07-03 11:45:00+05:30,77.35,77.35,77.18,77.33,71478
106,2025-07-03 11:50:00+05:30,77.33,77.85,77.31,77.71,139592
107,2025-07-03 11:55:00+05:30,77.7,77.85,77.65,77.82,187250
108,2025-07-03 12:00:00+05:30,77.85,77.85,77.65,77.66,82920
109,2025-07-03 12:05:00+05:30,77.68,77.68,77.51,77.65,85565
110,2025-07-03 12:10:00+05:30,77.65,77.79,77.61,77.79,72706
111,2025-07-03 12:15:00+05:30,77.79,77.84,77.36,77.4,164246
112,2025-07-03 12:20:00+05:30,77.4,77.54,77.4,77.49,68156
113,2025-07-03 12:25:00+05:30,77.49,77.55,77.48,77.52,10310
114,2025-07-03 12:30:00+05:30,77.52,77.54,77.43,77.44,73906
115,2025-07-03 12:35:00+05:30,77.44,77.5,77.4,77.43,36894
116,2025-07-03 12:40:00+05:30,77.43,77.54,77.42,77.52,20300
117,2025-07-03 12:45:00+05:30,77.54,77.54,77.45,77.46,25587
118,2025-07-03 12:50:00+05:30,77.46,77.5,77.44,77.46,15020
119,2025-07-03 12:55:00+05:30,77.46,77.48,77.38,77.44,32516
120,2025-07-03 13:00:00+05:30,77.44,77.44,77.38,77.38,30861
121,2025-07-03 13:05:00+05:30,77.38,77.41,77.35,77.36,30112
122,2025-07-03 13:10:00+05:30,77.36,77.4,77.33,77.33,13721
123,2025-07-03 13:15:00+05:30,77.33,77.34,77.2,77.28,134739
124,2025-07-03 13:20:00+05:30,77.28,77.32,77.26,77.28,6497
125,2025-07-03 13:25:00+05:30,77.28,77.33,77.22,77.25,19346
126,2025-07-03 13:30:00+05:30,77.25,77.35,77.25,77.29,19583
127,2025-07-03 13:35:00+05:30,77.29,77.4,77.25,77.29,19537
128,2025-07-03 13:40:00+05:30,77.29,77.38,77.28,77.3,32059
129,2025-07-03 13:45:00+05:30,77.31,77.34,77.07,77.15,88273
130,2025-07-03 13:50:00+05:30,77.15,77.2,77.1,77.19,59542
131,2025-07-03 13:55:00+05:30,77.19,77.26,77.13,77.2,45268
132,2025-07-03 14:00:00+05:30,77.2,77.23,77.09,77.14,81217
133,2025-07-03 14:05:00+05:30,77.14,77.17,77.0,77.15,93410
134,2025-07-03 14:10:00+05:30,77.15,77.16,77.06,77.08,41058
135,2025-07-03 14:15:00+05:30,77.08,77.16,77.06,77.12,22780
136,2025-07-03 14:20:00+05:30,77.12,77.13,77.0,77.01,113178
137,2025-07-03 14:25:00+05:30,77.02,77.03,76.8,76.82,156810
138,2025-07-03 14:30:00+05:30,76.8,76.85,76.6,76.82,135758
139,2025-07-03 14:35:00+05:30,76.81,76.87,76.68,76.74,150069
140,2025-07-03 14:40:00+05:30,76.74,76.83,76.49,76.68,439103
141,2025-07-03 14:45:00+05:30,76.68,76.77,76.6,76.64,75473
142,2025-07-03 14:50:00+05:30,76.64,76.7,76.61,76.7,41943
143,2025-07-03 14:55:00+05:30,76.7,76.78,76.63,76.63,46087
144,2025-07-03 15:00:00+05:30,76.66,76.68,76.54,76.59,150609
145,2025-07-03 15:05:00+05:30,76.62,76.78,76.54,76.78,262645
146,2025-07-03 15:10:00+05:30,76.83,76.84,76.62,76.64,168935
147,2025-07-03 15:15:00+05:30,76.64,76.64,76.4,76.4,407634
148,2025-07-03 15:20:00+05:30,76.45,76.5,76.43,76.44,220460
149,2025-07-03 15:25:00+05:30,76.44,76.5,76.38,76.5,162949
150,2025-07-04 09:15:00+05:30,76.7,76.94,76.09,76.2,492444
151,2025-07-04 09:20:00+05:30,76.2,76.6,76.15,76.55,133191
152,2025-07-04 09:25:00+05:30,76.55,76.99,76.52,76.99,315282
153,2025-07-04 09:30:00+05:30,76.97,77.44,76.92,77.13,423764
154,2025-07-04 09:35:00+05:30,77.13,77.13,76.85,77.0,104302
155,2025-07-04 09:40:00+05:30,76.99,77.04,76.86,77.03,83366
156,2025-07-04 09:45:00+05:30,77.06,77.68,77.06,77.68,393744
157,2025-07-04 09:50:00+05:30,77.68,77.7,77.21,77.4,251815
158,2025-07-04 09:55:00+05:30,77.4,77.52,77.4,77.5,111422
159,2025-07-04 10:00:00+05:30,77.42,77.61,77.42,77.48,147910
160,2025-07-04 10:05:00+05:30,77.48,77.71,77.39,77.53,160128
161,2025-07-04 10:10:00+05:30,77.53,77.7,77.5,77.67,103081
162,2025-07-04 10:15:00+05:30,77.67,77.74,77.58,77.68,102336
163,2025-07-04 10:20:00+05:30,77.68,78.48,77.68,78.18,1092191
164,2025-07-04 10:25:00+05:30,78.18,78.4,78.13,78.38,445640
165,2025-07-04 10:30:00+05:30,78.38,78.39,77.86,77.96,542958
166,2025-07-04 10:35:00+05:30,78.02,78.3,77.93,78.29,255049
167,2025-07-04 10:40:00+05:30,78.29,78.4,78.09,78.15,155944
168,2025-07-04 10:45:00+05:30,78.15,78.39,78.05,78.32,172864
169,2025-07-04 10:50:00+05:30,78.32,78.86,78.31,78.66,773632
170,2025-07-04 10:55:00+05:30,78.66,78.96,78.57,78.96,499391
171,2025-07-04 11:00:00+05:30,78.95,79.1,78.55,78.62,1087987
172,2025-07-04 11:05:00+05:30,78.64,78.65,78.34,78.43,386725
173,2025-07-04 11:10:00+05:30,78.43,78.49,78.15,78.43,420233
174,2025-07-04 11:15:00+05:30,78.4,78.79,78.28,78.65,371716
175,2025-07-04 11:20:00+05:30,78.65,78.74,78.45,78.55,375697
176,2025-07-04 11:25:00+05:30,78.55,78.81,78.36,78.71,269172
