,date,open,high,low,close,volume
0,2025-07-03 15:15:00+05:30,251.35,251.74,251.24,251.73,217
1,2025-07-03 15:20:00+05:30,251.73,252.0,251.0,251.04,4390
2,2025-07-03 15:25:00+05:30,251.04,251.63,250.53,250.53,2678
3,2025-07-04 09:15:00+05:30,251.3,252.17,250.82,250.82,2625
4,2025-07-04 09:20:00+05:30,250.82,253.16,250.78,252.88,1263
5,2025-07-04 09:25:00+05:30,252.88,252.88,251.8,252.25,2436
6,2025-07-04 09:30:00+05:30,252.25,252.71,251.94,252.3,339
7,2025-07-04 09:35:00+05:30,252.3,252.3,251.58,251.63,85
8,2025-07-04 09:40:00+05:30,251.63,251.63,251.18,251.21,235
9,2025-07-04 09:45:00+05:30,251.21,251.21,249.78,249.81,2587
10,2025-07-04 09:50:00+05:30,249.81,250.59,249.4,250.17,1096
11,2025-07-04 09:55:00+05:30,250.17,250.17,249.47,250.09,271
12,2025-07-04 10:00:00+05:30,250.09,250.1,250.09,250.1,157
13,2025-07-04 10:05:00+05:30,250.1,250.1,249.43,249.75,80
14,2025-07-04 10:10:00+05:30,249.75,249.79,249.4,249.79,1546
15,2025-07-04 10:15:00+05:30,249.79,249.96,248.01,249.0,7156
16,2025-07-04 10:20:00+05:30,249.0,249.0,248.8,248.8,1319
17,2025-07-04 10:25:00+05:30,248.8,248.8,248.8,248.8,0
18,2025-07-04 10:30:00+05:30,248.8,249.0,248.5,248.5,367
19,2025-07-04 10:35:00+05:30,248.5,248.68,248.5,248.68,3
20,2025-07-04 10:40:00+05:30,248.68,248.68,248.63,248.63,16
21,2025-07-04 10:45:00+05:30,248.67,248.67,248.67,248.67,16
22,2025-07-04 10:50:00+05:30,248.35,248.76,248.35,248.76,49
23,2025-07-04 10:55:00+05:30,248.76,248.95,248.41,248.41,220
24,2025-07-04 11:00:00+05:30,248.41,248.95,248.37,248.37,165
25,2025-07-04 11:05:00+05:30,248.79,248.79,248.0,248.62,1171
26,2025-07-04 11:10:00+05:30,248.52,248.6,248.49,248.49,593
27,2025-07-04 11:15:00+05:30,248.49,248.66,248.0,248.48,629
28,2025-07-04 11:20:00+05:30,248.48,248.53,248.2,248.2,183
29,2025-07-04 11:25:00+05:30,248.2,248.53,248.01,248.22,281
30,2025-07-04 11:30:00+05:30,248.22,248.67,248.22,248.55,852
31,2025-07-04 11:35:00+05:30,248.55,248.57,247.25,247.25,485
32,2025-07-04 11:40:00+05:30,247.25,247.48,247.25,247.48,1
33,2025-07-04 11:45:00+05:30,247.48,247.48,247.0,247.0,841
34,2025-07-04 11:50:00+05:30,247.0,247.0,246.55,246.55,650
35,2025-07-04 11:55:00+05:30,246.45,247.0,246.18,246.56,741
36,2025-07-04 12:00:00+05:30,246.56,246.6,246.56,246.6,100
37,2025-07-04 12:05:00+05:30,246.6,246.69,246.4,246.69,31
38,2025-07-04 12:10:00+05:30,246.69,247.0,246.69,247.0,111
39,2025-07-04 12:15:00+05:30,247.0,247.0,246.25,246.6,1144
40,2025-07-04 12:20:00+05:30,246.6,247.0,246.26,246.39,384
41,2025-07-04 12:25:00+05:30,246.89,246.89,246.28,246.66,275
42,2025-07-04 12:30:00+05:30,246.66,247.09,246.66,247.09,45
43,2025-07-04 12:35:00+05:30,247.09,247.12,246.67,247.0,198
44,2025-07-04 12:40:00+05:30,247.0,247.0,246.31,246.31,170
45,2025-07-04 12:45:00+05:30,246.31,246.86,246.31,246.85,115
46,2025-07-04 12:50:00+05:30,246.85,246.86,246.85,246.86,25
47,2025-07-04 12:55:00+05:30,246.86,246.86,246.86,246.86,0
48,2025-07-04 13:00:00+05:30,246.86,246.86,245.67,246.05,1501
49,2025-07-04 13:05:00+05:30,246.05,246.35,246.0,246.35,154
50,2025-07-04 13:10:00+05:30,246.35,246.35,246.05,246.05,75
51,2025-07-04 13:15:00+05:30,246.05,246.41,246.05,246.41,19
52,2025-07-04 13:20:00+05:30,246.41,246.41,246.41,246.41,0
53,2025-07-04 13:25:00+05:30,246.41,246.65,246.41,246.47,79
54,2025-07-04 13:30:00+05:30,246.47,246.66,246.47,246.66,23
55,2025-07-04 13:35:00+05:30,246.66,246.66,246.66,246.66,0
56,2025-07-04 13:40:00+05:30,246.66,246.98,246.66,246.98,37
57,2025-07-04 13:45:00+05:30,246.98,247.17,246.96,247.17,58
58,2025-07-04 13:50:00+05:30,247.17,247.17,247.17,247.17,0
59,2025-07-04 13:55:00+05:30,247.17,247.24,247.17,247.24,60
60,2025-07-04 14:00:00+05:30,247.24,247.28,246.88,246.88,66
61,2025-07-04 14:05:00+05:30,246.88,247.25,246.88,247.25,2
62,2025-07-04 14:10:00+05:30,247.25,247.25,247.25,247.25,11
63,2025-07-04 14:15:00+05:30,246.67,247.23,246.67,247.23,108
64,2025-07-04 14:20:00+05:30,247.23,247.23,246.64,246.64,42
65,2025-07-04 14:25:00+05:30,246.64,247.15,246.64,247.15,19
66,2025-07-04 14:30:00+05:30,247.15,247.15,247.15,247.15,0
67,2025-07-04 14:35:00+05:30,247.15,247.15,246.6,246.6,140
68,2025-07-04 14:40:00+05:30,246.6,247.0,246.55,246.55,85
69,2025-07-04 14:45:00+05:30,246.55,246.55,246.5,246.5,170
70,2025-07-04 14:50:00+05:30,246.5,248.19,246.5,247.22,1029
71,2025-07-04 14:55:00+05:30,247.22,247.22,246.72,247.0,87
72,2025-07-04 15:00:00+05:30,247.0,247.1,246.62,247.1,109
