,date,open,high,low,close,volume
0,2025-06-04 09:15:00+05:30,229.86,231.84,229.0,229.13,4425
1,2025-06-04 09:30:00+05:30,229.13,229.83,228.2,228.65,840
2,2025-06-04 09:45:00+05:30,228.65,229.0,227.0,227.89,4480
3,2025-06-04 10:00:00+05:30,227.89,228.55,227.01,227.97,1233
4,2025-06-04 10:15:00+05:30,227.94,228.21,227.0,227.0,2357
5,2025-06-04 10:30:00+05:30,227.0,227.33,225.9,226.86,2882
6,2025-06-04 10:45:00+05:30,226.86,226.86,226.04,226.54,2073
7,2025-06-04 11:00:00+05:30,226.54,227.08,226.32,226.57,563
8,2025-06-04 11:15:00+05:30,226.57,226.81,226.15,226.18,797
9,2025-06-04 11:30:00+05:30,226.54,227.0,226.35,226.73,1027
10,2025-06-04 11:45:00+05:30,226.73,226.79,226.27,226.55,469
11,2025-06-04 12:00:00+05:30,226.55,226.62,226.26,226.55,387
12,2025-06-04 12:15:00+05:30,226.55,226.8,226.29,226.29,79
13,2025-06-04 12:30:00+05:30,226.29,226.51,226.29,226.51,871
14,2025-06-04 12:45:00+05:30,226.51,226.8,226.5,226.5,138
15,2025-06-04 13:00:00+05:30,226.5,226.6,223.25,224.01,11518
16,2025-06-04 13:15:00+05:30,224.01,225.0,223.25,224.68,5286
17,2025-06-04 13:30:00+05:30,224.68,224.77,224.26,224.71,1223
18,2025-06-04 13:45:00+05:30,224.78,224.99,224.05,224.55,1680
19,2025-06-04 14:00:00+05:30,224.55,224.68,224.05,224.62,2008
20,2025-06-04 14:15:00+05:30,224.62,224.75,223.8,223.8,1466
21,2025-06-04 14:30:00+05:30,224.04,224.58,223.65,224.37,849
22,2025-06-04 14:45:00+05:30,224.37,224.39,223.22,224.0,2133
23,2025-06-04 15:00:00+05:30,224.0,224.75,223.01,223.69,3280
24,2025-06-04 15:15:00+05:30,223.69,224.79,222.22,224.3,8102
25,2025-06-05 09:15:00+05:30,224.91,228.3,224.91,225.6,4766
26,2025-06-05 09:30:00+05:30,225.6,225.93,225.4,225.67,1793
27,2025-06-05 09:45:00+05:30,225.67,225.67,224.31,224.32,2434
28,2025-06-05 10:00:00+05:30,224.32,225.06,224.32,225.06,83
29,2025-06-05 10:15:00+05:30,225.06,225.8,225.03,225.61,1986
30,2025-06-05 10:30:00+05:30,225.61,225.62,224.83,225.53,331
31,2025-06-05 10:45:00+05:30,225.53,225.88,225.04,225.88,236
32,2025-06-05 11:00:00+05:30,225.88,226.2,225.61,225.64,1118
33,2025-06-05 11:15:00+05:30,225.64,226.27,225.64,226.27,227
34,2025-06-05 11:30:00+05:30,226.27,226.27,225.51,225.95,155
35,2025-06-05 11:45:00+05:30,225.95,227.0,225.95,226.8,814
36,2025-06-05 12:00:00+05:30,226.8,226.8,226.35,226.8,1269
37,2025-06-05 12:15:00+05:30,226.8,226.8,225.75,225.75,776
38,2025-06-05 12:30:00+05:30,225.78,226.77,225.55,226.23,706
39,2025-06-05 12:45:00+05:30,226.23,226.8,226.23,226.8,1500
40,2025-06-05 13:00:00+05:30,226.8,226.8,225.45,225.99,366
41,2025-06-05 13:15:00+05:30,225.93,226.67,225.55,225.74,970
42,2025-06-05 13:30:00+05:30,225.74,225.74,225.16,225.16,385
43,2025-06-05 13:45:00+05:30,225.16,225.78,225.16,225.32,67
44,2025-06-05 14:00:00+05:30,225.32,225.73,225.32,225.66,948
45,2025-06-05 14:15:00+05:30,225.73,225.94,225.2,225.53,950
46,2025-06-05 14:30:00+05:30,225.53,225.79,225.19,225.69,545
47,2025-06-05 14:45:00+05:30,225.23,225.23,224.51,224.59,1294
48,2025-06-05 15:00:00+05:30,224.59,225.35,224.01,224.07,4149
49,2025-06-05 15:15:00+05:30,224.07,225.45,224.05,224.05,4599
50,2025-06-06 09:15:00+05:30,225.4,226.42,223.86,224.28,4323
51,2025-06-06 09:30:00+05:30,224.28,225.3,223.02,224.57,3801
52,2025-06-06 09:45:00+05:30,224.74,224.98,223.7,223.7,996
53,2025-06-06 10:00:00+05:30,223.7,224.11,223.39,224.06,473
54,2025-06-06 10:15:00+05:30,224.06,224.45,223.53,223.53,824
55,2025-06-06 10:30:00+05:30,224.33,224.33,223.85,223.85,65
56,2025-06-06 10:45:00+05:30,223.85,224.31,223.85,224.0,525
57,2025-06-06 11:00:00+05:30,224.0,224.04,223.7,224.04,422
58,2025-06-06 11:15:00+05:30,224.04,224.04,223.85,224.03,6104
59,2025-06-06 11:30:00+05:30,224.03,224.44,224.03,224.44,5207
60,2025-06-06 11:45:00+05:30,224.44,224.44,224.15,224.39,345
61,2025-06-06 12:00:00+05:30,224.39,224.39,223.92,223.92,161
62,2025-06-06 12:15:00+05:30,223.92,224.07,223.92,224.07,51
63,2025-06-06 12:30:00+05:30,224.07,224.56,223.63,224.4,526
64,2025-06-06 12:45:00+05:30,224.4,224.4,224.3,224.3,81
65,2025-06-06 13:00:00+05:30,224.3,224.3,223.67,223.98,218
66,2025-06-06 13:15:00+05:30,223.98,223.98,223.7,223.98,476
67,2025-06-06 13:30:00+05:30,223.55,224.18,223.55,224.18,1173
68,2025-06-06 13:45:00+05:30,224.18,224.18,223.61,223.62,195
69,2025-06-06 14:00:00+05:30,223.62,223.96,223.62,223.96,103
70,2025-06-06 14:15:00+05:30,223.96,224.05,223.62,224.05,407
71,2025-06-06 14:30:00+05:30,224.05,224.07,223.62,224.0,1612
72,2025-06-06 14:45:00+05:30,224.0,224.05,223.59,224.05,486
73,2025-06-06 15:00:00+05:30,224.05,224.51,223.5,224.1,1943
74,2025-06-06 15:15:00+05:30,224.19,224.19,221.1,222.87,13720
75,2025-06-09 09:15:00+05:30,223.0,226.45,223.0,224.82,4532
76,2025-06-09 09:30:00+05:30,224.82,225.77,224.7,225.77,2780
77,2025-06-09 09:45:00+05:30,225.77,226.71,225.41,225.42,4275
78,2025-06-09 10:00:00+05:30,225.42,225.83,225.21,225.69,385
79,2025-06-09 10:15:00+05:30,225.69,225.69,225.26,225.44,604
80,2025-06-09 10:30:00+05:30,225.44,226.33,225.12,225.76,1312
81,2025-06-09 10:45:00+05:30,225.76,225.85,223.79,224.44,2111
82,2025-06-09 11:00:00+05:30,224.47,225.78,224.47,225.47,878
83,2025-06-09 11:15:00+05:30,225.47,225.47,224.64,225.32,309
