instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,instrument_category
769,3,GOLDSTAR-ST,GOLDSTAR POWER,0.0,,0.0,0.05,11250,EQ,NSE,NSE,EQUITY_STOCKS
1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
1793,7,AARTIIND,AARTI INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
2561,10,ABAN,ABAN OFFSHORE,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
3329,13,ABB,ABB INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
4865,19,STYRENIX,STYRENIX PERFORMANCE,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
5633,22,ACC,ACC,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
6401,25,ADANIENT,ADANI ENTERPRISES,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
6913,27,GATECHDVR-BE,GACM TECHNOLOGIES,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
8705,34,ADOR,ADOR WELDING,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
10241,40,AEGISLOG,AEGIS LOGISTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
11777,46,SANWARIA-BZ,SANWARIA CONSUMER,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
12289,48,HAPPSTMNDS,HAPPIEST MINDS TECHNO,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
20225,79,ALEMBICLTD,ALEMBIC,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
20737,81,BETA-SM,BETA DRUGS,0.0,,0.0,0.05,105,EQ,NSE,NSE,EQUITY_STOCKS
25601,100,ARE&M,AMARA RAJA ENERGY MOB,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
26625,104,SHAREINDIA,SHARE IND. SECURITIES,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
29953,117,OMFURN-SM,OMFURN INDIA,0.0,,0.0,0.05,1200,EQ,NSE,NSE,EQUITY_STOCKS
32769,128,ROUTE,ROUTE MOBILE,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
34817,136,ANDHRSUGAR,ANDHRA SUGARS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
36865,144,GODREJAGRO,GODREJ AGROVET,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
40705,159,MILTON-SM,MILTON INDUSTRIES,0.0,,0.0,0.05,4400,EQ,NSE,NSE,EQUITY_STOCKS
41729,163,APOLLOTYRE,APOLLO TYRES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
42497,166,ANDHRAPAP,ANDHRA PAPER,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
47105,184,TCPLPACK,TCPL PACKAGING,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
49409,193,ARVIND,ARVIND,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
50945,199,MASFIN,MAS FINANCIAL SERV,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
51457,201,UNIDT,UNITED DRILLING TOOLS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
51969,203,ASHAPURMIN,ASHAPURA MINECHEM,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
54273,212,ASHOKLEY,ASHOK LEYLAND,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
56321,220,IEX,INDIAN ENERGY EXC,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
60417,236,ASIANPAINT,ASIAN PAINTS,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
61441,240,AAKASH-BE,AAKASH EXPLORATION SER L,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
63489,248,ADL-BE,ARCHIDPLY DECOR,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
65281,255,NIRAJ,NIRAJ CEMENT STRUC,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
