iter	Passed	Remaining
0	0	122
1	0	109
2	0	109
3	0	109
4	0	105
5	0	104
6	0	102
7	1	101
8	1	101
9	1	100
10	1	98
11	1	99
12	1	97
13	1	96
14	1	96
15	1	96
16	2	95
17	2	95
18	2	93
19	2	94
20	2	94
21	2	93
22	2	93
23	2	93
24	3	94
25	3	94
26	3	93
27	3	93
28	3	93
29	3	93
30	3	94
31	3	93
32	4	93
33	4	94
34	4	94
35	4	94
36	4	94
37	4	94
38	4	94
39	4	94
40	5	96
41	5	96
42	5	96
43	5	96
44	5	96
45	5	95
46	5	95
47	6	95
48	6	95
49	6	95
50	6	95
51	6	95
52	6	95
53	6	95
54	6	94
55	7	94
56	7	94
57	7	94
58	7	95
59	7	94
60	7	95
61	8	96
62	8	96
63	8	95
64	8	95
65	8	98
66	8	97
67	9	97
68	9	97
69	9	96
70	9	97
71	9	96
72	9	96
73	9	96
74	9	96
75	10	96
76	10	95
77	10	95
78	10	95
79	10	95
80	10	94
81	10	94
82	10	94
83	11	94
84	11	94
85	11	93
86	11	93
87	11	93
88	11	93
89	11	93
90	12	93
91	12	93
92	12	93
93	12	93
94	12	92
95	12	92
96	12	92
97	12	92
98	13	92
99	13	92
100	13	92
101	13	92
102	13	92
103	13	92
104	13	92
105	14	92
106	14	92
107	14	92
108	14	91
109	14	91
110	14	91
111	14	91
112	15	91
113	15	91
114	15	91
115	15	91
116	15	90
117	15	90
118	15	90
119	15	90
120	16	90
121	16	90
122	16	90
123	16	90
124	16	90
125	16	89
126	16	89
127	17	89
128	17	89
129	17	89
130	17	89
131	17	89
132	17	88
133	17	88
134	17	88
135	18	88
136	18	88
137	18	88
138	18	88
139	18	88
140	18	88
141	18	88
142	19	87
143	19	87
144	19	87
145	19	87
146	19	87
147	19	87
148	19	87
149	20	87
150	20	87
151	20	87
152	20	87
153	20	87
154	20	87
155	21	87
156	21	86
157	21	86
158	21	86
159	21	86
160	21	86
161	21	86
162	22	86
163	22	86
164	22	86
165	22	86
166	22	85
167	22	85
168	22	85
169	23	85
170	23	85
171	23	85
172	23	85
173	23	85
174	23	84
175	23	84
176	24	84
177	24	84
178	24	84
179	24	84
180	24	84
181	24	84
182	24	84
183	25	83
184	25	83
185	25	83
186	25	83
187	25	83
188	25	83
189	25	83
190	26	82
191	26	82
192	26	82
193	26	82
194	26	82
195	26	82
196	26	82
