Category,Trading Symbol,Name,Instrument Token,Exchange
core_indices,NIFTY 50,NIFTY 50,256265,NSE
core_indices,NIFTY 500,NIFTY 500,268041,NSE
sectoral_indices,NIFTY BANK,NIFTY BANK,260105,NSE
sectoral_indices,NIFTY IT,NIFTY IT,259849,NSE
sectoral_indices,NIFTY REALTY,NIFTY REALTY,261129,NSE
sectoral_indices,NIFTY INFRA,NIFTY INFRA,261385,NSE
sectoral_indices,NIFTY ENERGY,NIFTY ENERGY,261641,NSE
sectoral_indices,NIFTY FMCG,NIFTY FMCG,261897,NSE
sectoral_indices,NIFTY PHARMA,NIFTY PHARMA,262409,NSE
sectoral_indices,NIFTY AUTO,NIFTY AUTO,263433,NSE
sectoral_indices,NIFTY METAL,NIFTY METAL,263689,NSE
sectoral_indices,NIFTY MEDIA,NIFTY MEDIA,263945,NSE
sectoral_indices,NIFTY HEALTHCARE,NIFTY HEALTHCARE,288521,NSE
sectoral_indices,NIFTY OIL AND GAS,NIFTY OIL AND GAS,289033,NSE
banking_sectors,NIFTY FIN SERVICE,NIFTY FIN SERVICE,257801,NSE
banking_sectors,NIFTY PSU BANK,NIFTY PSU BANK,262921,NSE
banking_sectors,NIFTY PVT BANK,NIFTY PVT BANK,271113,NSE
consumption_sectors,NIFTY CONSUMPTION,NIFTY CONSUMPTION,257545,NSE
consumption_sectors,NIFTY CONSR DURBL,NIFTY CONSR DURBL,288777,NSE
government_sectors,NIFTY PSE,NIFTY PSE,262665,NSE
specialized_indices,NIFTY EV,NIFTY EV & NEW AGE AUTOMOTIVE,405513,NSE
specialized_indices,NIFTY IND DEFENCE,NIFTY INDIA DEFENCE,413961,NSE
NIFTY MIDSMALL IT & TELECOM


